NAME20,GEOID20,Basin_Subb,lat,lng,DAC,MHI,POP,incorporated,per_latino,exists,GSP_ID
huron,636084,5-022.09,36.2040364372001,-120.09620193842,1,31429,7084,1,94.5,1,8
mendota,646828,5-022.09,36.755533412256,-120.37761370134,1,36376,12173,1,96,1,8
avenal,603302,5-022.09,36.0311215838224,-120.11617307902,1,49781,13033,1,87,1,8
cantua_creek,610816,5-022.09,36.5000504195395,-120.316374080326,1,36694,376,0,99.5,1,8
kettleman_city,638394,5-022.09,36.0089901549547,-119.962864411786,1,54444,1245,0,100,1,8
lemoore_station,641166,5-022.09,36.263281367472,-119.904849018416,1,57593,6756,0,18.6,1,8
three_rocks,678652,5-022.09,36.505153700296,-120.393547092224,1,NA,97,0,100,0,8
westside,684863,5-022.09,36.4042066284643,-120.134338545814,1,NA,213,0,100,1,8
livingston,642006,5-022.04,37.3874936868125,-120.724882829753,1,58884,14392,1,74.5,1,9
atwater,603162,5-022.04,37.352904344014,-120.595903415661,1,57052,30336,1,55.5,1,9
merced,646898,5-022.04,37.3057264147451,-120.47791144056,1,49973,84081,1,57.6,1,9
bear_creek,604632,5-022.04,37.2966059011864,-120.417688613112,1,NA,95,0,57.9,1,9
cressey,617078,5-022.04,37.4210348432911,-120.655701937107,0,65536,243,0,47.3,0,9
el_nido,622286,5-022.04,37.1323811565158,-120.49856369535,1,45781,283,0,92.2,1,9
franklin,625488,5-022.04,37.3275340909464,-120.532103061264,1,51185,7709,0,36.6,1,9
le_grand,641040,5-022.04,37.2288197179623,-120.254015272722,1,49241,1597,0,80.8,0,9
mcswain,645006,5-022.04,37.3145108690831,-120.586771679168,0,105000,4429,0,23.1,0,9
planada,657582,5-022.04,37.2902073775197,-120.321644867941,1,46801,3984,0,97.6,1,9
snelling,672408,5-022.04,37.5216498165461,-120.43846349582,1,41458,115,0,34.8,0,9
stevinson,674144,5-022.04,37.3246695602986,-120.849677127427,1,NA,196,0,19.9,1,9
tuttle,680882,5-022.04,37.2965126160967,-120.378879964943,1,NA,97,0,62.9,1,9
university_of_california-merced,681312,5-022.04,37.3665964177136,-120.419042628026,1,NA,0,0,NA,0,9
winton,686076,5-022.04,37.3854322763882,-120.617377608442,1,46977,11619,0,75.9,1,9
santa_cruz,669112,3-001,36.9733856736351,-122.035545021017,0,86618,65011,1,20.7,1,11
capitola,611040,3-001,36.9769047776416,-121.953854414312,0,81617,10090,1,22.9,1,11
