GSP_ID,NAME20,GEOID20,Basin_Subb
8,huron,636084,5-022.09
8,mendota,646828,5-022.09
8,avenal,603302,5-022.09
8,cantua_creek,610816,5-022.09
8,kettleman_city,638394,5-022.09
8,lemoore_station,641166,5-022.09
8,three_rocks,678652,5-022.09
8,westside,684863,5-022.09
9,livingston,642006,5-022.04
9,atwater,603162,5-022.04
9,merced,646898,5-022.04
9,bear_creek,604632,5-022.04
9,cressey,617078,5-022.04
9,el_nido,622286,5-022.04
9,franklin,625488,5-022.04
9,le_grand,641040,5-022.04
9,mcswain,645006,5-022.04
9,planada,657582,5-022.04
9,snelling,672408,5-022.04
9,stevinson,674144,5-022.04
9,tuttle,680882,5-022.04
9,university_of_california-merced,681312,5-022.04
9,winton,686076,5-022.04
11,santa_cruz,669112,3-001
11,capitola,611040,3-001
11,scotts_valley,670588,3-001
11,aptos,602378,3-001
11,aptos_hills-larkin_valley,602382,3-001
11,corralitos,616434,3-001
11,day_valley,618153,3-001
11,la_selva_beach,640508,3-001
11,live_oak,641922,3-001
11,pleasure_point,657825,3-001
11,rio_del_mar,660928,3-001
11,seacliff,670644,3-001
11,soquel,672688,3-001
11,twin_lakes,681050,3-001
12,chowchilla,613294,5-022.05
12,fairmead,623210,5-022.05
13,newman,651140,5-022.07
13,patterson,656112,5-022.07
13,modesto,648354,5-022.07
13,crows_landing,617428,5-022.07
13,grayson,630882,5-022.07
13,santa_nella,670028,5-022.07
13,tranquillity,680266,5-022.07
13,volta,683108,5-022.07
13,westley,684480,5-022.07
15,firebaugh,624134,5-022.07
15,mendota,646828,5-022.07
15,newman,651140,5-022.07
15,dos_palos,619612,5-022.07
15,gustine,631568,5-022.07
15,los_banos,644028,5-022.07
15,crows_landing,617428,5-022.07
15,dos_palos_y,619654,5-022.07
15,santa_nella,670028,5-022.07
15,south_dos_palos,672954,5-022.07
15,volta,683108,5-022.07
16,san_buenaventura_(ventura),665042,4-004.02
16,camarillo,610046,4-004.02
16,oxnard,654652,4-004.02
16,port_hueneme,658296,4-004.02
16,channel_islands_beach,612669,4-004.02
16,el_rio,622370,4-004.02
16,saticoy,670322,4-004.02
17,camarillo,610046,4-006
17,somis,672632,4-006
18,moorpark,649138,4-008
18,camarillo,610046,4-008
18,santa_rosa_valley,670130,4-008
18,somis,672632,4-008
19,san_buenaventura_(ventura),665042,4-004.03
19,oxnard,654652,4-004.03
19,saticoy,670322,4-004.03
20,mendota,646828,5-022.07
21,fresno,627000,5-022.06
21,madera,645022,5-022.06
21,chowchilla,613294,5-022.06
21,bonadelle_ranchos,607378,5-022.06
21,fairmead,623210,5-022.06
21,friant,627014,5-022.06
21,la_vina,640872,5-022.06
21,madera_acres,645050,5-022.06
21,madera_ranchos,645054,5-022.06
21,parksdale,655751,5-022.06
21,parkwood,655842,5-022.06
21,rolling_hills,662625,5-022.06
22,fowler,625436,5-022.08
22,kingsburg,638562,5-022.08
22,parlier,655856,5-022.08
22,reedley,660242,5-022.08
22,sanger,667056,5-022.08
22,selma,670882,5-022.08
22,bowles,607750,5-022.08
22,caruthers,611614,5-022.08
22,centerville,612412,5-022.08
22,del_rey,618674,5-022.08
22,monmouth,648592,5-022.08
23,dinuba,619318,5-022.08
23,orange_cove,654008,5-022.08
23,reedley,660242,5-022.08
23,sanger,667056,5-022.08
23,centerville,612412,5-022.08
23,cutler,617708,5-022.08
23,delft_colony,618450,5-022.08
23,east_orosi,620942,5-022.08
23,el_monte_mobile_village,622235,5-022.08
23,london,642566,5-022.08
23,minkler,647822,5-022.08
23,monson,648676,5-022.08
23,orosi,654372,5-022.08
23,seville,671078,5-022.08
23,squaw_valley,673794,5-022.08
23,sultana,675672,5-022.08
23,traver,680280,5-022.08
23,yettem,686734,5-022.08
24,kerman,638226,5-022.08
24,clovis,614218,5-022.08
24,fresno,627000,5-022.08
24,sanger,667056,5-022.08
24,biola,606728,5-022.08
24,bowles,607750,5-022.08
24,calwa,610032,5-022.08
24,centerville,612412,5-022.08
24,easton,620928,5-022.08
24,fort_washington,625300,5-022.08
24,friant,627014,5-022.08
24,malaga,645232,5-022.08
24,mayfair,646400,5-022.08
24,old_fig_garden,653505,5-022.08
24,sunnyside,675994,5-022.08
24,tarpey_village,677960,5-022.08
24,west_park,684680,5-022.08
25,lanare,640116,5-022.08
25,laton,640746,5-022.08
25,riverdale,661096,5-022.08
26,fowler,625436,5-022.08
26,kingsburg,638562,5-022.08
26,parlier,655856,5-022.08
26,sanger,667056,5-022.08
26,selma,670882,5-022.08
26,del_rey,618674,5-022.08
28,fresno,627000,5-022.08
28,raisin_city,659290,5-022.08
29,gonzales,630392,3-004.01
29,marina,645778,3-004.01
29,salinas,664224,3-004.01
29,boronda,607578,3-004.01
29,castroville,611978,3-004.01
29,chualar,613364,3-004.01
29,elkhorn,622034,3-004.01
29,moss_landing,649488,3-004.01
29,prunedale,658870,3-004.01
29,spreckels,673612,3-004.01
30,woodlake,686300,5-022.11
30,exeter,623126,5-022.11
30,farmersville,623616,5-022.11
30,visalia,682954,5-022.11
30,tulare,680644,5-022.11
30,hanford,631960,5-022.11
30,east_tulare_villa,621210,5-022.11
30,goshen,630476,5-022.11
30,hypericum,636135,5-022.11
30,ivanhoe,636910,5-022.11
30,lemon_cove,641110,5-022.11
30,lindcove,641656,5-022.11
30,linnell_camp,641740,5-022.11
30,matheny,646223,5-022.11
30,patterson_tract,656120,5-022.11
30,west_goshen,684345,5-022.11
31,san_joaquin,667126,5-022.08
32,cuyama,617727,3-013
32,new_cuyama,651028,3-013
32,pine_mountain_club,657240,3-013
35,el_paso_de_robles_(paso_robles),622300,3-004.06
35,creston,617232,3-004.06
35,san_miguel,668266,3-004.06
35,shandon,671134,3-004.06
35,whitley_gardens,685222,3-004.06
36,bakersfield,603526,5-022.14
36,delano,618394,5-022.14
36,mcfarland,644826,5-022.14
36,maricopa,645736,5-022.14
36,shafter,671106,5-022.14
36,wasco,683542,5-022.14
36,taft,677574,5-022.14
36,bear_valley_springs,604734,5-022.14
36,buttonwillow,609332,5-022.14
36,cherokee_strip,612860,5-022.14
36,choctaw_valley,613278,5-022.14
36,derby_acres,618926,5-022.14
36,dustin_acres,620284,5-022.14
36,fellows,623812,5-022.14
36,ford_city,624764,5-022.14
