GSP_ID,GSA_IDs
13,"302,301,17,237,66,214,13,206"
14,30
58,314
75,370
76,359
81,260
89,253
100,"247,233,209,118,454"
145,"190,410,408"
11,24
12,"61,191,68,394"
16,433
17,432
18,163
19,354
21,"19,47,69,41"
22,211
25,187
26,317
28,266
29,"184,487,461"
61,34
65,43
86,"409,178"
88,457
90,456
91,"200,104"
97,"280,256,236,258"
106,"193,160,97,312,155,182,496"
111,"366,373,378,375,387,364,376,377,295,147,156,153"
114,460
118,"329,336"
119,21
124,488
133,296
144,275
156,"49,434"
157,491
8,40
30,281
32,327
49,59
50,7
52,106
67,400
113,268
115,459
116,"462,261"
117,"180,272,340,374,385,379,497,380,381,384,383"
121,"450,262,330"
122,"149,146,157,183,286,343"
125,"234,227"
128,"458,50"
129,337
130,162
132,350
138,328
149,212
7,23
9,"311,223,219"
23,18
24,65
35,"56,72,319,322"
37,254
38,"62,231"
42,"358,222,411,73,226"
43,205
44,196
45,33
51,15
54,"20,22"
59,35
63,29
71,28
74,338
77,248
78,5
79,11
80,273
87,290
92,"323,369"
93,267
94,"390,418"
95,"240,232"
98,"117,173,467,251,416,195,120,417,128,122,415,138,112"
99,406
103,403
110,"225,238"
123,244
131,315
134,422
136,331
139,420
150,"481,484,482"
15,"10,269,71,57,360,271,67,70,220,231"
20,"308,298"
31,12
36,"361,277,326,188,306,39,188,306,277,39"
47,"201,91,140,159,142,208,137,151,189,288,99,152,228,389,249,116"
48,25
53,"133,413,111"
56,42
57,490
70,493
72,468
73,339
82,287
83,464
84,342
85,"192,300"
96,217
101,263
104,349
105,"89,345"
112,"119,264,239,320,121,136,218,321,114"
120,"299,259,265,463,224,289,252"
127,480
137,124
140,419
155,404
