GSA_ID,GSA_Name
191,county_of_merced_groundwater_sustainability_agency_chowchilla
330,verbenia_groundwater_sustainability_agency
333,city_of_lakeport_groundwater_sustainability_agency
334,county_of_san_luis_obispo_groundwater_sustainability_agency_santa_maria_basin_fringe_areas
338,santa_margarita_groundwater_agency_groundwater_sustainability_agency
342,ukiah_valley_basin_groundwater_sustainability_agency
343,stewart_tract_groundwater_sustainability_agency
406,wyandotte_creek_groundwater_sustainability_agency
166,coachella_valley_water_district_groundwater_sustainability_agency_indio
408,county_of_fresno_groundwater_sustainability_agency_pleasant_valley
348,camrosa_water_district_groundwater_sustainability_agency_los_posas_valley
349,yucaipa_basin_groundwater_sustainability_agency
350,petaluma_valley_groundwater_sustainability_agency
353,county_of_ventura_groundwater_sustainability_agency_pleasant_valley_basin_outlying_areas
357,county_of_ventura_groundwater_sustainability_agency_las_posas_valley_basin_outlying_areas
358,el_rico_groundwater_sustainability_agency
169,city_of_la_habra_groundwater_sustainability_agency
19,madera_irrigation_district_groundwater_sustainability_agency
178,rock_creek_reclamation_district_groundwater_sustainability_agency
360,city_of_dos_palos_groundwater_sustainability_agency
182,clay_water_district_groundwater_sustainability_agency
183,city_of_lathrop_groundwater_sustainability_agency
188,pioneer_groundwater_sustainability_agency
189,central_san_joaquin_water_conservation_district_groundwater_sustainability_agency
369,glenn_groundwater_authority_groundwater_sustainability_agency
370,san_pasqual_valley_groundwater_sustainability_agency
371,san_diego_river_valley_groundwater_sustainability_agency
71,city_of_los_banos_groundwater_sustainability_agency
72,city_of_paso_robles_groundwater_sustainability_agency
73,mid_kings_river_groundwater_sustainability_agency
84,coachella_water_authority_groundwater_sustainability_agency
85,indio_water_authority_groundwater_sustainability_agency_indio
90,zone_7_water_agency_groundwater_sustainability_agency_exclusive_portion
91,city_of_manteca_groundwater_sustainability_agency
95,alameda_county_water_district_groundwater_sustainability_agency
99,linden_county_water_district_groundwater_sustainability_agency
104,east_bay_municipal_utility_district_groundwater_sustainability_agency
219,merced_subbasin_groundwater_sustainability_agency
346,county_of_ventura_groundwater_sustainability_agency_santa_paula_basin_outlying_areas
390,corning_subbasin_groundwater_sustainability_agency
114,sutter_community_service_district_groundwater_sustainability_agency
118,sacramento_groundwater_authority_groundwater_sustainability_agency
121,sutter_extension_water_district_groundwater_sustainability_agency
33,root_creek_water_district_groundwater_sustainability_agency
89,san_benito_county_water_district_groundwater_sustainability_agency
410,city_of_coalinga_groundwater_sustainability_agency
136,city_of_live_oak_groundwater_sustainability_agency
137,city_of_stockton_groundwater_sustainability_agency
140,lockeford_community_service_district_groundwater_sustainability_agency
149,banta_carbona_irrigation_district_groundwater_sustainability_agency
152,city_of_lodi_groundwater_sustainability_agency
157,city_of_tracy_groundwater_sustainability_agency
305,county_of_del_norte_groundwater_sustainability_agency
311,merced_irrigation_urban_groundwater_sustainability_agency
313,el_dorado_county_water_agency_groundwater_sustainability_agency
404,montecito_groundwater_basin_groundwater_sustainability_agency
315,santa_clarita_valley_groundwater_sustainability_agency
316,east_acton_groundwater_sustainability_agency
320,reclamation_district_no_70_groundwater_sustainability_agency
159,north_san_joaquin_water_conservation_district_groundwater_sustainability_agency
162,ojai_basin_groundwater_management_agency_groundwater_sustainability_agency
321,reclamation_district_no_1660_groundwater_sustainability_agency
323,colusa_groundwater_authority_groundwater_sustainability_agency_colusa
324,leona_valley_groundwater_sustainability_agency
328,bear_valley_basin_groundwater_sustainability_agency
254,henry_miller_water_district_groundwater_sustainability_agency
256,county_of_siskiyou_groundwater_sustainability_agency
258,tulelake_irrigation_district_groundwater_sustainability_agency
260,temescal_subbasin_groundwater_sustainability_agency
264,city_of_yuba_city_groundwater_sustainability_agency
266,mcmullin_area_groundwater_sustainability_agency
267,bedford_coldwater_subbasin_groundwater_sustainability_agency
269,city_of_firebaugh_groundwater_sustainability_agency
270,city_of_arroyo_grande_groundwater_sustainability_agency
271,city_of_gustine_groundwater_sustainability_agency
277,semitropic_water_storage_district_groundwater_sustainability_agency
280,city_of_tulelake_groundwater_sustainability_agency
288,eastside_san_joaquin_groundwater_sustainability_agency
289,diablo_water_district_groundwater_sustainability_agency
290,san_antonio_basin_groundwater_sustainability_agency
6,pajaro_valley_water_management_agency_groundwater_sustainability_agency
8,monterey_peninsula_water_management_district_groundwater_sustainability_agency
10,san_joaquin_river_exchange_contractors_groundwater_sustainability_agency
12,james_groundwater_sustainability_agency
15,buena_vista_water_storage_district_groundwater_sustainability_agency
233,south_sutter_water_district_groundwater_sustainability_agency
263,sonoma_valley_groundwater_sustainability_agency
296,atascadero_basin_groundwater_sustainability_agency
300,county_of_tuolumne_groundwater_sustainability_agency
301,dm_ii_groundwater_sustainability_agency
293,los_angeles_groundwater_sustainability_agency
187,north_fork_kings_groundwater_sustainability_agency
17,patterson_irrigation_district_groundwater_sustainability_agency
18,kings_river_east_groundwater_sustainability_agency
21,elsinore_valley_groundwater_sustainability_agency
22,greenfield_county_water_district_groundwater_sustainability_agency
23,aliso_water_district_groundwater_sustainability_agency
25,alpaugh_groundwater_sustainability_agency
28,west_san_jacinto_groundwater_sustainability_agency
302,oro_loma_water_district_groundwater_sustainability_agency
326,cawelo_water_district_groundwater_sustainability_agency
190,pleasant_valley_groundwater_sustainability_agency
30,farmers_water_district_groundwater_sustainability_agency
