Agency,Abbr,State
350 Bay Area,,City/Metro Area
350 Sacramento,,City/Metro Area
350 Santa Barbara,,City/Metro Area
350 Santa Cruz,,City/Metro Area
350 Silicon Valley,,City/Metro Area
99Rootz,,Region
Advocates for the Environment,AENV,Region
Agree: Transforming Food and Ag Policy,,National
Agua4All,,State
Alameda Creek Alliance,,Region
Alianza Ecologista del Condado de Tulare,,County
Alianza Nacional De Campesinas,,National
"American Farmland Trust, California",,State
American Rivers,,National
API Forward Movement,,State
Asamblea de Poder Popular de Gonzales,,
Asian Americans Advancing Justice Southern California,AJSOCAL,State
Asian Pacific Environmental Network,APEN,State
Association of Irritated Residents,AIR,State
Association of People United for Water,AGUA,State
Audubon California,,State
Azul,,State
Ballona Wetland Land Trust,BWLT,City/Metro Area
Banning Ranch Conservancy,BRC,City/Metro Area
Battle Creek Alliance,BCA,Region
Bay Area – System Change not Climate Change (BA-SCnCC),BA-SCnCC,City/Metro Area
Bay Area Healthy 880 Communities,,City/Metro Area
Bayview Hunters Point Mothers and Fathers Committee for Health and Environmental Justice,,City/Metro Area
Berkeley Partners for Parks,BPP,City/Metro Area
Biofuelwatch,,International
Biosafety Alliance,,State
BlueGreen Alliance,,National
Bolsa Chica Land Trust,BCLT,City/Metro Area
Boyle Heights Stakeholders Association,,City/Metro Area
Breakthrough Communities,,National
Building Healthy Communities Kern,,County
California Agricultural Water Stewardship Initiative,CAWSI,State
California Alliance,,
California Certified Organic Farmers,CCOF,State
California Chaparral Institute,CCI,State
California Climate and Agriculture Network,CalCan,State
California Coalition for Rural Housing,CCRH,State
California Coastal Protection Network,CCPN,State
California Coastkeeper Alliance,CCKA,State
California Convergence,,State
California Environmental Justice Alliance,CEJA,State
California Environmental Justice Alliance Action,CEJA Action,State
California Environmental Justice Coalition,CEJC,State
California Environmental Voters,EnviroVoters,State
California Farmer Justice Collaborative,CFJC,State
California Indian Environmental Alliance ,CIEA,State
California Institute for Biodiversity,CIB,State
California Institute for Rural Studies,CIRS,State
California Native Plant Society,CNPS,State
California Native Plant Society – Los Angeles/Santa Monica Chapter,CNPS,Region
California Native Plant Society – Mt. Lassen Chapter,CNPS,Region
California Native Plant Society – San Diego Chapter,CNPS,Region
California Native Plant Society – Santa Clara Valley,CNPS,Region
California Partnership for the San Joaquin Valley,SJV Partnership,Region
California Preservation Foundation,CPF,State
California Prison Moratorium Project,CPMP,State
California Rangeland Trust,CRT,State
California River Watch,CRW,State
California Rural Legal Assistance Foundation,CRLAF,State
"California Rural Legal Assistance, Inc.",CRLA,State
California Safe Schools,CSSC,City/Metro Area
California Sportfishing Protection Alliance,CSPA,State
California Student Sustainability Coalition,CSSC,State
California Trout,,State
California Urban Streams Partnership,CUSP,State
California Wilderness Coalition,CalWild,State
California Wildlife Foundation ,CWF,State
Californians Against Fracking,CAFF,State
Californians Against Fracking and Dangerous Drilling,CAFDD,State
Californians Against Waste,CAW,State
Californians for Alternatives to Toxics,CATs,Region
Californians for Pesticide Reform,CPR,State
Canyon Land Conservation Fund,CLCF,State
Carbon Cycle Institute,CCI,State
Causa Justa Just Cause,CJJC,City/Metro Area
Center for Biological Diversity,CBD,National
Center for Climate Change and Health,CCCH,State
Center for Community Action and Environmental Justice,CCAEJ,Region
Center for Environmental Health,CEH,State
Center for Food Safety,CFS,National
Center for Science in the Public Interest,CSPI,National
"Center on Race, Poverty, and the Environment",CRPE,National
Central California Environmental Justice Network ,CCEJN,Region
Central Coast Alliance United for a Sustainable Economy,CAUSE,Region
Central Sierra Environmental Resource Center,CSERC,Region
Central Valley Air Quality Coalition,CVAQ,Region
Central Valley Community Foundation,,Region
Central Valley Empowerment Alliance,CVAE,Region
Central Valley Joint Venture,CVJV,Region
Central Valley Partnership,CVP,Region
Centro Binacional Para El Desarrollo Indigena Oaxaqueno,CBDIO,State
Centro Community Service Organization,Centro CSO,City/Metro Area
Centro Legal de la Raza,,State
CEQA Works,,State
Cesar Chavez Foundation,,National
Circle of Blue,,International
Vallejo Citizen Air Monitoring Network ,VCAMN,City/Metro Area
Citizens Committee to Complete the Refuge,,City/Metro Area
Citizens for Chiquita Canyon Landfill Compliance,,City/Metro Area
Citizens for Los Angeles Wildlife,CLAW,City/Metro Area
Citizens for the Preservation of Parks & Beaches,,
Citizens’ Climate Lobby,CCL,National
Clean Air Now,CAN,
Clean Up Clear Lake,,City/Metro Area
Clean Water Action,CWA,National
Clean Water Fund,CWF,National
Cleveland National Forest Foundation / Save Our Forest and Ranchlands,CNFF,Region
Climate Action Campaign,CAC,Region
Climate First: Replacing Oil & Gas,CFROG,Region
Climate Resolve,,City/Metro Area
Coalition Advocating for Pesticide Safety - Tulare County,CAPS,County
Coalition Advocating for Pesticide Safety - Ventura County,CAPS,County
Coalition for Clean Air,CCAIR,State
Coaltion for San Francisco Neighborhoods,CSFN,City/Metro Area
Coast Action Group,CAG,Region
Coastal Environmental Rights Foundation,CERF,State
Coastal San Pedro Neighborhood Council,CSPNC,City/Metro Area
Comité Civico del Valle,CCV,County
Comite Progreso de Lamont,CPL,City/Metro Area
Commit to Equity,,State
Committee for a Better Arvin,,City/Metro Area
Committee for a Better Shafter,,
Common Ground California,CA Common Ground,State
Communities for a Better Environment,CBE,State
Community Alliance with Family Farmers,CAFF,State
Community Environmental Council,CEC,Region
Community Food and Justice Coalition,CFJC,State
Community Food Security Coalition,CFSC,National
Community Research and Education in Action for True Empowerment ,CREATE,
Community Science Institute,CSI,National
Community Water Center,CWC,State
Concerned Residents of Laytonville,,
Council for Watershed Health,CWH,Region
Cudahy Alliance for Justice,,City/Metro Area
Cultiva La Salud,,Region
Cultiva La Salud Merced County,,County
Cuyama Valley Community Association,CVCA,Region
Danza Aztec Tlaltlacah,,
Defenders of Wildlife,,National
Del Amo Action Committee,,City/Metro Area
"Democratic Socialists of America – San Francisco, Eco-Socialist Committee",,
Desert Protection Society,,
Dolores Huerta Foundation,,State
Earth Island Institute,,International
Earthjustice,,National
Earthworks,,National
East Bay Community Foundation,EBCF,City/Metro Area
East Yard Communities for Environmental Justice,EYCEJ,City/Metro Area
Ebbetts Pass Forest Watch,,Region
Ecology Center,,State
EcoMalibu,,City/Metro Area
El Pueblo Para el Aire y Agua Limpia/People for Clean Air & Water of Kettleman City,,City/Metro Area
El Quinto Sol de America,,Region
Elfin Forest / Harmony Grove Town Council,EFHGTC,City/Metro Area
Endangered Habitats League,EHL,Region
Environment California,,State
Environment in the Public Interest,EPI,
Environment Now,,State
Environmental Action Committee of West Marin,EAC Marin,City/Metro Area
Environmental Center of San Luis Obispo,EcoSlo,Region
Environmental Council of Sacramento,ECOS,City/Metro Area
Environmental Defense Center,EDC,Region
Environmental Defense Fund,EDF,International
Environmental Health Coalition,EHC,Region
Environmental Justice Coalition for Water,EJCW,State
Environmental Justice Program,EJ Stockton,Region
Environmental Law Foundation,ELF,State
Environmental Protection Information Center,EPIC,Region
Environmental Water Caucus,EWC,
Environmental Working Group,EWG,National
Escondido Creek Conservancy,,Region
Esperanza Community Housing Corporation,,City/Metro Area
Faith in the Valley - Fresno,,City/Metro Area
Faith in the Valley - Kern,,City/Metro Area
