"","entity_name","entity_type","num_appearances","org_type","CBO"
"1","groundwater_sustainability_plan","ORG",47772,NA,NA
"2","aliso_water_district","ORG",362,NA,NA
"3","subbasin","GPE",22115,NA,NA
"4","aliso_water_district_groundwater_sustainability_agency","ORG",422,NA,NA
"5","sustainable_groundwater_management_act","ORG",15149,NA,NA
"6","department_of_water_resources","ORG",17951,NA,NA
"7","san_joaquin_river","ORG",201,NA,NA
"8","groundwater_sustainability_plan_group","ORG",670,NA,NA
"9","coordination_committee","ORG",918,NA,NA
"10","party","ORG",1058,NA,NA
"11","data_management_system","ORG",2534,NA,NA
"12","department","ORG",1555,NA,NA
"13","san_joaquin","GPE",1132,NA,NA
"14","madera_county","GPE",553,NA,NA
"15","san_joaquin_river_restoration_program","ORG",302,NA,NA
"16","san_joaquin_valley","GPE",1121,NA,NA
"17","delta_mendota_subbasin","ORG",450,NA,NA
"18","california","GPE",5823,NA,NA
"19","bureau_of_reclamation","ORG",832,NA,NA
"20","groundwater_sustainability_plan_groups","ORG",252,NA,NA
"21","state","ORG",2439,NA,NA
"22","water_year","GPE",765,NA,NA
"23","customs_and_border_protection","ORG",42,NA,NA
"24","parties","ORG",371,NA,NA
"25","chowchilla_bypass","ORG",153,NA,NA
"26","los_banos","GPE",204,NA,NA
"27","cottonwood_creek","GPE",165,NA,NA
"28","technical_working_group","ORG",227,NA,NA
"29","aliso","GPE",36,NA,NA
"30","groundwater_sustainability_plan_group_representative","ORG",115,NA,NA
"31","madera","GPE",406,NA,NA
"32","technical_memoranda","ORG",274,NA,NA
"33","united_states_geological_survey","ORG",2621,NA,NA
"34","mendota","GPE",128,NA,NA
"35","groundwater_dependent_ecosystem","ORG",4037,NA,NA
"36","central_valley_project","ORG",1512,NA,NA
"37","hotchkiss","ORG",86,NA,NA
"38","tulare_formation","ORG",354,NA,NA
"39","fresno","GPE",551,NA,NA
"40","dmc","ORG",121,NA,NA
"41","county","GPE",2323,NA,NA
"42","data_quality_objective","ORG",238,NA,NA
"43","dos_palos","GPE",100,NA,NA
"44","merced","GPE",370,NA,NA
"45","subarticle","ORG",357,NA,NA
"46","af","ORG",1921,NA,NA
"47","food_and_agriculture_organization","ORG",13,NA,NA
"48","gis","ORG",304,NA,NA
"49","median_household_income","ORG",105,NA,NA
"50","sacramento","GPE",1099,NA,NA
"51","board","ORG",3395,NA,NA
"52","patterson","GPE",82,NA,NA
"53","sustainable_management_criteria","ORG",2234,NA,NA
"54","state_water_project","ORG",1609,NA,NA
"55","stanislaus","GPE",192,NA,NA
"56","delta_mendota_coordination_committee","ORG",60,NA,NA
"57","best_management_practice","ORG",154,NA,NA
"58","fresno_county","GPE",381,NA,NA
"59","global_positioning_system","ORG",421,NA,NA
"60","grf","ORG",8,NA,NA
"61","irrigated_lands_regulatory_program","ORG",650,NA,NA
"62","mi","ORG",759,NA,NA
"63","national_aeronautics_and_space_administration","ORG",337,NA,NA
"64","nature_conservancy","ORG",952,NA,NA
"65","situation_assessment","ORG",78,NA,NA
"66","wells","ORG",786,NA,NA
"67","upper_and_lower_aquifers","ORG",151,NA,NA
"68","district","GPE",282,NA,NA
"69","ec","ORG",271,NA,NA
"70","facility","ORG",66,NA,NA
"71","fresno_slough","GPE",226,NA,NA
"72","gustine","GPE",54,NA,NA
"73","hydrographs","ORG",256,NA,NA
"74","kdsa","ORG",193,NA,NA
"75","sldmwa","ORG",42,NA,NA
"76","congress_us_congress_us_congress_us_senate","ORG",177,NA,NA
"77","lower_san_joaquin_levee_district","ORG",6,NA,NA
"78","alternate_representative","ORG",33,NA,NA
"79","data_exchange_center","ORG",183,NA,NA
"80","coms_plan","ORG",60,NA,NA
"81","disadvantaged_community","ORG",791,NA,NA
"82","delta_mendota","GPE",76,NA,NA
"83","delta_mendota_subbasin_coordination_committee","ORG",46,NA,NA
"84","firebaugh","GPE",44,NA,NA
"85","groundwater_sustainability_agencies","ORG",392,NA,NA
"86","hydrogeologic_conceptual_model","ORG",929,NA,NA
"87","kenneth_d_schmidt_associates","ORG",23,NA,NA
"88","reporting_monitoring_data","ORG",28,NA,NA
"89","spring","GPE",179,NA,NA
"90","stanislaus_county","GPE",182,NA,NA
"91","agencies","ORG",103,NA,NA
"92","aliso_wd","ORG",11,NA,NA
"93","bertoldi_et_al","ORG",29,NA,NA
"94","cgps","ORG",195,NA,NA
"95","california_code_of_regulations","ORG",1448,NA,NA
"96","chowchilla","GPE",120,NA,NA
"97","communications_working_group","ORG",30,NA,NA
"98","cottonwood_creek_recharge_facility","ORG",6,NA,NA
"99","el_nido","GPE",74,NA,NA
"100","farmers_groundwater_sustainability_agency","ORG",4,NA,NA
"101","groundwater_sustainability_plan_group_representatives","ORG",41,NA,NA
"102","groundwater_sustainability_plan_plan","ORG",38,NA,NA
"103","groundwater_sustainability_plans","ORG",413,NA,NA
"104","group_contact","ORG",26,NA,NA
"105","integrated_regional_water_management","ORG",390,NA,NA
"106","madera_county_groundwater_sustainability_agency","ORG",83,NA,NA
"107","merced_county","GPE",230,NA,NA
"108","sjrecgsa","ORG",7,NA,NA
"109","san_benito_county","GPE",192,NA,NA
"110","san_luis_delta_mendota_water_authority","ORG",116,NA,NA
"111","shasta","ORG",114,NA,NA
"112","corcoran_clay","ORG",272,NA,NA
"113","wy2070","ORG",88,NA,NA
"114","coordination_committee_and_plan_manager","ORG",17,NA,NA
"115","coordination_committee_s","ORG",29,NA,NA
"116","drinking_water_source_assessment_and_protection_program","ORG",31,NA,NA
"117","delta_mendota_subbasin_technical_working_group","ORG",29,NA,NA
"118","kings_subbasin","GPE",16,NA,NA
"119","state_of_california","GPE",587,NA,NA
"120","united_states","GPE",1008,NA,NA
"121","awd1","ORG",3,NA,NA
"122","central_valley","ORG",139,NA,NA
"123","central_valley_regional_water_quality_control_board","ORG",148,NA,NA
"124","collaborating_for_success","ORG",23,NA,NA
"125","cropscape","ORG",40,NA,NA
"126","current_water_budget","ORG",35,NA,NA
"127","department_of_health_services","ORG",70,NA,NA
"128","delta_mendota_canal","GPE",31,NA,NA
"129","us_environmental_protection_agency","ORG",1203,NA,NA
"130","groundwater_conditions","ORG",36,NA,NA
"131","groundwater_sustainability_plan_submittal","ORG",70,NA,NA
"132","grayson","GPE",23,NA,NA
"133","lsce","ORG",411,NA,NA
"134","los_banos_creek","GPE",35,NA,NA
"135","madera_county_general_plan","ORG",22,NA,NA
"136","madera_subbasin","ORG",429,NA,NA
"137","san_joaquin_county","GPE",175,NA,NA
"138","agency","ORG",2189,NA,NA
"139","tuolumne","GPE",126,NA,NA
"140","upper_aquifer_sustainable","ORG",16,NA,NA
"141","wy2012","ORG",39,NA,NA
"142","delta_technical_working_group","ORG",19,NA,NA
"143","hydrogeological_conceptual_model","ORG",46,NA,NA
"144","northern_central_delta_mendota_region","ORG",89,NA,NA
"145","us_us_us_us_us_environmental_protection_agency_guidance_on_systematic_planning_using_the_data_quality_objectives_process","ORG",19,NA,NA
"146","united_states_of_america","GPE",10,NA,NA
"147","american_community_survey","ORG",51,NA,NA
"148","af_y","ORG",75,NA,NA
"149","agricultural_representation","ORG",24,NA,NA
