gsp_doc_id,gsp_id,canonical_gsp_id,version,plan_section,submitted_date,from_gsp_id,gsa_ids,gsa_names,basin,out_basename,doc_rank
944,0007,7,1,original,01/17/2020,,23,Aliso Water District GSA,5-022.07 DELTA-MENDOTA,gsp_doc_id_944.pdf,1
8770,0007,7,1,resubmitted,07/20/2022,,23,Aliso Water District GSA,5-022.07 DELTA-MENDOTA,gsp_doc_id_8770.pdf,2
1979,0008,8,1,original,01/23/2020,,40,Westlands Water District GSA,5-022.09 WESTSIDE,gsp_doc_id_1979.pdf,1
8785,0008,8,1,resubmitted,07/18/2022,,40,Westlands Water District GSA,5-022.09 WESTSIDE,gsp_doc_id_8785.pdf,2
386,0009,9,1,original,01/28/2020,,"311,223,219",Merced Irrigation-Urban GSA;Turner Island Water District GSA - Merced;Merced Subbasin GSA,5-022.04 MERCED,gsp_doc_id_386.pdf,1
8897,0009,9,1,resubmitted,07/26/2022,,"311,223,219",Merced Irrigation-Urban GSA;Turner Island Water District GSA - Merced;Merced Subbasin GSA,5-022.04 MERCED,gsp_doc_id_8897.pdf,2
3166,0011,11,1,original,01/30/2020,,24,Santa Cruz Mid-County Groundwater Agency GSA,3-001 SANTA CRUZ MID-COUNTY,gsp_doc_id_3166.pdf,1
2256,0012,12,1,original,01/29/2020,,"61,68,191,394",Chowchilla Water District GSA;County of Madera GSA - Chowchilla;County of Merced GSA - Chowchilla;Triangle T Water District GSA,5-022.05 CHOWCHILLA,gsp_doc_id_2256.pdf,1
9211,0012,12,1,resubmitted,07/27/2022,,"61,68,191,394",Chowchilla Water District GSA;County of Madera GSA - Chowchilla;County of Merced GSA - Chowchilla;Triangle T Water District GSA,5-022.05 CHOWCHILLA,gsp_doc_id_9211.pdf,2
4342,0013,13,1,original,01/23/2020,,"214,301,66,206,237,302,17,13,23,360,269,271,71,67,57,70,30,298,308,62,231,10,220",Northwestern Delta-Mendota GSA (Exclusive);DM-II GSA (Exclusive);City of Patterson GSA (Exclusive);Central Delta-Mendota GSA (Exclusive);Widren Water District GSA (Exclusive);Oro Loma Water District GSA (Exclusive);Patterson Irrigation District GSA (Exclusive);West Stanislaus Irrigation District GSA (Exclusive);link,5-022.07 DELTA-MENDOTA,gsp_doc_id_4342.pdf,1
8708,0013,13,1,resubmitted,07/20/2022,,"214,301,66,206,237,302,17,13,23,360,269,271,71,67,57,70,30,298,308,62,231,10,220",Northwestern Delta-Mendota GSA (Exclusive);DM-II GSA (Exclusive);City of Patterson GSA (Exclusive);Central Delta-Mendota GSA (Exclusive);Widren Water District GSA (Exclusive);Oro Loma Water District GSA (Exclusive);Patterson Irrigation District GSA (Exclusive);West Stanislaus Irrigation District GSA (Exclusive);link,5-022.07 DELTA-MENDOTA,gsp_doc_id_8708.pdf,2
1147,0014,14,1,original,01/23/2020,,30,Farmers Water District GSA,5-022.07 DELTA-MENDOTA,gsp_doc_id_1147.pdf,1
8858,0014,14,1,resubmitted,07/20/2022,,30,Farmers Water District GSA,5-022.07 DELTA-MENDOTA,gsp_doc_id_8858.pdf,2
