name,entity_type
carpinteria_groundwater_basin,Non_institutional
groundwater_sustainability_plan_also_referred_to_as_gsp,Non_institutional
carpinteria_gsa,GSA
california_sustainable_groundwater_management_act,Non_institutional
carpinteria_valley_water_district,Institutional_other
groundwater_sustainability_plan,Non_institutional
department_of_water_resources,Institutional_other
carpinteria_advanced_purification_project,Non_institutional
carpinteria_groundwater_sustainability_agency,GSA
board_of_directors,Institutional_other
california,Institutional_other
montecito_groundwater_basin_gsa,GSA
ventura_county,Institutional_other
confined_area,Non_institutional
district,Non_institutional
pacific_ocean,Non_institutional
rincon_creek,Non_institutional
california_department_of_fish_and_wildlife,Institutional_other
department,Non_institutional
santa_barbara_county,Institutional_other
us_geological_survey,Institutional_other
aquifer_unit_a,Non_institutional
carpinteria_basin,Non_institutional
carpinteria_creek,Non_institutional
blaney,Non_institutional
recharge_area,Non_institutional
geotechnical_consultants_inc,Consultant
section_5,Non_institutional
section_6,Non_institutional
city_of_carpinteria,Institutional_other
representative_monitoring_site,Non_institutional
sentinel,Non_institutional
rincon_creek_fault,Non_institutional
santa_barbara,Institutional_other
groundwater_sustainability_agencies,Non_institutional
section_35426,Non_institutional
we,Non_institutional
board,Non_institutional
jim_bailard,Non_institutional
santa_monica,Institutional_other
aquifer_unit_c,Non_institutional
groundwater_sustainability_public_advisory_committee,Institutional_other
casitas_municipal_water_district,Institutional_other
cachuma_project,Non_institutional
department_of_the_interior,Institutional_other
hydrometrics_water_resources_inc,Consultant
section_3,Non_institutional
urban_water_management_plan,Non_institutional
headquarters,Non_institutional
section_35436,Non_institutional
arroyo_paredon,Non_institutional
casitas_formation,Non_institutional
gsi,Consultant
sentinel_wells,Non_institutional
technical_coordination_committee,Institutional_other
ventura,Institutional_other
assembly_bill_3030,Non_institutional
franklin_creek,Non_institutional
pueblo,Institutional_other
sentinel_well,Non_institutional
county,Non_institutional
el_estero,Non_institutional
franklin,Institutional_other
franklin_creeks,Non_institutional
regional_water_quality_control_board,Institutional_other
stare_water_resources_control_board,Institutional_other
section_326,Non_institutional
section_3532,Non_institutional
toro_canyon,Non_institutional
gsa_stakeholder_communication_and_engagement_plan,Non_institutional
santa_ynez_mountains,Non_institutional
agencies,Non_institutional
carpinteria_groundwater_basin_groundwater_sustainability_plan,Non_institutional
central_coast_water_board,Institutional_other
lake_cachuma,Non_institutional
national_marine_fisheries_service,Institutional_other
national_oceanic_and_atmospheric_administration,Institutional_other
pueblo_water_resources_inc,Institutional_other
rincon_creek_thrust_fault,Non_institutional
section_3524,Non_institutional
bgc_engineering_inc,Consultant
basin_plan,Non_institutional
dwr_bulletin_118,Non_institutional
county_of_ventura_gsa,GSA
hq,Non_institutional
pueblo_water_resources,Institutional_other
section_4,Non_institutional
water_code_section_107272f,Non_institutional
montecito_gsa,GSA
aquifer_units,Non_institutional
arroyo_paredon_creek,Non_institutional
federal_endangered_species_act,Non_institutional
gobernador,Non_institutional
hydrogeologic_conceptual_model,Non_institutional
lyons,Non_institutional
montecito,Institutional_other
rincon,Non_institutional
section_327,Non_institutional
intertie_project,Non_institutional
santa_barbara_county_water_agency,Institutional_other
water_code_section_107238,Non_institutional
confined_area_of_the_basin,Non_institutional
california_environmental_quality_act,Non_institutional
c_zone,Non_institutional
carpinteria_salt_marsh,Non_institutional
carpinteria_salt_marsh_reserve,Non_institutional
casitas,Institutional_other
districts,Non_institutional
electrical_resistivity_tomography,Non_institutional
multi_node_well_package,Non_institutional
modflow,Non_institutional
santa_barbara_county_flood_control_district,Institutional_other
state_water_project,Institutional_other
santa_barbara_formation,Non_institutional
section_431,Non_institutional
section_612,Non_institutional
section_614,Non_institutional
serena_park,Institutional_other
state,Institutional_other
subarticle_4,Non_institutional
upson,Non_institutional
water_districts,Non_institutional
a_zone,Non_institutional
19e1,Non_institutional
19f4,Non_institutional
19k5,Non_institutional
22r4,Non_institutional
23_california_code_of_regulations,Non_institutional
34b4,Non_institutional
aquifer_storage_and_recovery,Non_institutional
carpinteria_fire_station_no_1,Non_institutional
carpinteria_valley,Non_institutional
central_coast,Non_institutional
county_of_santa_barbara,Institutional_other
el_carro,Non_institutional
groundwater_monitoring_program,Non_institutional
groundwater_basin,Non_institutional
groundwater_sustainability_agency_prepared,Non_institutional
joint_exercise_of_powers_agreement,Non_institutional
laguna_ridge,Non_institutional
natural_communities,Non_institutional
natural_communities_commonly_associated_with_groundwater,Non_institutional
plans,Non_institutional
rincon_creeks,Non_institutional
sand_point,Non_institutional
santa_monica_creek,Non_institutional
section_242,Non_institutional
section_63,Non_institutional
section_65,Non_institutional
california_state_water_resources_control_board,Institutional_other
state_of_california,Institutional_other
thomasson,Non_institutional
water_code,Non_institutional
rincon_fault,Non_institutional
19m3,Non_institutional
27e1,Non_institutional
28h1,Non_institutional
arroyo,Non_institutional
basin_representative_monitoring_site,Non_institutional
bredehoeft,Non_institutional
california_statewide_groundwater_elevation_monitoring,Non_institutional
carpinteria_valley_water_district_headquarters,Non_institutional
cachuma,Non_institutional
carpinteria_formation,Non_institutional
carpinteria_river_valley,Non_institutional
carpinteria_state_beach,Non_institutional
central_valley,Non_institutional
chapter_3,Non_institutional
el_caro,Non_institutional
el_carro_park,Non_institutional
gsa_board,Non_institutional
gsi_water_solutions_inc,Consultant
interferometric_synthetic_aperture_radar,Non_institutional
james_bishop,Non_institutional
li,Non_institutional
montgomery_associates,Consultant
modflow_nwt,Non_institutional
metropolitan_water_district_of_southern_california,Institutional_other
microsoft,Institutional_other
na,Non_institutional
oldenburg,Non_institutional
sustainable_management_criterion,Non_institutional
storage_unit_no1,Non_institutional
santa_ynez,Institutional_other
section_335,Non_institutional
section_35426_357,Non_institutional
sections_632_633,Non_institutional
smillie,Non_institutional
soil_conversation_service_for_santa_barbara_county,Institutional_other
santa_barbara_county_comprehensive_plan,Non_institutional
santa_barbara_irwm_plan,Non_institutional
water_quality_basin_plan,Non_institutional
title_22,Non_institutional
toro,Non_institutional
toro_creek,Non_institutional
water_code_107258,Non_institutional
wells,Non_institutional
confined_and_recharge_areas,Non_institutional
headquarters_well,Non_institutional
joint_exercise_of_powers_agreement_agreement,Non_institutional
19m1,Non_institutional
20k4,Non_institutional
23_cal_code_regs,Non_institutional
28j1,Non_institutional
assembly_bill_3030_groundwater_monitoring_program,Non_institutional
assembly_bill_3030_groundwater_management_plan,Non_institutional
advanced_water_purification_facility,Non_institutional
advisory_committee,Institutional_other
agricultural_order_no,Non_institutional
agricultural_water_management_plan,Non_institutional
aquifer,Non_institutional
article_5_plan_contents,Non_institutional
article_6,Non_institutional
basin_creeks,Non_institutional
bedrock,Non_institutional
carpinteria_advanced_purification_project_6_implementation,Non_institutional
california_endangered_species_act,Non_institutional
carpinteria_groundwater_sustainability_plan,Non_institutional
carpinteria_sanitary_district,Institutional_other
california_data_exchange_center,Institutional_other
california_california_environmental_protection_agency,Institutional_other
california_irrigation_management_information_system,Institutional_other
california_water_code,Non_institutional
carpinteria_avenue,Non_institutional
carpinteria_fire_station,Non_institutional
casitas_formations,Non_institutional
central_coast_region,Non_institutional
channelkeeper,NGO
chapter_4,Non_institutional
chapter_8,Non_institutional
city_council,Institutional_other
coldwater_sandstone,Non_institutional
california_division_of_drinking_water,Institutional_other
data_management_system,Non_institutional
darcy,Non_institutional
draft_gsp,Non_institutional
driscoll,Non_institutional
us_environmental_protection_agency,Institutional_other
ert01_images,Non_institutional
ert03,Non_institutional
environmental_health_services,Institutional_other
geographic_information_system,Non_institutional
gsi_water_solutions,Consultant
gsp_basin,Non_institutional
geotracker,Non_institutional
gobernador_creek,Non_institutional
gobernador_creeks,Non_institutional
government_code_section_53051,Non_institutional
high_school,Non_institutional
highway_101,Non_institutional
lake_casitas,Non_institutional
leapfrog,Non_institutional
loke_and_barker,Non_institutional
mbg,Non_institutional
modflow_wel,Non_institutional
minor,Non_institutional
natural_resources_conservation_service,Institutional_other
nate_irwin,Non_institutional
native_american,Non_institutional
newsom,Non_institutional
north_american,Non_institutional
ocean_boundary,Non_institutional
paredon_creek,Non_institutional
proposition_26,Non_institutional
public_trust_doctrine,Non_institutional
recital_a_119,Non_institutional
recital_b_110,Non_institutional
recital_b_113,Non_institutional
recital_b_114,Non_institutional
resolution_0001,Non_institutional
rincon_point,Non_institutional
sustainable_groundwater_management_act_107258b,Non_institutional
secondary_maximum_contaminant_level,Non_institutional
storage_unit_no_2,Non_institutional
san_diego_county,Institutional_other
section_10730,Non_institutional
section_10927,Non_institutional
section_133,Non_institutional
section_22,Non_institutional
section_2_of_article_x,Non_institutional
section_31,Non_institutional
section_323,Non_institutional
section_33,Non_institutional
section_3526,Non_institutional
section_55,Non_institutional
section_5_4451_attainment_of_monitoring_objectives_and_other_requirements_35434,Non_institutional
section_610_limitations,Non_institutional
section_69,Non_institutional
section_7_section_78,Non_institutional
section_932a,Non_institutional
sentinel_monitoring_well_network_expansion,Non_institutional
sentinel_well_network_expansion,Non_institutional
sespe_formations,Non_institutional
southern_california,Non_institutional
storage_unit,Non_institutional
bureau_of_reclamation,Institutional_other
carpinteria_valley_water_district_el_caro_well,Non_institutional
carpinteria_gsa_board_of_directors,Institutional_other
joint_exercise_of_powers_act,Non_institutional
nature_conservancy,NGO
