,num_triples,num_entities,num_relations,relation_entropy,most_common_relation_ratio,avg_degree,num_components,clustering_coeff
7,19.0,17.0,9.0,2.886122093394784,0.2631578947368421,1.7647058823529411,3.0,0.0
8,25.0,20.0,18.0,4.003856189774725,0.16,2.4,2.0,0.12590909090909091
9,3.0,5.0,3.0,1.584962500721156,0.3333333333333333,1.2,2.0,0.0
11,52.0,53.0,32.0,4.733811593016276,0.11538461538461539,1.8867924528301887,9.0,0.06855345911949685
12,19.0,22.0,7.0,2.3531906713383224,0.42105263157894735,1.6363636363636365,4.0,0.0
13,14.0,16.0,8.0,2.8423709931771084,0.21428571428571427,1.75,4.0,0.0
14,14.0,11.0,3.0,0.7345299214394703,0.8571428571428571,2.5454545454545454,3.0,0.0
15,73.0,40.0,22.0,3.8862515618369287,0.1780821917808219,2.6,3.0,0.07013583638583638
16,22.0,24.0,13.0,3.299896391167891,0.2727272727272727,1.75,6.0,0.049999999999999996
17,8.0,11.0,7.0,2.75,0.25,1.2727272727272727,4.0,0.0
18,36.0,50.0,15.0,3.2817536555801707,0.2777777777777778,1.36,17.0,0.0
19,6.0,7.0,4.0,1.9182958340544896,0.3333333333333333,1.7142857142857142,1.0,0.0
20,24.0,19.0,11.0,2.625814583693911,0.5,2.4210526315789473,5.0,0.12280701754385966
21,21.0,21.0,13.0,3.499227541723357,0.19047619047619047,1.9047619047619047,3.0,0.10317460317460317
22,34.0,25.0,18.0,3.712319091186708,0.23529411764705882,2.4,3.0,0.22205128205128205
23,21.0,11.0,7.0,2.5342436128428614,0.2857142857142857,1.2727272727272727,4.0,0.0
24,36.0,37.0,24.0,4.3264658909811935,0.1388888888888889,1.6756756756756757,8.0,0.0
25,34.0,29.0,17.0,3.722569548410142,0.20588235294117646,1.9310344827586208,4.0,0.0
26,13.0,8.0,5.0,1.7004397181410922,0.6153846153846154,1.25,3.0,0.0
28,45.0,38.0,20.0,3.910135943224482,0.15555555555555556,1.8421052631578947,5.0,0.029323308270676692
29,10.0,8.0,7.0,2.6464393446710157,0.3,2.0,2.0,0.0
30,46.0,38.0,19.0,3.6966249991590185,0.2608695652173913,2.3684210526315788,5.0,0.03602756892230576
31,36.0,40.0,20.0,4.048688113203415,0.1388888888888889,1.7,8.0,0.0
32,21.0,16.0,14.0,3.6537567082870015,0.14285714285714285,2.125,3.0,0.16041666666666665
35,1.0,2.0,1.0,-0.0,1.0,1.0,1.0,0.0
36,63.0,57.0,31.0,4.680603979504504,0.1111111111111111,2.1052631578947367,11.0,0.020467836257309944
37,4.0,6.0,3.0,1.5,0.5,1.3333333333333333,2.0,0.0
38,20.0,25.0,12.0,3.3841837197791893,0.2,1.6,5.0,0.0
42,3.0,5.0,1.0,-0.0,1.0,1.2,2.0,0.0
43,89.0,51.0,29.0,3.523375262216753,0.43820224719101125,3.0588235294117645,5.0,0.006724843783667313
