original_entry,disambiguated_firm,search_method,occurrence_count
gei_consultants_inc,gei_consultants_inc,external_research,1
bondy_groundwater_consulting_inc,bondy_groundwater_consulting_inc,keyword_search,1
jacobs,jacobs,external_research,1
ramboll,ramboll,external_research,1
dudek,dudek,external_research,1
yamabe_horn_engineering_inc,yamabe_horn_engineering_inc,company_indicator,1
woodard_curran,woodard_curran,external_research,1
eki_environment_water_inc,eki_environment_water_inc,external_research,1
nickel_family_llc,nickel_family_llc,company_indicator,1
searles_valley_minerals_inc,searles_valley_minerals_inc,company_indicator,1
daniel_b_stephens_associates,daniel_b_stephens_associates,external_research,1
water_systems_consulting_inc,water_systems_consulting_inc,keyword_search,1
environmental_science_associates,environmental_science_associates,external_research,1
west_yost_associates,west_yost_associates,external_research,1
wildermuth_environmental_inc,wildermuth_environmental_inc,external_research,1
