disambiguated_firm,total_occurrences,num_variations,search_methods,variations
bondy_groundwater_consulting_inc,1,1,keyword_search,bondy_groundwater_consulting_inc
daniel_b_stephens_associates,1,1,external_research,daniel_b_stephens_associates
dudek,1,1,external_research,dudek
eki_environment_water_inc,1,1,external_research,eki_environment_water_inc
environmental_science_associates,1,1,external_research,environmental_science_associates
gei_consultants_inc,1,1,external_research,gei_consultants_inc
jacobs,1,1,external_research,jacobs
nickel_family_llc,1,1,company_indicator,nickel_family_llc
ramboll,1,1,external_research,ramboll
searles_valley_minerals_inc,1,1,company_indicator,searles_valley_minerals_inc
water_systems_consulting_inc,1,1,keyword_search,water_systems_consulting_inc
west_yost_associates,1,1,external_research,west_yost_associates
wildermuth_environmental_inc,1,1,external_research,wildermuth_environmental_inc
woodard_curran,1,1,external_research,woodard_curran
yamabe_horn_engineering_inc,1,1,company_indicator,yamabe_horn_engineering_inc
