gsp_id,gsa,variable,value
0007,aliso_water_district_groundwater_sustainability_agency,ramboll,NA
0008,groundwater_sustainability_agency,ramboll,NA
0008,westlands_water_district_groundwater_sustainability_agency,ramboll,NA
0009,groundwater_sustainability_agency,ramboll,NA
0009,merced_irrigation_urban_groundwater_sustainability_agency,ramboll,NA
0009,merced_subbasin_groundwater_sustainability_agency,ramboll,NA
0009,miugsa,ramboll,NA
0009,turner_island_water_district_groundwater_sustainability_agency_merced,ramboll,NA
0011,mga,ramboll,1
0011,santa_cruz_mid_county_groundwater_agency_gsa,ramboll,0
0012,chowchilla_water_district_groundwater_sustainability_agency,ramboll,NA
0012,groundwater_sustainability_agency,ramboll,NA
0012,triangle_t_water_district_groundwater_sustainability_agency,ramboll,NA
0013,dm_ii_groundwater_sustainability_agency,ramboll,NA
0013,groundwater_sustainability_agency,ramboll,NA
0013,oro_loma_water_district_groundwater_sustainability_agency,ramboll,NA
0014,farmers_water_district_groundwater_sustainability_agency,ramboll,NA
0015,city_of_dos_palos_groundwater_sustainability_agency,ramboll,NA
0015,city_of_firebaugh_groundwater_sustainability_agency,ramboll,NA
0015,city_of_gustine_groundwater_sustainability_agency,ramboll,NA
0015,city_of_los_banos_groundwater_sustainability_agency,ramboll,NA
0015,city_of_mendota_groundwater_sustainability_agency,ramboll,NA
0015,city_of_newman_groundwater_sustainability_agency,ramboll,NA
0015,county_of_madera_groundwater_sustainability_agency_delta_mendota,ramboll,NA
0015,county_of_merced_groundwater_sustainability_agency_delta_mendota,ramboll,NA
0015,groundwater_sustainability_agency,ramboll,NA
0015,san_joaquin_river_exchange_contractors_groundwater_sustainability_agency,ramboll,NA
0015,turner_island_water_district_groundwater_sustainability_agency_delta_mendota,ramboll,NA
0016,fox_canyon_groundwater_management_agency,ramboll,NA
0016,fox_canyon_groundwater_management_agency_gsa_oxnard,ramboll,NA
0017,fox_canyon_groundwater_management_agency,ramboll,NA
0017,fox_canyon_groundwater_management_agency_gsa_pleasant_valley,ramboll,NA
0018,fox_canyon_groundwater_management_agency,ramboll,NA
0018,fox_canyon_groundwater_management_agency_gsa_las_posas_valley,ramboll,NA
0019,mound_basin_groundwater_sustainability_agency,ramboll,NA
0020,county_of_fresno_groundwater_sustainability_agency_delta_mendota_management_area_a,ramboll,NA
0020,county_of_fresno_groundwater_sustainability_agency_delta_mendota_management_area_b,ramboll,NA
0020,groundwater_sustainability_agency,ramboll,NA
0021,city_of_madera_groundwater_sustainability_agency,ramboll,NA
0021,county_of_madera_groundwater_sustainability_agency_madera,ramboll,NA
0021,groundwater_sustainability_agency,ramboll,NA
0021,madera_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0021,madera_water_district_groundwater_sustainability_agency,ramboll,NA
0022,central_kings_groundwater_sustainability_agency,ramboll,NA
0023,kings_river_east_groundwater_sustainability_agency,ramboll,NA
0024,north_kings_groundwater_sustainability_agency,ramboll,NA
0025,north_fork_kings_groundwater_sustainability_agency,ramboll,NA
0026,south_kings_groundwater_sustainability_agency,ramboll,NA
0028,mcmullin_area_groundwater_sustainability_agency,ramboll,NA
0029,county_of_monterey_groundwater_sustainability_agency,ramboll,NA
0029,groundwater_sustainability_agency,ramboll,NA
0029,salinas_valley_basin_groundwater_sustainability_agency,ramboll,NA
0030,greater_kaweah_groundwater_sustainability_agency,ramboll,NA
0031,james_groundwater_sustainability_agency,ramboll,NA
0032,cuyama_basin_groundwater_sustainability_agency,ramboll,NA
0035,city_of_paso_robles_groundwater_sustainability_agency,ramboll,NA
0035,groundwater_sustainability_agency,ramboll,NA
0035,san_miguel_community_services_district_groundwater_sustainability_agency,ramboll,NA
0035,shandon_san_juan_groundwater_sustainability_agency,ramboll,NA
0036,groundwater_sustainability_agency,ramboll,NA
0036,kern_groundwater_authority,ramboll,NA
0036,kern_groundwater_authority_groundwater_sustainability_agency,ramboll,NA
0037,henry_miller_water_district_gsa,ramboll,NA
0038,county_of_merced_groundwater_sustainability_agency_delta_mendota,ramboll,NA
0038,grasslands_groundwater_sustainability_agency,ramboll,NA
0038,groundwater_sustainability_agency,ramboll,NA
0042,el_rico_groundwater_sustainability_agency,ramboll,NA
0042,groundwater_sustainability_agency,ramboll,NA
0042,mid_kings_river_groundwater_sustainability_agency,ramboll,NA
0042,sfkgsa,ramboll,NA
0042,south_fork_kings_groundwater_sustainability_agency,ramboll,NA
0042,southwest_kings_groundwater_sustainability_agency,ramboll,NA
0042,tri_county_water_authority_groundwater_sustainability_agency_tulare_lake,ramboll,NA
0043,eastern_tule_groundwater_sustainability_agency,ramboll,NA
0044,olcese_water_district_groundwater_sustainability_agency,ramboll,NA
0045,root_creek_water_district_groundwater_sustainability_agency,ramboll,NA
0047,central_delta_water_agency_groundwater_sustainability_agency,ramboll,NA
0047,central_san_joaquin_water_conservation_district_groundwater_sustainability_agency,ramboll,NA
0047,city_of_lodi_groundwater_sustainability_agency,ramboll,NA
0047,city_of_manteca_groundwater_sustainability_agency,ramboll,NA
0047,city_of_stockton_groundwater_sustainability_agency,ramboll,NA
0047,county_of_san_joaquin_groundwater_sustainability_agency_eastern_san_joaquin_1,ramboll,NA
0047,county_of_san_joaquin_groundwater_sustainability_agency_eastern_san_joaquin_2,ramboll,NA
0047,eastside_san_joaquin_groundwater_sustainability_agency,ramboll,NA
0047,groundwater_sustainability_agency,ramboll,NA
0047,linden_county_water_district_groundwater_sustainability_agency,ramboll,NA
0047,lockeford_community_service_district_groundwater_sustainability_agency,ramboll,NA
0047,north_san_joaquin_water_conservation_district_groundwater_sustainability_agency,ramboll,NA
0047,oakdale_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0047,south_delta_water_agency_groundwater_sustainability_agency,ramboll,NA
0047,south_san_joaquin_groundwater_sustainability_agency,ramboll,NA
0047,stockton_east_water_district_groundwater_sustainability_agency,ramboll,NA
0047,woodbridge_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0048,alpaugh_groundwater_sustainability_agency,ramboll,NA
0049,new_stone_water_district_groundwater_sustainability_agency,ramboll,NA
0050,mid_kaweah_groundwater_sustainability_agency,ramboll,NA
0050,mkgsa,ramboll,NA
0051,buena_vista_water_storage_district_gsa,ramboll,NA
0052,groundwater_sustainability_agency,ramboll,NA
0052,yuba_water_agency,ramboll,NA
0054,groundwater_sustainability_agency,ramboll,NA
0054,kern_river_groundwater_sustainability_agency,ramboll,NA
0056,lower_tule_river_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0056,ltridgsa,ramboll,NA
0057,tri_county_water_authority_groundwater_sustainability_agency_tule,ramboll,NA
0058,east_kaweah_groundwater_sustainability_agency,ramboll,NA
0058,groundwater_sustainability_agency,ramboll,NA
0059,indian_wells_valley_groundwater_authority,ramboll,NA
0059,indian_wells_valley_groundwater_authority_groundwater_sustainability_agency,ramboll,NA
0061,gravelly_ford_water_district_groundwater_sustainability_agency,ramboll,NA
0063,delano_earlimart_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0065,pixley_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0067,castac_basin_gsa,ramboll,NA
0070,county_of_humboldt_groundwater_sustainability_agency,ramboll,NA
0071,west_san_jacinto_groundwater_sustainability_agency,ramboll,NA
0072,fillmore_and_piru_basins_groundwater_sustainability_agency_piru,ramboll,NA
0072,fpbgsa,ramboll,NA
0073,fillmore_and_piru_basins_groundwater_sustainability_agency_fillmore,ramboll,NA
0073,fpbgsa,ramboll,NA
0074,santa_margarita_groundwater_agency,ramboll,NA
0074,santa_margarita_groundwater_agency_gsa,ramboll,NA
0075,san_pasqual_valley_groundwater_sustainability_agency,ramboll,NA
0075,san_pasqual_valley_gsa,ramboll,NA
0076,pauma_valley_groundwater_sustainability_agency,ramboll,NA
0076,pvgsa,ramboll,NA
