name,entity_type
carpinteria_groundwater_basin,Basin
groundwater_sustainability_plan_also_referred_to_as_gsp,Reference
carpinteria_gsa,GSA
california_sustainable_groundwater_management_act,Legal
carpinteria_valley_water_district,District
groundwater_sustainability_plan,Reference
department_of_water_resources,State_Gov
carpinteria_advanced_purification_project,Water_Project
carpinteria_groundwater_sustainability_agency,GSA
board_of_directors,Group
california,Geographic_Unit
montecito_groundwater_basin_gsa,GSA
ventura_county,County
confined_area,Geographic_Unit
district,Nonsense
pacific_ocean,Natural_Feature
rincon_creek,Natural_Feature
california_department_of_fish_and_wildlife,State_Gov
department,Nonsense
santa_barbara_county,County
us_geological_survey,Federal_Gov
aquifer_unit_a,Natural_Feature
carpinteria_basin,Basin
carpinteria_creek,Natural_Feature
blaney,Person
recharge_area,Geographic_Unit
geotechnical_consultants_inc,Consultant
section_5,Legal
section_6,Legal
city_of_carpinteria,City
representative_monitoring_site,Infrastructure
sentinel,Infrastructure
rincon_creek_fault,Natural_Feature
santa_barbara,City
groundwater_sustainability_agencies,GSA
section_35426,Legal
we,Nonsense
board,Nonsense
jim_bailard,Person
santa_monica,City
aquifer_unit_c,Natural_Feature
groundwater_sustainability_public_advisory_committee,Group
casitas_municipal_water_district,District
cachuma_project,Water_Project
department_of_the_interior,Federal_Gov
section_3,Legal
urban_water_management_plan,Reference
headquarters,Nonsense
section_35436,Legal
arroyo_paredon,Natural_Feature
casitas_formation,Natural_Feature
gsi,Consultant
sentinel_wells,Infrastructure
technical_coordination_committee,Group
ventura,City
assembly_bill_3030,Legal
franklin_creek,Natural_Feature
pueblo,Nonsense
sentinel_well,Infrastructure
county,Nonsense
el_estero,Natural_Feature
franklin,City
franklin_creeks,Natural_Feature
regional_water_quality_control_board,State_Gov
stare_water_resources_control_board,State_Gov
section_326,Legal
section_3532,Legal
toro_canyon,Natural_Feature
gsa_stakeholder_communication_and_engagement_plan,Reference
santa_ynez_mountains,Natural_Feature
agencies,Nonsense
carpinteria_groundwater_basin_groundwater_sustainability_plan,Reference
central_coast_water_board,State_Gov
lake_cachuma,Natural_Feature
national_marine_fisheries_service,Federal_Gov
national_oceanic_and_atmospheric_administration,Federal_Gov
pueblo_water_resources_inc,Company
rincon_creek_thrust_fault,Natural_Feature
section_3524,Legal
bgc_engineering_inc,Consultant
basin_plan,Legal
dwr_bulletin_118,Reference
county_of_ventura_gsa,GSA
hq,Nonsense
pueblo_water_resources,Company
section_4,Legal
water_code_section_107272f,Legal
montecito_gsa,GSA
aquifer_units,Natural_Feature
arroyo_paredon_creek,Natural_Feature
federal_endangered_species_act,Legal
gobernador,Natural_Feature
hydrogeologic_conceptual_model,Data_System
lyons,Nonsense
montecito,City
rincon,Natural_Feature
section_327,Legal
intertie_project,Water_Project
santa_barbara_county_water_agency,District
water_code_section_107238,Legal
confined_area_of_the_basin,Geographic_Unit
california_environmental_quality_act,Legal
c_zone,Geographic_Unit
carpinteria_salt_marsh,Natural_Feature
carpinteria_salt_marsh_reserve,Natural_Feature
casitas,District
districts,Nonsense
electrical_resistivity_tomography,Technical
multi_node_well_package,Data_System
modflow,Data_System
santa_barbara_county_flood_control_district,District
state_water_project,Water_Project
santa_barbara_formation,Natural_Feature
section_431,Legal
section_612,Legal
section_614,Legal
serena_park,City
state,Nonsense
subarticle_4,Legal
upson,Person
water_districts,District
a_zone,Geographic_Unit
19e1,Nonsense
19f4,Nonsense
19k5,Nonsense
22r4,Nonsense
23_california_code_of_regulations,Legal
34b4,Nonsense
aquifer_storage_and_recovery,Water_Project
carpinteria_fire_station_no_1,Infrastructure
carpinteria_valley,Natural_Feature
central_coast,Geographic_Unit
county_of_santa_barbara,County
el_carro,Nonsense
groundwater_monitoring_program,Data_System
groundwater_basin,Basin
groundwater_sustainability_agency_prepared,GSA
joint_exercise_of_powers_agreement,Legal
laguna_ridge,Geographic_Unit
natural_communities,Natural_Feature
natural_communities_commonly_associated_with_groundwater,Natural_Feature
plans,Reference
rincon_creeks,Natural_Feature
sand_point,Geographic_Unit
santa_monica_creek,Natural_Feature
section_242,Legal
section_63,Legal
section_65,Legal
california_state_water_resources_control_board,State_Gov
state_of_california,State_Gov
thomasson,Person
water_code,Legal
rincon_fault,Natural_Feature
19m3,Nonsense
27e1,Nonsense
28h1,Nonsense
arroyo,Natural_Feature
basin_representative_monitoring_site,Data_System
bredehoeft,Person
california_statewide_groundwater_elevation_monitoring,Data_System
carpinteria_valley_water_district_headquarters,Infrastructure
cachuma,Natural_Feature
carpinteria_formation,Natural_Feature
carpinteria_river_valley,Natural_Feature
carpinteria_state_beach,Natural_Feature
central_valley,Geographic_Unit
chapter_3,Reference
el_caro,Nonsense
el_carro_park,Infrastructure
gsa_board,Group
interferometric_synthetic_aperture_radar,Data_System
james_bishop,Person
li,Person
modflow_nwt,Data_System
metropolitan_water_district_of_southern_california,District
microsoft,Company
na,Nonsense
oldenburg,Person
sustainable_management_criterion,Technical
storage_unit_no1,Infrastructure
santa_ynez,City
section_335,Legal
section_35426_357,Legal
sections_632_633,Legal
smillie,Infrastructure
soil_conversation_service_for_santa_barbara_county,State_Gov
santa_barbara_county_comprehensive_plan,Legal
santa_barbara_irwm_plan,Legal
water_quality_basin_plan,Legal
title_22,Legal
toro,Natural_Feature
toro_creek,Natural_Feature
water_code_107258,Legal
wells,Infrastructure
confined_and_recharge_areas,Geographic_Unit
headquarters_well,Infrastructure
joint_exercise_of_powers_agreement_agreement,Legal
19m1,Nonsense
20k4,Nonsense
23_cal_code_regs,Legal
28j1,Nonsense
assembly_bill_3030_groundwater_monitoring_program,Legal
assembly_bill_3030_groundwater_management_plan,Legal
advanced_water_purification_facility,Infrastructure
advisory_committee,Group
agricultural_order_no,Legal
agricultural_water_management_plan,Water_Project
aquifer,Natural_Feature
article_5_plan_contents,Legal
article_6,Legal
basin_creeks,Natural_Feature
bedrock,Natural_Feature
carpinteria_advanced_purification_project_6_implementation,Legal
california_endangered_species_act,Legal
carpinteria_groundwater_sustainability_plan,Legal
carpinteria_sanitary_district,District
california_data_exchange_center,Data_System
california_california_environmental_protection_agency,State_Gov
california_irrigation_management_information_system,Data_System
california_water_code,Legal
carpinteria_avenue,Infrastructure
carpinteria_fire_station,Infrastructure
casitas_formations,Natural_Feature
central_coast_region,Geographic_Unit
channelkeeper,NGO
chapter_4,Reference
chapter_8,Reference
city_council,Local_Gov
coldwater_sandstone,Natural_Feature
california_division_of_drinking_water,State_Gov
data_management_system,Data_System
darcy,Person
draft_gsp,Reference
driscoll,Person
us_environmental_protection_agency,Federal_Gov
ert01_images,Nonsense
ert03,Nonsense
environmental_health_services,Local_Gov
geographic_information_system,Data_System
gsp_basin,Basin
geotracker,Data_System
gobernador_creek,Natural_Feature
gobernador_creeks,Natural_Feature
government_code_section_53051,Legal
high_school,Nonsense
highway_101,Infrastructure
lake_casitas,Natural_Feature
leapfrog,Data_System
loke_and_barker,Consultant
mbg,Geographic_Unit
modflow_wel,Data_System
minor,Person
natural_resources_conservation_service,Federal_Gov
nate_irwin,Person
native_american,Nonsense
newsom,Person
north_american,Nonsense
