search_pattern,found_in_dataset
aecom,FALSE
jacobs,TRUE
wsp,FALSE
tetra_tech,FALSE
hdr,FALSE
arcadis,FALSE
ch2m,FALSE
icf,FALSE
erm,TRUE
trc,FALSE
woodward,FALSE
curran,TRUE
swca,FALSE
brown_caldwell,FALSE
cdm_smith,FALSE
gza,FALSE
scs_engineers,FALSE
kleinfelder,FALSE
terracon,FALSE
haley_aldrich,FALSE
langan,FALSE
weston,FALSE
sampson,FALSE
barr_engineering,FALSE
partner_esi,FALSE
cardno,FALSE
amec,FALSE
foster_wheeler,FALSE
ramboll,TRUE
arup,FALSE
mott_macdonald,FALSE
golder,FALSE
wood_environment,FALSE
rps,FALSE
ecology_environment,FALSE
michael_baker,FALSE
4_creeks,FALSE
six_33_solutions,FALSE
a_a_rich,FALSE
aecom,FALSE
albion_environmental,FALSE
analytical_environmental_services,FALSE
asm_affiliates,FALSE
atlas_engineering_services,FALSE
balance_hydrologics,FALSE
bargas_environmental_consulting,FALSE
bbj_group,FALSE
bennett_engineering_services,FALSE
blankinship_associates,FALSE
borton_petrini,FALSE
brown_caldwell,FALSE
brown_norman,FALSE
bsk_associates_engineers_laboratories,FALSE
capta_hydro,FALSE
california_hydrologic,FALSE
cardona,FALSE
ch2m_hill,FALSE
chico_environmental_science_planning,FALSE
daniel_b_stephens_associates,TRUE
dihydrogen_oxide,FALSE
dudek,TRUE
ebi_consulting,FALSE
ecorp_consulting,FALSE
eki_environment_water,TRUE
energy_fave,FALSE
environmental_science_associates,TRUE
emc_planning_group,FALSE
foothill_associates,FALSE
fugro_consultants,FALSE
gei_consultant,TRUE
geissler_associates,FALSE
geo_blue_consulting,FALSE
gregory_engineering,FALSE
hdr_engineering,FALSE
horizon_water_environmental,FALSE
icf_international,FALSE
integrated_resource_management,FALSE
johnson_nicholas,FALSE
jrp_historical_consulting,FALSE
kjeldsen_biological_consulting,FALSE
kjeldsen_sinnock_neudeck,FALSE
krieger_stewart,FALSE
laura_hall_consulting,FALSE
mark_thomas,FALSE
mbk_engineers,FALSE
mead_hunt,FALSE
michael_baker_international,FALSE
napa_valley_vineyard_engineering,FALSE
normandeau_associates,FALSE
north_coast_resource_management,FALSE
oconnor_environmental,FALSE
pacific_water_management,FALSE
padre_associates,FALSE
provost_pritchard_consulting,FALSE
rights_to_water_engineering,FALSE
rincon_consultants,FALSE
rutan_tucker,FALSE
shaw_john,FALSE
shn_consulting_engineers_geologists,FALSE
spector_consulting_service,FALSE
stetson_engineers,FALSE
steven_j_herzog,FALSE
stevens_consulting,FALSE
strange_aquatic_resources,FALSE
stuntzner_engineering_forestry,FALSE
swale,FALSE
tall_tree_engineering,FALSE
tec_civil_engineering_consultants,FALSE
terraphase_engineering,FALSE
tully_young,FALSE
upland_hydrogeology_consulting,FALSE
urbana_preservation_planning,FALSE
urs,FALSE
wagner_bonsignore_consulting_civil_engineers,FALSE
weiss_associates,FALSE
west_yost_associates,TRUE
westwater_research,FALSE
whf_environmental_engineering_group,FALSE
wilson_water_resources,FALSE
winzler_kelly_consulting_engineers,FALSE
wood_rodgers,FALSE
woodard_curran,TRUE
zanjero,FALSE
