,num_triples,num_entities,num_relations,relation_entropy,most_common_relation_ratio,avg_degree,num_components,clustering_coeff
unfiltered_dependency_edgelist_0007.RDS,467.0,549.0,363.0,8.320872350064315,0.019271948608137045,1.6320582877959928,116.0,0.006452094261963632
unfiltered_dependency_edgelist_0008.RDS,427.0,527.0,313.0,8.005890645823452,0.05152224824355972,1.5825426944971537,124.0,0.004472122748363635
unfiltered_dependency_edgelist_0009.RDS,312.0,411.0,252.0,7.847891021862141,0.016025641025641024,1.4841849148418491,110.0,0.0007357200787857723
unfiltered_dependency_edgelist_0011.RDS,1169.0,1387.0,751.0,9.073478007104029,0.02737382378100941,1.573179524152848,339.0,0.0025330789913455007
unfiltered_dependency_edgelist_0012.RDS,350.0,442.0,250.0,7.703485817717902,0.025714285714285714,1.4298642533936652,126.0,0.0
unfiltered_dependency_edgelist_0013.RDS,290.0,404.0,227.0,7.674156364151495,0.020689655172413793,1.400990099009901,121.0,0.0
unfiltered_dependency_edgelist_0014.RDS,473.0,603.0,343.0,8.197881191519565,0.019027484143763214,1.529021558872305,153.0,0.0016894385472547293
unfiltered_dependency_edgelist_0015.RDS,620.0,706.0,375.0,8.115485061059992,0.024193548387096774,1.5325779036827196,175.0,0.0
unfiltered_dependency_edgelist_0016.RDS,233.0,230.0,159.0,7.05196055732288,0.030042918454935622,1.626086956521739,50.0,0.006521739130434782
unfiltered_dependency_edgelist_0017.RDS,167.0,177.0,131.0,6.880476148657817,0.023952095808383235,1.694915254237288,34.0,0.0015481333776448435
unfiltered_dependency_edgelist_0018.RDS,585.0,508.0,347.0,8.090431973104241,0.017094017094017096,1.7834645669291338,93.0,0.0028707570778204014
unfiltered_dependency_edgelist_0019.RDS,680.0,512.0,323.0,7.823518916776219,0.029411764705882353,1.66015625,111.0,0.007191515569444456
unfiltered_dependency_edgelist_0020.RDS,356.0,468.0,281.0,7.983715129011179,0.016853932584269662,1.4700854700854702,133.0,0.00030806513116828543
unfiltered_dependency_edgelist_0021.RDS,340.0,417.0,238.0,7.611410073153876,0.026470588235294117,1.4532374100719425,115.0,0.0
unfiltered_dependency_edgelist_0022.RDS,575.0,569.0,329.0,7.900117671811307,0.02608695652173913,1.4797891036906854,161.0,0.00013428282321076694
unfiltered_dependency_edgelist_0023.RDS,286.0,315.0,183.0,7.211798971819992,0.03496503496503497,1.4666666666666666,90.0,0.003869992441421013
unfiltered_dependency_edgelist_0024.RDS,705.0,709.0,406.0,8.24350870811235,0.029787234042553193,1.534555712270804,177.0,0.0010617256918959283
unfiltered_dependency_edgelist_0025.RDS,559.0,550.0,313.0,7.885211922538747,0.03220035778175313,1.509090909090909,146.0,0.0005350415350415349
unfiltered_dependency_edgelist_0026.RDS,438.0,432.0,255.0,7.673922662767224,0.0319634703196347,1.5324074074074074,105.0,0.0
unfiltered_dependency_edgelist_0028.RDS,534.0,522.0,305.0,7.881877926150953,0.0299625468164794,1.5632183908045978,131.0,0.0034219787378253212
unfiltered_dependency_edgelist_0029.RDS,567.0,652.0,345.0,8.03161527658811,0.02821869488536155,1.5674846625766872,160.0,0.004451151518997062
