,,cached_contextual_semantic,triple_jaccard,size_similarity,structural_similarity
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0008.RDS,0.6960569620132446,0.021003500583430573,0.9143468950749465,0.9989664310930738
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0009.RDS,0.6600359082221985,0.001314060446780552,0.6680942184154175,0.9976378242889218
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0011.RDS,0.6839119791984558,0.0019169329073482429,0.39948674080410607,0.9969060209111116
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0012.RDS,0.6647279262542725,0.006493506493506494,0.7494646680942184,0.9966116132066194
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0013.RDS,0.6575373411178589,0.004070556309362279,0.6209850107066381,0.9938119684422488
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0014.RDS,0.7006001472473145,0.019889502762430938,0.9873150105708245,0.9976540765866191
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0015.RDS,0.6716936826705933,0.009109311740890687,0.7532258064516129,0.9958169842278011
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0016.RDS,0.5860841870307922,0.0,0.4989293361884368,0.9968550016119342
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0017.RDS,0.5808992981910706,0.0,0.35760171306209854,0.9982912018922374
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0018.RDS,0.6447898149490356,0.0,0.7982905982905983,0.9893076136869376
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0019.RDS,0.7001641988754272,0.038238702201622246,0.6867647058823529,0.9746010167004926
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0020.RDS,0.6621120572090149,0.013853904282115869,0.7623126338329764,0.9969131953122354
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0021.RDS,0.6552233695983887,0.006587615283267457,0.728051391862955,0.9973435257698762
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0022.RDS,0.7057361006736755,0.0399529964747356,0.8121739130434783,0.9931215506382383
unfiltered_dependency_edgelist_0007.RDS,unfiltered_dependency_edgelist_0023.RDS,0.6554373502731323,0.019230769230769232,0.6124197002141327,0.9965931370988452
