name,org_type,core,gsp_id
groundwater_sustainability_plan,Loc_Gov,1,0007
aliso_water_district,Spec_Dist,1,0007
subbasin,GPE,1,0007
aliso_water_district_groundwater_sustainability_agency,GSA,1,0007
coordination_committee,NA,1,0007
groundwater_sustainability_plan,Loc_Gov,1,0008
groundwater_sustainability_agency,Loc_Gov,1,0008
groundwater_sustainability_plan,Loc_Gov,1,0009
department_of_water_resources,CA_Gov,1,0009
mga,GSA,1,0011
groundwater_sustainability_plan,Loc_Gov,1,0011
groundwater_sustainability_plan,Loc_Gov,1,0012
chowchilla_subbasin,NA,1,0012
groundwater_sustainability_plan,Loc_Gov,1,0013
subbasin,GPE,1,0013
department_of_water_resources,CA_Gov,1,0013
groundwater_sustainability_agency,Loc_Gov,1,0013
sustainable_groundwater_management_act,CA_Gov,1,0013
san_joaquin_river,GPE,1,0013
san_joaquin,GPE,1,0013
northern_central_delta_mendota_region,NA,1,0013
delta_mendota_subbasin,NA,1,0013
groundwater_sustainability_plan,Loc_Gov,1,0014
farmers_water_district,NA,1,0014
subbasin,GPE,1,0014
farmers_water_district_groundwater_sustainability_agency,GSA,1,0014
coordination_committee,NA,1,0014
groundwater_sustainability_plan,Loc_Gov,1,0015
groundwater_sustainability_agency,Loc_Gov,1,0015
san_joaquin_river_exchange_contractors_groundwater_sustainability_agency,GSA,1,0015
groundwater_sustainability_plan,Loc_Gov,1,0016
subbasin,GPE,1,0016
upper_aquifer_system,NA,1,0016
fox_canyon_groundwater_management_agency,GSA,1,0016
united_water_conservation_district,NA,1,0016
lower_aquifer_system,GPE,1,0016
oxnard,GPE,1,0016
forebay,PERSON,1,0016
santa_clara_river,GPE,1,0016
united,NA,1,0016
vrgwfm,NA,1,0016
geological_survey,NL_Gov,1,0016
groundwater_sustainability_plan,Loc_Gov,1,0017
fox_canyon_groundwater_management_agency,GSA,1,0017
east_las_posas_management_area,NA,1,0018
groundwater_sustainability_plan,Loc_Gov,1,0018
fox_canyon_aquifer,NA,1,0018
arroyo_simi,PERSON,1,0018
las_posas,GPE,1,0018
groundwater_sustainability_plan,Loc_Gov,1,0019
mound_basin_groundwater_sustainability_agency,GSA,1,0019
santa_clara_river,GPE,1,0019
united,NA,1,0019
groundwater_sustainability_plan,Loc_Gov,1,0020
subbasin,GPE,1,0020
groundwater_sustainability_agency,Loc_Gov,1,0020
coordination_committee,NA,1,0020
groundwater_sustainability_plan,Loc_Gov,1,0021
groundwater_sustainability_agency,Loc_Gov,1,0021
central_kings_groundwater_sustainability_agency,GSA,1,0022
consolidated_irrigation_district,NA,1,0022
kings_river_east_groundwater_sustainability_agency,GSA,1,0023
groundwater_sustainability_plan,Loc_Gov,1,0023
north_kings_groundwater_sustainability_agency,GSA,1,0024
groundwater_sustainability_plan,Loc_Gov,1,0024
north_fork_kings_groundwater_sustainability_agency,GSA,1,0025
groundwater_sustainability_plan,Loc_Gov,1,0025
south_kings_groundwater_sustainability_agency,GSA,1,0026
groundwater_sustainability_plan,Loc_Gov,1,0026
mcmullin_area_groundwater_sustainability_agency,GSA,1,0028
groundwater_sustainability_plan,Loc_Gov,1,0028
mullin_area_groundwater_sustainability_agency,NA,1,0028
sustainable_groundwater_management_act,CA_Gov,1,0028
department_of_water_resources,CA_Gov,1,0028
san_joaquin_river,GPE,1,0028
bureau_of_reclamation,NL_Gov,1,0028
state,NA,1,0028
california,GPE,1,0028
san_joaquin_river_restoration_program,Loc_Gov,1,0028
groundwater_sustainability_plan,Loc_Gov,1,0029
subbasin,GPE,1,0029
groundwater_sustainability_agency,Loc_Gov,1,0029
salinas_valley_basin_groundwater_sustainability_agency,GSA,1,0029
monterey_county_water_resources_agency,Spec_Dist,1,0029
sustainable_groundwater_management_act,CA_Gov,1,0029
groundwater_sustainability_plan,Loc_Gov,1,0030
greater_kaweah_groundwater_sustainability_agency,GSA,1,0030
james_groundwater_sustainability_agency,GSA,1,0031
james_irrigation_district,PERSON,1,0031
groundwater_sustainability_plan,Loc_Gov,1,0031
department_of_water_resources,CA_Gov,1,0031
data_management_system,NA,1,0031
groundwater_sustainability_plan,Loc_Gov,1,0032
department_of_water_resources,CA_Gov,1,0032
cuyama_basin_groundwater_sustainability_agency,GSA,1,0032
subbasin,GPE,1,0035
groundwater_sustainability_plan,Loc_Gov,1,0035
subbasin,GPE,1,0036
department_of_water_resources,CA_Gov,1,0036
kern_county_subbasin,NA,1,0036
groundwater_sustainability_plan,Loc_Gov,1,0036
sustainable_groundwater_management_act,CA_Gov,1,0036
kern_county,GPE,1,0036
kern_groundwater_authority,GSA,1,0036
groundwater_sustainability_agency,Loc_Gov,1,0036
kern_river_groundwater_sustainability_agency,NA,1,0036
todd_groundwater,PERSON,1,0036
subbasin,GPE,1,0037
department_of_water_resources,CA_Gov,1,0037
kern_county_subbasin,NA,1,0037
groundwater_sustainability_plan,Loc_Gov,1,0037
sustainable_groundwater_management_act,CA_Gov,1,0037
kern_county,GPE,1,0037
henry_miller_water_district_gsa,GSA,1,0037
henry_miller_water_district,NA,1,0037
kern_groundwater_authority,NA,1,0037
kern_river_groundwater_sustainability_agency,NA,1,0037
todd_groundwater,PERSON,1,0037
groundwater_sustainability_plan,Loc_Gov,1,0038
subbasin,GPE,1,0038
groundwater_sustainability_agency,Loc_Gov,1,0038
sustainable_groundwater_management_act,CA_Gov,1,0038
grassland_water_district,NA,1,0038
department_of_water_resources,CA_Gov,1,0038
groundwater_sustainability_plan_group,NA,1,0038
grassland_groundwater_sustainability_agency,NA,1,0038
coordination_committee,NA,1,0038
subbasin,GPE,1,0042
groundwater_sustainability_plan,Loc_Gov,1,0042
groundwater_sustainability_agency,Loc_Gov,1,0042
eastern_tule_groundwater_sustainability_agency,GSA,1,0043
groundwater_sustainability_plan,Loc_Gov,1,0043
groundwater_sustainability_plan,Loc_Gov,1,0044
olcese_groundwater_sustainability_agency_area,NA,1,0044
department_of_water_resources,CA_Gov,1,0044
kern_county_subbasin,NA,1,0044
sustainable_groundwater_management_act,CA_Gov,1,0044
subbasin,GPE,1,0044
olcese_water_district_groundwater_sustainability_agency,GSA,1,0044
kern_subbasin,NA,1,0044
olcese_groundwater_sustainability_agency,NA,1,0044
kern_river_groundwater_sustainability_agency,NA,1,0044
root_creek_water_district_groundwater_sustainability_agency,GSA,1,0045
groundwater_sustainability_plan,Loc_Gov,1,0045
subbasin,GPE,1,0047
groundwater_sustainability_plan,Loc_Gov,1,0047
department_of_water_resources,CA_Gov,1,0047
groundwater_sustainability_agency,Loc_Gov,1,0047
sustainable_groundwater_management_act,CA_Gov,1,0047
san_joaquin_county,GPE,1,0047
implementation_of_potential_projects,NA,1,0047
alpaugh_groundwater_sustainability_agency,GSA,1,0048
groundwater_sustainability_plan,Loc_Gov,1,0048
new_stone_water_district_groundwater_sustainability_agency,GSA,1,0049
groundwater_sustainability_plan,Loc_Gov,1,0049
groundwater_sustainability_plan,Loc_Gov,1,0050
mid_kaweah_groundwater_sustainability_agency,GSA,1,0050
mkgsa,NA,1,0050
buena_vista_groundwater_sustainability_agency,NA,1,0051
buena_vista_water_storage_district_gsa,GSA,1,0051
buena_vista_water_storage_district,NA,1,0051
groundwater_sustainability_plan,Loc_Gov,1,0052
department_of_water_resources,CA_Gov,1,0052
yuba_water_agency,GSA,1,0052
kern_river_groundwater_sustainability_agency,GSA,1,0054
groundwater_sustainability_plan,Loc_Gov,1,0054
lower_tule_river_irrigation_district_groundwater_sustainability_agency,GSA,1,0056
dctra,NA,1,0056
groundwater_sustainability_plan,Loc_Gov,1,0056
tbwqc,NL_Gov,1,0056
sustainable_groundwater_management_act,CA_Gov,1,0056
tule_subbasin,NA,1,0056
tule_subbasin_setting,NA,1,0056
lower_tule_river_irrigation_district,NA,1,0056
department_of_water_resources,CA_Gov,1,0056
tulare_county,GPE,1,0056
gpc,NA,1,0056
relative_percent_difference,NA,1,0056
tri_county_water_authority_groundwater_sustainability_agency_tule,GSA,1,0057
tcwa,NA,1,0057
angiola_water_district,NA,1,0057
groundwater_sustainability_plan,Loc_Gov,1,0057
central_valley_project,Project,1,0057
mercy_springs,GPE,1,0057
tule_subbasin,NA,1,0057
department_of_water_resources,CA_Gov,1,0057
tule_subbasin_technical_advisory_committee,NA,1,0057
fresno_slough,GPE,1,0057
rpd,NA,1,0057
east_kaweah_groundwater_sustainability_agency,GSA,1,0058
groundwater_sustainability_plan,Loc_Gov,1,0058
indian_wells_valley_groundwater_authority,GSA,1,0059
groundwater_sustainability_plan,Loc_Gov,1,0059
gravelly_ford_water_district_groundwater_sustainability_agency,GSA,1,0061
gravelly_ford_water_district,NA,1,0061
groundwater_sustainability_plan,Loc_Gov,1,0061
subbasin,GPE,1,0061
san_joaquin,GPE,1,0061
san_joaquin_river,GPE,1,0061
cottonwood_creek,GPE,1,0061
department_of_water_resources,CA_Gov,1,0061
madera_subbasin,NA,1,0061
north_kings_groundwater_sustainability_agency,NA,1,0061
madera_county,GPE,1,0061
cvp,NL_Gov,1,0061
delano_earlimart_irrigation_district_groundwater_sustainability_agency,GSA,1,0063
delano_earlimart_irrigation_district,Spec_Dist,1,0063
pixley_irrigation_district_groundwater_sustainability_agency,GSA,1,0065
deer_creek_and_tule_river_authority,NA,1,0065
groundwater_sustainability_plan,Loc_Gov,1,0065
tbwqc,NL_Gov,1,0065
sustainable_groundwater_management_act,CA_Gov,1,0065
tule_subbasin,NA,1,0065
tule_subbasin_setting,NA,1,0065
department_of_water_resources,CA_Gov,1,0065
tulare_county,GPE,1,0065
tule_subbasin_tac,NA,1,0065
subbasin,GPE,1,0065
central_valley_project,Project,1,0065
relative_percent_difference,NA,1,0065
groundwater_sustainability_plan,Loc_Gov,1,0067
castac_basin_gsa,GSA,1,0067
esri,NA,1,0067
basemap,PERSON,1,0067
groundwater_sustainability_plan,Loc_Gov,1,0070
eel_river_valley_basin,NA,1,0070
department_of_water_resources,CA_Gov,1,0070
groundwater_dependent_ecosystem,NA,1,0070
sustainable_groundwater_management_act,CA_Gov,1,0070
humboldt_county,GPE,1,0070
humboldt_county_groundwater_sustainability_agency,NA,1,0070
groundwater_sustainability_plan,Loc_Gov,1,0071
department_of_water_resources,CA_Gov,1,0071
west_san_jacinto_groundwater_sustainability_agency,GSA,1,0071
fillmore,GPE,1,0072
united_water_conservation_district,NA,1,0072
santa_clara_river,GPE,1,0072
united,NA,1,0072
fpbgsa,NA,1,0072
santa_paula,GPE,1,0072
department_of_water_resources,CA_Gov,1,0072
ventura_county,GPE,1,0072
united_states_geological_survey,NA,1,0072
regional_model,NA,1,0072
fillmore,GPE,1,0073
united_water_conservation_district,NA,1,0073
santa_clara_river,GPE,1,0073
united,NA,1,0073
fpbgsa,NA,1,0073
santa_paula,GPE,1,0073
department_of_water_resources,CA_Gov,1,0073
ventura_county,GPE,1,0073
united_states_geological_survey,NA,1,0073
groundwater_sustainability_plan,Loc_Gov,1,0074
san_lorenzo_valley_water_district,NA,1,0074
lompico,NA,1,0074
scotts_valley_water_district,NA,1,0074
scotts_valley,GPE,1,0074
monterey_formation,NA,1,0074
groundwater_sustainability_plan,Loc_Gov,1,0075
san_pasqual_valley_gsa,GSA,1,0075
groundwater_sustainability_plan,Loc_Gov,1,0076
us_environmental_protection_agency,NL_Gov,1,0076
pauma_valley_groundwater_sustainability_agency,GSA,1,0076
sustainable_groundwater_management_act,CA_Gov,1,0076
department_of_water_resources,CA_Gov,1,0076
groundwater_sustainability_plan,Loc_Gov,1,0077
upper_ventura_river_groundwater_agency,GSA,1,0077
western_management_area,NA,1,0078
santa_ynez_river,GPE,1,0078
groundwater_sustainability_plan,Loc_Gov,1,0078
santa_ynez_river_valley_basin_western_management_area_groundwater_sustainability_agency,GSA,1,0078
sustainable_groundwater_management_act,CA_Gov,1,0078
cma,NA,1,0079
santa_ynez_river,GPE,1,0079
groundwater_sustainability_plan,Loc_Gov,1,0079
sustainable_groundwater_management_act,CA_Gov,1,0079
santa_ynez_river_valley_basin_central_management_area_groundwater_sustainability_agency,GSA,1,0079
department_of_water_resources,CA_Gov,1,0079
ema,NA,1,0080
groundwater_sustainability_plan,Loc_Gov,1,0080
santa_ynez_river_valley_basin_eastern_management_area_groundwater_sustainability_agency,GSA,1,0080
groundwater_sustainability_plan,Loc_Gov,1,0081
corona,NA,1,0081
temescal_subbasin_groundwater_sustainability_agency,GSA,1,0081
groundwater_sustainability_plan,Loc_Gov,1,0082
enterprise_anderson_groundwater_sustainability_agency,NA,1,0082
groundwater_sustainability_plan,Loc_Gov,1,0083
enterprise_anderson_groundwater_sustainability_agency,NA,1,0083
groundwater_sustainability_plan,Loc_Gov,1,0084
ukiah_valley_basin_gsa,GSA,1,0084
groundwater_sustainability_plan,Loc_Gov,1,0085
stanislaus_and_tuolumne_rivers_groundwater_basin_association_groundwater_sustainability_agency,GSA,1,0085
groundwater_sustainability_plan,Loc_Gov,1,0086
department_of_water_resources,CA_Gov,1,0086
sustainable_groundwater_management_act,CA_Gov,1,0086
groundwater_sustainability_agency,Loc_Gov,1,0086
vina_subbasin,NA,1,0086
vina_groundwater_sustainability_agency,GSA,1,0086
groundwater_sustainability_plan,Loc_Gov,1,0087
san_antonio_basin_groundwater_sustainability_agency,GSA,1,0087
barka_slough,GPE,1,0087
slough,GPE,1,0087
sustainable_groundwater_management_act,CA_Gov,1,0087
san_antonio_creek,GPE,1,0087
geological_survey,NL_Gov,1,0087
paso_robles_formation,NA,1,0087
los_alamos_community_services_district,GPE,1,0087
department_of_water_resources,CA_Gov,1,0087
california,GPE,1,0087
basin_characterization_model,NA,1,0087
los_alamos,GPE,1,0087
dischargers,PERSON,1,0087
casmalia,GPE,1,0087
santa_barbara_county,GPE,1,0087
mrp,NA,1,0087
