"GSP","Allocations","Allocation Base","Trading","Taxes/Fees","Tax Base","Rate Structure","Pumping Restrictions","Efficiency Incentives","Status","GSP_ID","Allocation Description","Trading Description","Taxes Description","Restriction Description","Incentive Description"
"Groundwater Sustainability Plan for Aliso Water District","M",NA,"M","M","Extraction","Tiered","N","M","Inadequate",7,NA,NA,NA,NA,"p.175 Incentives could be awarded to users who utilize surface water in lieu of groundwater, convert land use in order to reduce pumping, or make updates to their irrigation system that improve data management or increase efficiency. The District may reduce or reimburse annual assessments for landowners that import surface water. It may fund, in part or whole, improvements that benefit the entire GSA; Voluntary land fallowing is contingent on the willingness of farmers to either temporarily or permanently fallow their land. Farmers could be offered incentives to volunteer to fallow their fields through subsidies, land purchases, and water credits for other fields; p.177 Offering incentives to farmers for implementing projects that will increase on-farm efficiencies can promote aquifer sustainability by reducing or eliminating water that leaves the District via irrigation runoff, wind and spray loss, and leaks. Possible projects to incentivize may include installation of soil moisture sensors, utilization of high-efficiency irrigation methods."
"Groundwater Sustainability Plan for Westside Subbasin","Y","Acreage","Y","N",NA,NA,"M","Y","Approved",8,"p. 323 "" a uniform annual allocation is established at 1.3 AF per acre and then
subsequently reduced each year by 0.1 AF per acre until 2030 ""","p. 327 Very little specific information, but mentioned as a part of implementing allocations",NA,NA,"Incentives for switching to surface water or alternate groundwater sources for specific pumpers near creeks with conjunctive use issues"
"Groundwater Sustainability Plan for Merced Subbasin","Y","Multiple","M","M","Extraction",NA,"N","Y","Approved",9,"p. 316: the specifics of how this will be done, taking into account land area, historical use, appropriative use, and other considerations are still being worked out by the GSAs","p. 319: ""Achieving these reductions will likely require the MSGSA to utilize available methods, which may include: establishing
a per-acre pumping allocation for water users in the MSGSA, possibly with a trading market""","p. 316: ""Achieving these reductions will likely require the MSGSA to utilize available methods, which may include: [...] establishing fee structures tied to extracted volumes",NA,"Rebates for retrofits targetted at DACs"
"Groundwater Sustainability Plan for Santa Cruz Mid-County","M",NA,"N","M","Extraction",NA,"M","Y","Approved",11,"p 400: In a situation where the planned Projects and Management Actions are insufficient to reach sustainability, the MGA would determine the amount of water that affected pumpers could take sustainably, and the pumpers would be required to reduce their groundwater extraction to that allocation.",NA,"p 401: The MGA will consider the adoption of fees and/or other penalties for violations of pumping allowance and/or reporting in the event that restrictions are implemented.",NA,"The City of Santa Cruz Water Department (SCWD) uses fees paid by developers to support a robust rebate program that has resulted in a significant reduction in water demand"
"Groundwater Sustainability Plan for Chowchilla Subbasin","M","Not Specified","M","M",NA,NA,"N","M","Inadequate",12,"p. 442 For Madera County GSA only, listed as one possible policy option for using demand management to keep demand under a specified cap, says allocations could be ""tied to a crop-type or historical use or could be evenly distributed among existing irrigators or over all lands""","p. 442 For Madera County GSA only, hypothetical system which ""would establish a full accounting of groundwater supply, allocation of that water supply to local stakeholders, and a recordkeeping system"" which may restrict trades based on the ""location and timing of the use of traded credits""",NA,NA,"Madera County GSA may identify potential easements or incentivize land fallowing as part of a broader demand management effort"
"Groundwater Sustainability Plan for the Northern and Central Delta-Mendota Regions","M",NA,"M","M","Extraction",NA,"M","N","Inadequate",13,"Not specified","p. 517: ""Programs that could incentivize the use of surface water over groundwater could include, but are not limited to, [...], a groundwater accounting framework, and rules that allow growers to sell ‘groundwater credits.’ It is assumed that this management action will be developed over the next five years with input from the GSAs and participating growers and would be implemented beginning in January 2026""","p. 519: ""A groundwater extraction fee or groundwater production charge could be collected from entities that own or operate a water-producing well. Revenue from these fees could then be used to pay for a variety of activities""",NA,NA
"Groundwater Sustainability Plan for Farmers Water District","N",NA,"N","M","Extraction",NA,"M","N","Inadequate",14,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for the San Joaquin River Contractors in Delta Mendota Subbasin","N",NA,"N","N",NA,NA,"N","N","Inadequate",15,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Oxnard Subbasin","Y","Historic Pumping","Y","Y","Extraction","Tiered","N","Y","Approved",16,"Already implemented for the Oxnard Basin as of 2019; implementing ordinance is copied as Appendix A-4 in GSP p. 573","p 551: Participants are able to submit anonymous bids and offers to an electronic trading desk matching buyers and sellers. Trades are limited by geography and quantity. Transfers cannot result in net increase in total market allocations. Pilot definitely started, unclear if this pilot continues/adopted permanently?","Charges for pumping in excess of allocation",NA,"Temporary land fallowing program via leases, targetting parcels susceptible to seawater intrustion"
"Groundwater Sustainability Plan for Pleasant Valley Basin","Y","Historic Pumping","Y","Y","Extraction","Tiered","N","Y","Approved",17,"Already implemented for the Pleasant Valley Basin as of 2019; implementing ordinance is copied as Appendix A-4 in GSP p. 381","Transfers and temporary sales are permitted under the ordinance defining the allocation scheme","FCGMA already collects fees and is considering additional fees after SGMA, currently there is a fee of $6 per af with surcharges for extraction in excess of allocations, fees are described on p. 34",NA,"Temporary land fallowing program via leases, targetting parcels susceptible to seawater intrustion"
"Groundwater Sustainability Plan for Las Posas Valley Subbasin","Y","Historic Pumping","N","Y","Extraction","Tiered","N","N","Approved",18,"Already implemented by FCGMA since the 1980s",NA,"FCGMA already collects fees and is considering additional fees after SGMA, currently there is a fee of $6 per af with surcharges for extraction in excess of allocations, fees are described on p. 40",NA,NA
"Mound Basin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",19,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for County of Fresno","N",NA,"N","Y","Extraction",NA,"M","N","Inadequate",20,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Madera - Joint","Y","Acreage","M","M","Acreage",NA,"N","M","Incomplete",21,"Specific to Madera County, among demand management actions ""under consideration,"" but later states allocations have already been implemented. Earlier portion makes allocation base unclear, but later says ""The Madera County Advisory Committee for GSAs recommended that as part of the GSP, native groundwater should be allocated equally across irrigated and unirrigated land within the County GSAs. The vote was 10-1.""",NA,"Implemented already but currently subject to court injunction pending litigation p. 460: ""In 2022, MC completed the development of a rate study that wasintended to result in an acreagebased rate for extraction of groundwater within the MC GSA. The GSA Board approved a rate package in spring 2022.""",NA,"""Madera County would identify potential easement programs and other sources of funding to incentivize fallowing of irrigated lands. """
"Groundwater Sustainability Plan for Central Kings","N",NA,"N","N",NA,NA,"N","N","Approved",22,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Kings River East","N",NA,"N","Y","Extraction","Uniform","N","N","Approved",23,NA,NA,"p. 474: $1.45 per acre-foot",NA,NA
"Groundwater Sustainability Plan for North Kings","M","Acreage","N","N",NA,NA,"M","N","Approved",24,"p. 345 NKGSA ""does not anticipate needing to set a groundwater allocation"" but included it as a possible management action ""should conditions worsen,"" says they may adopt a policy ""which provides finite groundwater allocation on a per acre basis for the NKGSA as a whole, or for sub-areas of the NKGSA""",NA,NA,NA,NA
"Groundwater Sustainability Plan for North Fork Kings","M",NA,"M","M",NA,NA,"M","M","Approved",25,"p. 440 Will be implemented only if necessary and after investigative study - seem to be leaning towards and acreage-based allocation","p. 447","p. 454 Fees could be on all pumping, pumping exceedences, or a flat rate per well head",NA,"Unspecific list of potential incentive targets including crop switching, BMP adoption, and fallowing"
"Groundwater Sustainability Plan for South Kings","N",NA,"N","N",NA,NA,"M","N","Approved",26,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for McMullin Area","M","Not Specified","M","M","Extraction",NA,"M","M","Approved",28,"p. 474 Will be implemented only if necessary and after investigative study - seem to be leaning towards and acreage-based allocation","p. 477 Will be implemented if allocations are implemented","p. 482: Fees could be on all pumping or just exceedance of allocations",NA,"Unspecific list of potential incentive targets including crop switching, BMP adoption, and fallowing"
"Groundwater Sustainability Plan for 180/400 Foot Aquifer Subbasin","Y","Multiple","M","Y","Extraction","Tiered","Y","N","Approved",29,"TBD - can be a combination of acreage, Historic crop types, Historic pumping or other factors  (p 324)","p 327-328: Pumping allowances could also be permanently or temporarily transferred between owners and could be used for another pumping purpose. Non-exempt pumpers who do not receive an initial pumping allowance may aquire pumping allowance from willing sellers subject to SVBGSA approval.","p 322: Groundwater pumped within the sustainable pumping allowance is charged a base rate called Tier 1 - Sustainable Pumping Charge. Groundwater pumped in excess of the sustainable pumping allowance but within their transitional allowance is charged a rate called Tier 2 - Transitional Pumping Charge. Any groundwater pumped above the transitional pumping allowance is subject to Tier 3 - Supplementary Pumping Charge.",NA,NA
"Groundwater Sustainability Plan for Greater Kaweah","M","Acreage","M","M",NA,NA,"N","N","Inadequate",30,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for James","N",NA,"N","N",NA,NA,"N","Y","Approved",31,NA,NA,"Decided not to move forward with previously designated 'maybe' tiered extraction tax p. 351",NA,"Incentives for fallowing"
