"name","num_appearances_sum","num_appearances_mean","num_types","entity_type","AI_TAGGED"
"groundwater_sustainability_plan",47475,406,1,"Local_Gov",0.00854700854700855
"subbasin",22217,255,1,"Basin",0
"department_of_water_resources",17705,151,1,"State_Gov",0
"sustainable_groundwater_management_act",15063,129,1,"State_Gov",0
"groundwater_sustainability_agency",7593,190,1,"Local_GSA",0
"california",5754,50,1,"State_Gov",0
"groundwater_dependent_ecosystem",3839,55,1,"Natural_Feature",0
"board",3293,42,1,"Group",0
"united_states_geological_survey",2596,36,1,"Federal_Gov",0
"data_management_system",2397,32,1,"Technical",0
"state",2304,23,4,"State_Gov",1
"county",2256,23,1,"County",0
"sustainable_management_criteria",2050,27,1,"Legal",1
"agency",1998,64,1,"Group",0
"santa_clara_river",1789,256,1,"Natural_Feature",0
"af",1770,28,1,"Nonsense",1
"san_joaquin_river",1703,49,1,"Natural_Feature",0
"geological_survey",1653,47,1,"Federal_Gov",0
"department",1539,19,1,"Group",0
"north_fork_kings_groundwater_sustainability_agency",1537,220,2,"Other_GSA",0
"central_valley_project",1502,31,1,"Water_Project",0
"mt",1492,50,3,"State_Gov",1
"state_water_project",1488,28,1,"Water_Project",0
"united_water_conservation_district",1481,165,1,"District",0
"surface_water_system",1456,208,1,"Natural_Feature",0
"east_kaweah_groundwater_sustainability_agency",1449,483,2,"Other_GSA",0
"ema",1381,460,1,"Nonsense",1
"united",1290,215,1,"Nonsense",1
"north_kings_groundwater_sustainability_agency",1258,157,2,"Other_GSA",0
"dischargers",1176,98,2,"Group",1
"fillmore",1171,195,1,"City",0
"state_water_resources_control_board",1161,13,1,"State_Gov",0
"board_of_directors",1153,16,1,"Group",0
"western_management_area",1146,229,1,"Geographic_Unit",0
"south_kings_groundwater_sustainability_agency",1114,186,2,"Other_GSA",0
"advisory_committee",1096,32,1,"Group",0
"san_joaquin",1092,25,1,"County",0
"kern_county_subbasin",1079,120,1,"Basin",0
"san_joaquin_valley",1072,22,1,"Geographic_Unit",0
"kings_river_east_groundwater_sustainability_agency",1050,175,2,"Other_GSA",0
"party",1041,24,1,"Nonsense",1
"bureau_of_reclamation",1039,20,1,"Federal_Gov",0
"gws",1038,94,3,"Technical",1
"upper_aquifer_system",1028,103,1,"Natural_Feature",0
"james_groundwater_sustainability_agency",955,159,2,"Other_GSA",0
"us_environmental_protection_agency",948,17,1,"Federal_Gov",0
"sacramento",944,21,1,"County",0
"cma",940,470,2,"District",1
"svbgsa",939,235,2,"Local_GSA",0
"isw",922,61,1,"Nonsense",1
"kern_river_groundwater_sustainability_agency",922,184,2,"Other_GSA",0
"santa_ynez_river",918,230,1,"Natural_Feature",0
"coordination_committee",917,71,1,"Group",0
"fox_canyon_groundwater_management_agency",890,127,2,"Other_GSA",0
"eastern_tule_groundwater_sustainability_agency",875,292,2,"Local_GSA",0
"montecito_groundwater_basin",870,870,1,"Local_GSA",0
"minimum_threshold",865,54,2,"Legal",1
"nature_conservancy",861,12,1,"NGO",1
"draft",840,23,1,"Nonsense",1
"mcmullin_area_groundwater_sustainability_agency",823,118,2,"Other_GSA",0
"napa_county",820,410,1,"County",0
"california_code_of_regulations",817,17,1,"State_Gov",0
"hydrogeologic_conceptual_model",813,15,1,"Technical",0
"united_states",808,10,2,"Federal_Gov",1
"kern_county",806,38,1,"County",0
"mid_kaweah_groundwater_sustainability_agency",779,390,2,"Other_GSA",0
"state_board",774,37,1,"Group",0
"appendix",766,14,1,"Reference",0
"authority",763,48,1,"Group",0
"aem",755,44,2,"Nonsense",1
"lower_aquifer_system",738,82,1,"Natural_Feature",0
"wy",712,36,2,"Geographic_Unit",1
"disadvantaged_community",700,11,1,"Group",0
"state_of_california",700,9,1,"State_Gov",0
"tule_subbasin",696,87,1,"Basin",0
"central_kings_groundwater_sustainability_agency",685,98,2,"Local_GSA",0
"mcwra",678,226,1,"District",1
"delano_earlimart_irrigation_district_groundwater_sustainability_agency",677,677,1,"Local_GSA",0
"environmental_quality_act",677,12,1,"State_Gov",0
"forebay",675,56,2,"Infrastructure",1
"mi",675,20,1,"Nonsense",1
"mou",671,15,1,"Group",0
"groundwater_sustainability_plan_group",670,112,1,"Group",0
"lower_tule_river_irrigation_district_groundwater_sustainability_agency",660,660,1,"Local_GSA",0
"greater_kaweah_groundwater_sustainability_agency",659,165,2,"Local_GSA",0
"kings_subbasin",650,59,1,"Basin",0
"mkgsa",648,216,2,"Other_GSA",0
"ukiah_valley_basin_gsa",644,644,1,"Local_GSA",0
"water_year",641,32,1,"Technical",1
"ventura_county",634,45,1,"County",0
"monterey_county_water_resources_agency",622,89,1,"Group",0
"central_coast_water_board",618,69,1,"Group",0
"wells",612,10,2,"Infrastructure",1
"sierra_nevada",611,14,2,"Natural_Feature",1
"oxnard",607,101,1,"City",0
"pixley_irrigation_district_groundwater_sustainability_agency",596,596,1,"Local_GSA",0
"salinas_valley_basin_groundwater_sustainability_agency",596,298,2,"Local_GSA",0
"santa_paula",594,99,1,"City",0
"modflow",592,16,1,"Technical",0
"natural_communities_commonly_associated_with_groundwater",565,12,1,"Natural_Feature",0
"vrgwfm",562,112,1,"Nonsense",1
"city_of",548,11,1,"City",0
"committee",547,17,1,"Group",0
"kern_groundwater_authority",546,68,2,"Local_GSA",0
"interconnected_surface_water",543,27,1,"Natural_Feature",1
"fox_canyon_aquifer",536,179,1,"Natural_Feature",0
"madera_county",534,76,1,"County",0
"tehama_county",527,66,1,"County",0
"upper_ventura_river_groundwater_agency_gsa",523,523,1,"Local_GSA",0
"fresno",519,18,1,"County",0
"east_las_posas_management_area",517,517,1,"Geographic_Unit",0
"irrigated_lands_regulatory_program",517,11,1,"State_Gov",0
"mound_basin_groundwater_sustainability_agency",505,505,1,"Local_GSA",0
"department_of_fish_and_wildlife",499,9,1,"State_Gov",0
"mo",498,20,1,"Nonsense",1
"kaweah_subbasin",490,98,1,"Basin",0
"tri_county_water_authority_groundwater_sustainability_agency_tule",486,486,1,"Local_GSA",0
"fpbgsa",475,238,1,"Local_GSA",0
"white_wolf_groundwater_sustainability_agency",472,236,2,"Local_GSA",0
"napa_county_groundwater_sustainability_agency",468,468,1,"Other_GSA",0
"cvp",465,155,1,"Water_Project",1
"west_las_posas_management_area",465,155,1,"Geographic_Unit",0
"ojai_valley_groundwater_basin",464,464,1,"Basin",0
"new_stone_water_district_groundwater_sustainability_agency",463,232,2,"Other_GSA",0
"delta_mendota_subbasin",461,51,1,"Basin",0
"monterey_subbasin",456,228,1,"Basin",0
"aquifer_storage_and_recovery",447,30,1,"Water_Project",1
"tulare_county",445,34,1,"County",0
"conejo_creek",444,74,1,"Natural_Feature",0
"marina_coast_water_district",439,220,1,"District",0
"buena_vista_groundwater_sustainability_agency",431,216,1,"Other_GSA",0
"aliso_water_district_groundwater_sustainability_agency",428,428,1,"Local_GSA",0
"big_valley_groundwater_sustainability_agency",427,427,1,"Local_GSA",0
"technical_advisory_committee",423,15,1,"Group",0
"solano_subbasin",422,422,1,"Basin",0
"madera_subbasin",420,38,1,"Basin",0
"fort_ord",419,210,1,"Geographic_Unit",1
"mga",417,208,2,"Local_GSA",0
"owens_valley_groundwater_authority",415,415,1,"Local_GSA",0
"atascadero_basin_groundwater_sustainability_agency",412,412,1,"Local_GSA",0
"farmers_water_district",411,411,1,"District",0
"santa_rosa_plain_groundwater_sustainability_agency",411,206,2,"Other_GSA",0
"pleasant_valley_groundwater_sustainability_agency",410,410,1,"Local_GSA",0
"sonoma_valley_groundwater_sustainability_agency",405,202,2,"Local_GSA",0
"santa_ynez_river_valley_basin_eastern_management_area_groundwater_sustainability_agency",404,404,1,"Local_GSA",0
"total_dissolved_solids",404,12,1,"District",0
"salinas_valley",402,40,1,"Geographic_Unit",0
"tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_red_bluff",402,402,1,"Local_GSA",0
"ventura",400,27,1,"County",0
"delano_earlimart_irrigation_district",399,100,1,"District",0
"tbwqc",396,132,1,"Nonsense",1
"indian_wells_valley_groundwater_authority",395,198,2,"Local_GSA",0
"county_of_napa_groundwater_sustainability_agency",389,389,1,"Local_GSA",0
"taf",389,20,2,"Nonsense",1
"division_of_drinking_water",388,9,1,"State_Gov",0
"san_pasqual_valley_gsa",388,388,1,"Local_GSA",0
"projects_and_management_actions",385,8,4,"Group",1
"regional_water_quality_control_board",384,9,1,"Local_Gov",0
"tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_antelope",384,384,1,"Local_GSA",0
"us",383,8,3,"Geographic_Unit",1
"basin_characterization_model",382,21,1,"Technical",0
"corona",380,190,1,"City",0
"farmers_water_district_groundwater_sustainability_agency",380,127,2,"Other_GSA",0
"lsce",379,21,1,"Nonsense",1
"kaweah_delta_water_conservation_district",377,42,1,"District",0
"paso_robles_formation",376,38,1,"Natural_Feature",0
"sonoma",371,62,1,"County",0
"nc",367,17,4,"Geographic_Unit",1
"enterprise_anderson_groundwater_sustainability_agency",366,183,1,"Other_GSA",0
"executive_committee",363,45,1,"Group",0
"parties",363,10,2,"Nonsense",1
"aliso_water_district",362,362,1,"District",0
"fresno_county",360,21,1,"County",0
"pma",356,20,3,"Group",1
"ebp_subbasin",355,355,1,"Basin",0
"global_positioning_system",350,18,1,"Technical",1
"tule_subbasin_setting",348,87,1,"Geographic_Unit",0
"tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_los_molinos",347,347,1,"Local_GSA",0
"madera",346,23,1,"County",0
"oxnard_subbasin",342,86,1,"Basin",0
"tds",342,13,3,"Technical",1
"tulare",342,17,1,"County",0
"tehama_formation",341,34,1,"Natural_Feature",0
"ebmud",339,170,1,"District",1
"monterey_county",336,37,1,"County",0
"coordination_workgroup",332,47,1,"Group",0
"maximum_contaminant_level",331,11,1,"Legal",1
"upper_ventura_river_groundwater_agency",331,331,1,"Local_GSA",0
"los_molinos_subbasin",329,55,1,"Basin",0
"lower_tule_river_irrigation_district",328,47,1,"District",0
"santa_clara",328,30,1,"County",0
"siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_butte_valley",325,325,1,"Local_GSA",0
"tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_bowman",324,324,1,"Local_GSA",0
"groundwater_sustainability_agencies",323,5,1,"Group",0
"root_creek_water_district_groundwater_sustainability_agency",320,320,1,"Local_GSA",0
"tule_subbasin_monitoring_plan",320,53,1,"Technical",0
"ysga",320,320,1,"Nonsense",1
"dctra",316,158,2,"Group",1
"project",313,13,1,"Water_Project",0
"solano_county",313,104,1,"County",0
"alpaugh_groundwater_sustainability_agency",311,311,1,"Local_GSA",0
"arroyo_simi",310,155,1,"Natural_Feature",1
"integrated_regional_water_management",310,17,1,"Local_Gov",0
"merced",310,24,1,"County",0
"siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_shasta",310,310,1,"Local_GSA",0
"tehama_integrated_hydrologic_model",307,77,1,"Technical",0
"groundwater_sustainability_agency_board",304,11,1,"Group",0
"svsim",303,38,1,"Technical",1
"sacramento_valley",302,12,1,"Geographic_Unit",0
"porterville",300,43,1,"City",0
"tulare_formation",300,12,1,"Natural_Feature",0
"ag",297,13,1,"Nonsense",1
"monitoring_and_reporting_program",297,30,1,"Technical",0
"environmental_defense_fund",296,49,1,"NGO",1
"santa_ynez",295,59,1,"City",0
"pleasant_valley",294,42,1,"Geographic_Unit",0
"esri",289,21,1,"Company",1
"colusa",285,48,1,"County",0
"san_joaquin_river_restoration_program",285,12,1,"Local_Gov",0
"petaluma_valley_groundwater_sustainability_agency",281,140,2,"Local_GSA",0
"chowchilla_subbasin",280,93,1,"Basin",0
"integrated_regional_water_management_plan",280,8,1,"Local_Gov",0
"sampling_and_analysis_plan",280,35,1,"Technical",0
"dtw",279,15,2,"Nonsense",1
"groundwater_management_plan",279,7,1,"Technical",0
"saugus_formation",279,46,1,"Natural_Feature",0
"flow",278,35,1,"Nonsense",1
"yucaipa_groundwater_sustainability_agency",278,278,1,"Other_GSA",0
"groundwater_sustainability_plan_regulations",276,7,1,"Legal",0
"interferometric_synthetic_aperture_radar",274,7,1,"Technical",1
"hcm",273,14,2,"Technical",1
"ma",272,23,1,"Nonsense",1
"rmw",269,38,1,"Nonsense",1
"technical_memoranda",269,19,1,"Technical",0
"managed_aquifer_recharge",267,24,1,"Water_Project",1
"turlock_subbasin",267,67,1,"Basin",0
"vcwpd",267,89,1,"District",1
"anderson_subbasin",265,88,1,"Basin",0
"page",265,12,1,"Reference",0
"groundwater_sustainability_plans",264,5,1,"Technical",0
"representative_monitoring_point",264,66,1,"Technical",0
"stakeholder_committee",264,38,1,"Group",0
"cga",263,132,2,"Local_GSA",0
"arroyo_las_posas",262,52,1,"Natural_Feature",1
"kings_river_conservation_district",262,29,1,"District",0
"los_angeles_county",262,26,1,"County",0
"city_of_porterville",261,52,1,"City",0
"san_antonio_basin_groundwater_sustainability_agency",261,261,1,"Local_GSA",0
"santa_clarita_valley_groundwater_sustainability_agency",261,261,1,"Local_GSA",0
"santa_ynez_river_valley_basin_western_management_area_groundwater_sustainability_agency",259,259,1,"Local_GSA",0
"yucaipa_valley_water_district",259,259,1,"District",0
"tcwa",256,128,1,"District",1
"castac_basin_gsa",255,255,1,"Local_GSA",0
"los_angeles",254,18,1,"County",0
"natural_resources_conservation_service",254,8,1,"Federal_Gov",0
"montecito_groundwater_sustainability_agency",253,253,1,"Other_GSA",0
"groundwater_sustainability_plan_groups",252,42,1,"Group",0
"james_irrigation_district",251,126,1,"District",0
"tule_subbasin_technical_advisory_committee",251,42,1,"Group",0
"kern_county_water_agency",249,25,1,"Group",0
"working_group",249,23,1,"Group",0
"smc",248,21,2,"Nonsense",1
"santa_ynez_river_valley_basin_central_management_area_groundwater_sustainability_agency",247,247,1,"Local_GSA",0
"army_corps_of_engineers",246,9,1,"Federal_Gov",0
"regional_model",246,123,1,"Technical",0
"buena_vista_water_storage_district_gsa",245,245,1,"Local_GSA",0
"sacramento_county",245,27,1,"County",0
"watershed",245,49,2,"Natural_Feature",1
"arroyo",244,27,1,"Natural_Feature",1
"napa_valley_subbasin",242,242,1,"Basin",0
"district",241,10,1,"District",0
"modesto",241,24,1,"City",0
"minimum_thresholds",238,34,2,"Technical",1
"santa_ynez_river_water_conservation_district",238,79,1,"District",0
"butte_valley",236,118,1,"City",0
"corcoran_clay",236,10,1,"Natural_Feature",0
"sutter_subbasin",235,78,1,"Basin",0
"monterey",234,23,1,"County",0
"data_quality_objective",232,9,1,"Technical",0
"temescal_subbasin_groundwater_sustainability_agency",231,231,1,"Local_GSA",0
"merced_county",230,19,1,"County",0
"san_antonio",230,19,1,"Local_Gov",1
"national_aeronautics_and_space_administration",229,8,1,"Federal_Gov",0
"olcese_groundwater_sustainability_agency_area",228,228,1,"Geographic_Unit",0
"technical_working_group",227,38,1,"Group",0
"fcgma",226,113,1,"District",1
"cosumnes",224,56,1,"Basin",1
"vacaville",224,32,1,"City",0
"los_angeles_department_of_water_and_power",223,56,1,"Local_Gov",1
"merced_subbasin",222,56,1,"Basin",0
"discharger",220,28,1,"Nonsense",1
"kern_subbasin",220,22,1,"Basin",0
"indian_wells_valley_groundwater_basin",219,219,1,"Basin",0
"san_jacinto",218,54,1,"City",0
"santa_cruz",217,31,1,"County",0
"unavco",217,7,1,"NGO",1
"natural_communities",216,8,1,"Group",0
"spadra_basin_groundwater_sustainability_agency",216,216,1,"Local_GSA",0
"gps",215,6,3,"Technical",1
"napa",214,54,1,"County",0
"san_antonio_creek",214,43,1,"Natural_Feature",0
"pce",211,14,1,"Nonsense",1
"temescal_wash",211,70,1,"Natural_Feature",1
"fresno_slough",209,19,1,"Natural_Feature",0
"kaweah",209,30,1,"Basin",1
