name,num_appearances_sum,num_appearances_mean,num_types,entity_type
groundwater_sustainability_plan,47475,406,1,Local_Gov
subbasin,22217,255,1,Basin
department_of_water_resources,17705,151,1,State_Gov
sustainable_groundwater_management_act,15063,129,1,State_Gov
groundwater_sustainability_agency,7593,190,1,Local_GSA
california,5754,50,1,State_Gov
groundwater_dependent_ecosystem,3839,55,1,Natural_Feature
board,3293,42,1,Group
united_states_geological_survey,2596,36,1,Federal_Gov
data_management_system,2397,32,1,Technical
state,2304,23,1,NA
county,2256,23,1,County
sustainable_management_criteria,2050,27,1,NA
agency,1998,64,1,Group
santa_clara_river,1789,256,1,Natural_Feature
af,1770,28,1,NA
san_joaquin_river,1703,49,1,Natural_Feature
geological_survey,1653,47,1,Federal_Gov
department,1539,19,1,Group
north_fork_kings_groundwater_sustainability_agency,1537,220,2,Other_GSA
central_valley_project,1502,31,1,Water_Project
mt,1492,50,1,NA
state_water_project,1488,28,1,Water_Project
united_water_conservation_district,1481,165,1,District
surface_water_system,1456,208,1,Natural_Feature
east_kaweah_groundwater_sustainability_agency,1449,483,2,Other_GSA
ema,1381,460,1,NA
united,1290,215,1,NA
north_kings_groundwater_sustainability_agency,1258,157,2,Other_GSA
dischargers,1176,98,1,NA
fillmore,1171,195,1,City
state_water_resources_control_board,1161,13,1,State_Gov
board_of_directors,1153,16,1,Group
western_management_area,1146,229,1,Geographic_Unit
south_kings_groundwater_sustainability_agency,1114,186,2,Other_GSA
advisory_committee,1096,32,1,Group
san_joaquin,1092,25,1,County
kern_county_subbasin,1079,120,1,Basin
san_joaquin_valley,1072,22,1,Geographic_Unit
kings_river_east_groundwater_sustainability_agency,1050,175,2,Other_GSA
party,1041,24,1,NA
bureau_of_reclamation,1039,20,1,Federal_Gov
gws,1038,94,1,NA
upper_aquifer_system,1028,103,1,Natural_Feature
james_groundwater_sustainability_agency,955,159,2,Other_GSA
us_environmental_protection_agency,948,17,1,Federal_Gov
sacramento,944,21,1,County
cma,940,470,1,NA
svbgsa,939,235,2,Local_GSA
isw,922,61,1,NA
kern_river_groundwater_sustainability_agency,922,184,2,Other_GSA
santa_ynez_river,918,230,1,Natural_Feature
coordination_committee,917,71,1,Group
fox_canyon_groundwater_management_agency,890,127,2,Other_GSA
eastern_tule_groundwater_sustainability_agency,875,292,2,Local_GSA
montecito_groundwater_basin,870,870,1,Local_GSA
minimum_threshold,865,54,1,NA
nature_conservancy,861,12,1,NA
draft,840,23,1,NA
mcmullin_area_groundwater_sustainability_agency,823,118,2,Other_GSA
napa_county,820,410,1,County
california_code_of_regulations,817,17,1,State_Gov
hydrogeologic_conceptual_model,813,15,1,Technical
united_states,808,10,1,NA
kern_county,806,38,1,County
mid_kaweah_groundwater_sustainability_agency,779,390,2,Other_GSA
state_board,774,37,1,Group
appendix,766,14,1,Reference
authority,763,48,1,Group
aem,755,44,1,NA
lower_aquifer_system,738,82,1,Natural_Feature
wy,712,36,1,NA
disadvantaged_community,700,11,1,NA
state_of_california,700,9,1,State_Gov
tule_subbasin,696,87,1,Basin
central_kings_groundwater_sustainability_agency,685,98,2,Local_GSA
mcwra,678,226,1,NA
delano_earlimart_irrigation_district_groundwater_sustainability_agency,677,677,1,Local_GSA
environmental_quality_act,677,12,1,State_Gov
forebay,675,56,1,NA
mi,675,20,1,NA
mou,671,15,1,Group
groundwater_sustainability_plan_group,670,112,1,Group
lower_tule_river_irrigation_district_groundwater_sustainability_agency,660,660,1,Local_GSA
greater_kaweah_groundwater_sustainability_agency,659,165,2,Local_GSA
kings_subbasin,650,59,1,Basin
mkgsa,648,216,2,Other_GSA
ukiah_valley_basin_gsa,644,644,1,Local_GSA
water_year,641,32,1,NA
ventura_county,634,45,1,County
monterey_county_water_resources_agency,622,89,1,Group
central_coast_water_board,618,69,1,Group
wells,612,10,1,NA
sierra_nevada,611,14,1,NA
oxnard,607,101,1,City
pixley_irrigation_district_groundwater_sustainability_agency,596,596,1,Local_GSA
salinas_valley_basin_groundwater_sustainability_agency,596,298,2,Local_GSA
santa_paula,594,99,1,City
modflow,592,16,1,Technical
natural_communities_commonly_associated_with_groundwater,565,12,1,Natural_Feature
vrgwfm,562,112,1,NA
city_of,548,11,1,City
committee,547,17,1,Group
kern_groundwater_authority,546,68,2,Local_GSA
interconnected_surface_water,543,27,1,NA
fox_canyon_aquifer,536,179,1,Natural_Feature
madera_county,534,76,1,County
tehama_county,527,66,1,County
upper_ventura_river_groundwater_agency_gsa,523,523,1,Local_GSA
fresno,519,18,1,County
east_las_posas_management_area,517,517,1,Geographic_Unit
irrigated_lands_regulatory_program,517,11,1,State_Gov
mound_basin_groundwater_sustainability_agency,505,505,1,Local_GSA
department_of_fish_and_wildlife,499,9,1,State_Gov
mo,498,20,1,NA
kaweah_subbasin,490,98,1,Basin
tri_county_water_authority_groundwater_sustainability_agency_tule,486,486,1,Local_GSA
fpbgsa,475,238,1,Local_GSA
white_wolf_groundwater_sustainability_agency,472,236,2,Local_GSA
napa_county_groundwater_sustainability_agency,468,468,1,Other_GSA
cvp,465,155,1,NA
west_las_posas_management_area,465,155,1,Geographic_Unit
ojai_valley_groundwater_basin,464,464,1,Basin
new_stone_water_district_groundwater_sustainability_agency,463,232,2,Other_GSA
delta_mendota_subbasin,461,51,1,Basin
monterey_subbasin,456,228,1,Basin
aquifer_storage_and_recovery,447,30,1,NA
tulare_county,445,34,1,County
conejo_creek,444,74,1,Natural_Feature
marina_coast_water_district,439,220,1,District
buena_vista_groundwater_sustainability_agency,431,216,1,Other_GSA
aliso_water_district_groundwater_sustainability_agency,428,428,1,Local_GSA
big_valley_groundwater_sustainability_agency,427,427,1,Local_GSA
technical_advisory_committee,423,15,1,Group
solano_subbasin,422,422,1,Basin
madera_subbasin,420,38,1,Basin
fort_ord,419,210,1,NA
mga,417,208,2,Local_GSA
owens_valley_groundwater_authority,415,415,1,Local_GSA
atascadero_basin_groundwater_sustainability_agency,412,412,1,Local_GSA
farmers_water_district,411,411,1,District
santa_rosa_plain_groundwater_sustainability_agency,411,206,2,Other_GSA
pleasant_valley_groundwater_sustainability_agency,410,410,1,Local_GSA
sonoma_valley_groundwater_sustainability_agency,405,202,2,Local_GSA
santa_ynez_river_valley_basin_eastern_management_area_groundwater_sustainability_agency,404,404,1,Local_GSA
total_dissolved_solids,404,12,1,NA
salinas_valley,402,40,1,Geographic_Unit
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_red_bluff,402,402,1,Local_GSA
ventura,400,27,1,County
delano_earlimart_irrigation_district,399,100,1,District
tbwqc,396,132,1,NA
indian_wells_valley_groundwater_authority,395,198,2,Local_GSA
county_of_napa_groundwater_sustainability_agency,389,389,1,Local_GSA
taf,389,20,1,NA
division_of_drinking_water,388,9,1,State_Gov
san_pasqual_valley_gsa,388,388,1,Local_GSA
projects_and_management_actions,385,8,1,NA
regional_water_quality_control_board,384,9,1,Local_Gov
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_antelope,384,384,1,Local_GSA
us,383,8,1,NA
basin_characterization_model,382,21,1,Technical
corona,380,190,1,City
farmers_water_district_groundwater_sustainability_agency,380,127,2,Other_GSA
lsce,379,21,1,NA
kaweah_delta_water_conservation_district,377,42,1,District
paso_robles_formation,376,38,1,Natural_Feature
sonoma,371,62,1,County
nc,367,17,1,NA
enterprise_anderson_groundwater_sustainability_agency,366,183,1,Other_GSA
executive_committee,363,45,1,Group
parties,363,10,1,NA
aliso_water_district,362,362,1,District
fresno_county,360,21,1,County
pma,356,20,1,NA
ebp_subbasin,355,355,1,Basin
global_positioning_system,350,18,1,NA
tule_subbasin_setting,348,87,1,Geographic_Unit
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_los_molinos,347,347,1,Local_GSA
madera,346,23,1,County
oxnard_subbasin,342,86,1,Basin
tds,342,13,1,NA
tulare,342,17,1,County
tehama_formation,341,34,1,Natural_Feature
ebmud,339,170,1,NA
monterey_county,336,37,1,County
coordination_workgroup,332,47,1,Group
maximum_contaminant_level,331,11,1,NA
upper_ventura_river_groundwater_agency,331,331,1,Local_GSA
los_molinos_subbasin,329,55,1,Basin
lower_tule_river_irrigation_district,328,47,1,District
santa_clara,328,30,1,County
siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_butte_valley,325,325,1,Local_GSA
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_bowman,324,324,1,Local_GSA
groundwater_sustainability_agencies,323,5,1,Group
root_creek_water_district_groundwater_sustainability_agency,320,320,1,Local_GSA
tule_subbasin_monitoring_plan,320,53,1,Technical
ysga,320,320,1,NA
dctra,316,158,1,NA
project,313,13,1,Water_Project
solano_county,313,104,1,County
alpaugh_groundwater_sustainability_agency,311,311,1,Local_GSA
