"name","num_appearances","entity_type","AI_TAGGED","degree","gsp_id"
"groundwater_sustainability_plan",404,"Local_Gov",0,36,"7"
"aliso_water_district",362,"District",0,44,"7"
"subbasin",295,"Basin",0,40,"7"
"aliso_water_district_groundwater_sustainability_agency",428,"Local_GSA",0,30,"7"
"sustainable_groundwater_management_act",180,"State_Gov",0,17,"7"
"department_of_water_resources",148,"State_Gov",0,29,"7"
"san_joaquin_river",180,"Natural_Feature",0,33,"7"
"groundwater_sustainability_plan_group",114,"Group",0,22,"7"
"coordination_committee",138,"Group",0,27,"7"
"party",52,"Nonsense",1,7,"7"
"data_management_system",50,"Technical",0,7,"7"
"department",47,"Group",0,9,"7"
"san_joaquin",44,"County",0,9,"7"
"madera_county",42,"County",0,10,"7"
"san_joaquin_river_restoration_program",42,"Local_Gov",0,5,"7"
"san_joaquin_valley",39,"Geographic_Unit",0,14,"7"
"delta_mendota_subbasin",65,"Basin",0,13,"7"
"california",34,"State_Gov",0,8,"7"
"bureau_of_reclamation",33,"Federal_Gov",0,13,"7"
"groundwater_sustainability_plan_groups",40,"Group",0,8,"7"
"state",27,"State_Gov",1,6,"7"
"water_year",26,"Technical",1,1,"7"
"customs_and_border_protection",24,"Federal_Gov",0,1,"7"
"mendota_subbasin",25,"Basin",0,8,"7"
"parties",25,"Nonsense",1,7,"7"
"chowchilla_bypass",33,"Infrastructure",1,4,"7"
"los_banos",21,"City",0,2,"7"
"cottonwood_creek",20,"Natural_Feature",0,2,"7"
"technical_working_group",32,"Group",0,7,"7"
"aliso",18,"Nonsense",1,2,"7"
"groundwater_sustainability_plan_group_representative",22,"Group",1,8,"7"
"madera",17,"County",0,4,"7"
"technical_memoranda",38,"Technical",0,9,"7"
"united_states_geological_survey",17,"Federal_Gov",0,5,"7"
"mendota",16,"City",0,1,"7"
"groundwater_dependent_ecosystem",15,"Natural_Feature",0,5,"7"
"central_valley_project",15,"Water_Project",0,2,"7"
"hotchkiss",13,"Nonsense",1,3,"7"
"tulare_formation",20,"Natural_Feature",0,2,"7"
"fresno",12,"County",0,1,"7"
"dmc",11,"District",1,1,"7"
"county",10,"County",0,4,"7"
"data_quality_objective",12,"Technical",0,2,"7"
"merced",10,"County",0,2,"7"
"af",9,"Nonsense",1,2,"7"
"food_and_agriculture_organization",10,"NGO",1,1,"7"
"median_household_income",9,"Technical",1,2,"7"
"sacramento",9,"County",0,2,"7"
"board",8,"Group",0,1,"7"
"patterson",8,"City",0,2,"7"
"sustainable_management_criteria",16,"Legal",1,2,"7"
"state_water_project",9,"Water_Project",0,2,"7"
"best_management_practice",7,"Legal",1,1,"7"
"grf",7,"Nonsense",1,3,"7"
"irrigated_lands_regulatory_program",8,"State_Gov",0,2,"7"
"mi",7,"Nonsense",1,4,"7"
