name,org_type,num_appearances_sum,num_appearances_mean,num_types,entity_type
forebay,PERSON,675,56,1,NA
united,NA,1290,215,1,NA
vrgwfm,NA,562,112,1,NA
arroyo_simi,PERSON,310,155,1,NA
las_posas,GPE,179,60,1,NA
state,NA,2304,23,1,NA
todd_groundwater,PERSON,130,9,1,NA
dctra,NA,316,158,1,NA
tbwqc,NL_Gov,396,132,1,NA
gpc,NA,43,22,1,NA
relative_percent_difference,NA,42,10,1,NA
tcwa,NA,256,128,1,NA
mercy_springs,GPE,71,71,1,NA
rpd,NA,14,7,1,NA
cvp,NL_Gov,465,155,1,NA
tule_subbasin_tac,NA,114,57,1,NA
esri,NA,289,21,1,NA
basemap,PERSON,173,29,1,NA
cma,NA,940,470,1,NA
ema,NA,1381,460,1,NA
dischargers,PERSON,1176,98,1,NA
mrp,NA,86,29,1,NA
los_alamos_syncline,NA,9,9,1,NA
ebmud,Spec_Dist,339,170,1,NA
environmental_defense_fund,NA,296,49,1,NA
mt,GPE,1492,50,1,NA
ug_l,NA,117,58,1,NA
lsce_team,Consult,61,61,1,NA
cga,NA,263,132,1,NA
ysga,NA,320,320,1,NA
affiliated_party,NA,62,62,1,NA
sustainable_management_criteria,NA,2050,27,1,NA
san_juan,GPE,107,54,1,NA
bolsa,NA,102,102,1,NA
isw,NA,922,61,1,NA
gspwg,NA,47,47,1,NA
solano_collaborative,NA,105,105,1,NA
moa,NA,112,9,1,NA
cnddb,NA,117,11,1,NA
san_gorgonio_pass,NA,111,111,1,NA
morongo_band_of_mission_indians,Nat_Am,62,62,1,NA
fort_ord,GPE,419,210,1,NA
mcwra,Spec_Dist,678,226,1,NA
scv_water,Spec_Dist,183,183,1,NA
wrmwsd,Spec_Dist,198,198,1,NA
camrosa,PERSON,149,25,1,NA
