"name","num_appearances","num_gsps","mean_degree"
"state",2304,100,4
"sustainable_management_criteria",2050,76,3
"af",1770,63,4
"mt",1492,30,6
"ema",1381,3,49
"united",1290,6,34
"dischargers",1176,12,8
"party",1041,43,5
"gws",1038,11,3
"cma",940,2,61
"isw",922,15,7
"minimum_threshold",865,16,5
"nature_conservancy",861,69,2
"draft",840,36,4
"united_states",808,84,3
"aem",755,17,6
"wy",712,20,5
"disadvantaged_community",700,65,3
"mcwra",678,3,27
"forebay",675,12,10
"mi",675,33,5
"water_year",641,20,4
"wells",612,64,3
"sierra_nevada",611,44,2
"vrgwfm",562,5,13
"interconnected_surface_water",543,20,3
"mo",498,25,3
"cvp",465,3,18
"aquifer_storage_and_recovery",447,15,5
"fort_ord",419,2,32
"total_dissolved_solids",404,35,3
"tbwqc",396,3,34
"taf",389,19,3
"projects_and_management_actions",385,47,2
"us",383,49,3
"lsce",379,18,4
"nc",367,21,1
"parties",363,35,3
"pma",356,18,3
"global_positioning_system",350,20,3
"tds",342,27,3
"ebmud",339,2,37
"maximum_contaminant_level",331,31,2
"ysga",320,1,52
"dctra",316,2,35
"arroyo_simi",310,2,12
"svsim",303,8,4
"ag",297,23,2
"environmental_defense_fund",296,6,5
"esri",289,14,2
"dtw",279,19,2
"flow",278,8,3
"interferometric_synthetic_aperture_radar",274,41,2
"hcm",273,20,2
"ma",272,12,4
"rmw",269,7,6
"managed_aquifer_recharge",267,11,4
"vcwpd",267,3,13
"cga",263,2,32
"arroyo_las_posas",262,5,7
"tcwa",256,2,12
"smc",248,12,3
"watershed",245,5,10
"arroyo",244,9,4
"minimum_thresholds",238,7,5
"san_antonio",230,12,3
"fcgma",226,2,19
"cosumnes",224,4,8
"los_angeles_department_of_water_and_power",223,4,11
"discharger",220,8,2
"unavco",217,32,2
"natural_communities",216,26,2
"gps",215,34,2
"pce",211,15,4
"temescal_wash",211,3,10
"kaweah",209,7,3
"geotracker",205,32,2
"enterprise",198,2,8
"wrmwsd",198,1,57
"friant_division",194,17,3
"friant_kern_canal",191,15,4
"mcsim",191,2,14
"hydrographs",190,49,1
"water_in_the_yucaipa",190,1,21
"paso_robles",189,8,6
"acsd",188,1,34
"scv_water",183,1,47
"dbcp",182,15,4
"ccbl",181,3,14
"gw",181,21,2
"las_posas",179,3,10
"measurable_objectives",178,15,2
"cgps",177,19,3
"sonoma_water",176,5,8
"basemap",173,6,2
"department_of_water_resources_bulletin",172,41,1
"passive_diffusion_bag",172,1,13
"asr",170,12,3
"groundwater_sustainability_agency_party",169,7,5
"kdsa",168,13,4
"rmp",168,10,3
"gis",166,26,2
"ec",165,15,2
"san_joaquin_river_exchange_contractors",164,4,10
"north_kings",160,6,4
"jpa",159,19,3
"l",157,4,2
"san_joaquin_river_restoration_settlement",157,3,7
"ccr",155,13,2
"chowchilla_bypass",152,8,6
"court",151,3,9
"camrosa",149,6,5
"sjfm2014",149,1,14
"inmp",148,7,1
"tcwd",148,3,20
"swi",146,4,4
"consensus_building_institute",143,15,3
"st_helena",143,1,16
"coc",138,13,2
"bmp",137,18,2
"recharge",137,30,2
"stillwater_sciences",137,7,4
"electrical_conductivity",134,9,3
"mann",134,7,10
"measurable_objective",132,8,3
"p_ma",132,2,10
"action",131,7,3
"tce",131,11,3
"todd_groundwater",130,14,5
"dudek",128,9,4
"scwd",127,1,17
"wqo",125,9,2
"best_management_practice",123,19,1
"city",123,23,2
"continuous_global_positioning_system",123,11,2
"af_water_year",122,2,5
"sustainability_indicators",122,10,2
"upper_san_pedro",122,1,23
"wheeler_ridge_maricopa",122,3,12
"variable_infiltration_capacity",121,8,2
"precipitation",119,29,2
"storage",119,6,3
"westlands",119,5,5
"cor",118,2,12
"leblanc",118,7,5
"cnddb",117,11,5
"core_team",117,2,10
"elsinore",117,3,3
"general_order",117,8,4
"quality_control",117,6,4
"ug_l",117,2,10
"adjustment_factors",115,5,3
"dmc",115,5,6
"groundwater_sustainability_plan_group_representative",115,6,7
"surface_water_quality",115,2,8
"fkc",114,7,3
"tule_subbasin_tac",114,2,4
"eki",113,9,4
"calleguas",112,3,10
"moa",112,13,4
"sfr",112,10,2
"carlotta",111,1,9
"san_gorgonio_pass",111,1,32
"arroyo_conejo",109,4,4
"bedford",109,3,6
"fountain_springs",109,6,1
"xylenes",109,1,12
"gsi",107,9,5
"qc",107,1,9
"san_juan",107,2,8
"saugus",106,4,3
"id4",105,1,30
"solano_collaborative",105,1,44
"upson",105,4,7
"watermaster",105,9,2
"median_household_income",103,10,2
"sokr",103,1,28
"bolsa",102,1,24
"mbgwfm",102,1,14
"best_management_practices",101,28,1
"spv",100,1,12
