name,entity_type
groundwater_sustainability_plan,Local_Gov
subbasin,Basin
department_of_water_resources,State_Gov
sustainable_groundwater_management_act,State_Gov
groundwater_sustainability_agency,Local_GSA
california,State_Gov
groundwater_dependent_ecosystem,Natural_Feature
board,Group
united_states_geological_survey,Federal_Gov
data_management_system,Technical
state,State_Gov
county,County
sustainable_management_criteria,Legal
agency,Group
santa_clara_river,Natural_Feature
af,Nonsense
san_joaquin_river,Natural_Feature
geological_survey,Federal_Gov
department,Group
north_fork_kings_groundwater_sustainability_agency,Other_GSA
central_valley_project,Water_Project
mt,State_Gov
state_water_project,Water_Project
united_water_conservation_district,District
surface_water_system,Natural_Feature
east_kaweah_groundwater_sustainability_agency,Other_GSA
ema,Nonsense
united,Nonsense
north_kings_groundwater_sustainability_agency,Other_GSA
dischargers,Group
fillmore,City
state_water_resources_control_board,State_Gov
board_of_directors,Group
western_management_area,Geographic_Unit
south_kings_groundwater_sustainability_agency,Other_GSA
advisory_committee,Group
san_joaquin,County
kern_county_subbasin,Basin
san_joaquin_valley,Geographic_Unit
kings_river_east_groundwater_sustainability_agency,Other_GSA
party,Nonsense
bureau_of_reclamation,Federal_Gov
gws,Technical
upper_aquifer_system,Natural_Feature
james_groundwater_sustainability_agency,Other_GSA
us_environmental_protection_agency,Federal_Gov
sacramento,County
cma,District
svbgsa,Local_GSA
isw,Nonsense
kern_river_groundwater_sustainability_agency,Other_GSA
santa_ynez_river,Natural_Feature
coordination_committee,Group
fox_canyon_groundwater_management_agency,Other_GSA
eastern_tule_groundwater_sustainability_agency,Local_GSA
montecito_groundwater_basin,Local_GSA
minimum_threshold,Legal
nature_conservancy,NGO
draft,Nonsense
mcmullin_area_groundwater_sustainability_agency,Other_GSA
napa_county,County
california_code_of_regulations,State_Gov
hydrogeologic_conceptual_model,Technical
united_states,Federal_Gov
kern_county,County
mid_kaweah_groundwater_sustainability_agency,Other_GSA
state_board,Group
appendix,Reference
authority,Group
aem,Nonsense
lower_aquifer_system,Natural_Feature
wy,Geographic_Unit
disadvantaged_community,Group
state_of_california,State_Gov
tule_subbasin,Basin
central_kings_groundwater_sustainability_agency,Local_GSA
mcwra,District
delano_earlimart_irrigation_district_groundwater_sustainability_agency,Local_GSA
environmental_quality_act,State_Gov
forebay,Infrastructure
mi,Nonsense
mou,Group
groundwater_sustainability_plan_group,Group
lower_tule_river_irrigation_district_groundwater_sustainability_agency,Local_GSA
greater_kaweah_groundwater_sustainability_agency,Local_GSA
kings_subbasin,Basin
mkgsa,Other_GSA
ukiah_valley_basin_gsa,Local_GSA
water_year,Technical
ventura_county,County
monterey_county_water_resources_agency,Group
central_coast_water_board,Group
wells,Infrastructure
sierra_nevada,Natural_Feature
oxnard,City
pixley_irrigation_district_groundwater_sustainability_agency,Local_GSA
salinas_valley_basin_groundwater_sustainability_agency,Local_GSA
santa_paula,City
modflow,Technical
natural_communities_commonly_associated_with_groundwater,Natural_Feature
vrgwfm,Nonsense
city_of,City
committee,Group
kern_groundwater_authority,Local_GSA
interconnected_surface_water,Natural_Feature
fox_canyon_aquifer,Natural_Feature
madera_county,County
tehama_county,County
upper_ventura_river_groundwater_agency_gsa,Local_GSA
fresno,County
east_las_posas_management_area,Geographic_Unit
irrigated_lands_regulatory_program,State_Gov
mound_basin_groundwater_sustainability_agency,Local_GSA
department_of_fish_and_wildlife,State_Gov
mo,Nonsense
kaweah_subbasin,Basin
tri_county_water_authority_groundwater_sustainability_agency_tule,Local_GSA
fpbgsa,Local_GSA
white_wolf_groundwater_sustainability_agency,Local_GSA
napa_county_groundwater_sustainability_agency,Other_GSA
cvp,Water_Project
west_las_posas_management_area,Geographic_Unit
ojai_valley_groundwater_basin,Basin
