Name of GSA,Single or Multiple?,URL Extension,Notes,Source if extra research necessary,
Aliso Water District GSA,Single,23,,,
Westlands Water District GSA,Single,40,,,
Merced Irrigation-Urban GSA,Multiple,311,,,
Merced Subbasin GSA,Single,219,,,
Turner Island Water District GSA - Merced,Single,223,,,
Santa Cruz Mid-County Groundwater Agency GSA,Multiple,24,,,
Chowchilla Water District GSA,Single,61,,,
County of Madera GSA - Chowchilla,Single,68,,,
Triangle T Water District GSA,Single,394,,,
Central Delta-Mendota GSA,Single,206,,,
City of Patterson GSA,Single,66,,,
DM-II GSA,Multiple,301,,,
Northwestern Delta-Mendota GSA,Multiple,214,,,
Oro Loma Water District GSA,Single,302,,,
Patterson Irrigation District GSA,Single,17,,,
West Stanislaus Irrigation District GSA,Multiple,13,,,
Widren Water District GSA,Single,237,,,
Farmers Water District GSA,Single,30,,,
City of Los Banos GSA,Single,71,,,
Turner Island Water District GSA - Delta-Mendota,Single,220,,,
City of Newman GSA,Single,57,,,
City of Gustine GSA,Single,271,,,
City of Dos Palos GSA,Single,360,,,
City of Firebaugh GSA,Single,269,,,
City of Mendota GSA,Single,67,,,
County of Merced GSA - Delta-Mendota,Single,231,,,
County of Madera GSA - Delta-Mendota,Single,70,,,
San Joaquin River Exchange Contractors Water Authority GSA,Single,10,,,
Fox Canyon Groundwater Management Agency GSA - Oxnard,Single,433,,,
Fox Canyon Groundwater Management Agency GSA - Pleasant Valley,Single,432,,,
Fox Canyon Groundwater Management Agency GSA - Las Posas Valley,Single,163,,,
County of Fresno GSA - Delta-Mendota Management Area B,Single,308,,,
County of Fresno GSA - Delta-Mendota Management Area A,Single,298,,,
Madera Irrigation District GSA,Single,19,,,
County of Madera GSA - Madera,Single,69,,,
City of Madera GSA,Single,47,,,
Madera Water District GSA,Single,41,,,
Central Kings GSA,Multiple,211,,,
Kings River East GSA,Multiple,18,,,
North Kings GSA,Single,65,,,
North Fork Kings GSA,Single,187,,,
South Kings GSA,Single,317,,,
McMullin Area GSA,Single,266,,,
Marina Coast Water District GSA - 180/400 Foot Aquifer,Single,184,,,
Salinas Valley Basin GSA - 180/400 Foot Aquifer,Single,461,,,
County of Monterey GSA,Single,487,,,
Greater Kaweah GSA,Single,281,,,
James GSA,Multiple,12,,https://www.jamesid.org/james-groundwater-sustainability-agency-9087850,
Cuyama Basin GSA,Multiple,327,,,
City of Paso Robles GSA,Single,72,,,
San Miguel Community Services District GSA,Single,56,,,
Kern Groundwater Authority GSA,Single,306,,,
Cawelo Water District GSA,Single,326,,,
City of McFarland GSA,Single,https://sgma.water.ca.gov/portal/gsa/preview/dfcda476342fbe4fc9917365343dba80,,https://www.mcfarlandcity.org/AgendaCenter/ViewFile/Agenda/_06222017-116,https://sgma.water.ca.gov/portal/gsa/preview/dfcda476342fbe4fc9917365343dba80
Pioneer GSA,Single,188,,,
Semitropic Water Storage District GSA,Single,277,,,
West Kern Water District GSA,Single,39,,,
Henry Miller Water District GSA,Single,254,,,
Grasslands GSA,Single,62,,,
Mid-Kings River GSA,Single,73,,,
South Fork Kings GSA,Single,222,,,
Southwest Kings GSA,Single,226,,,
El Rico GSA,Single,358,,,
Tri-County Water Authority GSA - Tulare Lake,Single,411,,,
Eastern Tule GSA,Single,205,,,
Root Creek Water District GSA,Single,33,,,
Woodbridge Irrigation District GSA,Single,151,,,
Central Delta Water Agency GSA,Single,201,,,
Lockeford Community Service District GSA,Single,140,,,
Central San Joaquin Water Conservation District GSA,Single,189,,,
City of Stockton GSA,Single,137,,,
County of San Joaquin GSA - Eastern San Joaquin 1,Single,142,,,
Linden County Water District GSA,Single,99,,,
Oakdale Irrigation District GSA,Single,228,,,
South San Joaquin GSA,Multiple,249,,,
City of Manteca GSA,Single,91,,,
North San Joaquin Water Conservation District GSA,Single,159,,,
South Delta Water Agency GSA,Single,208,,,
Eastside San Joaquin GSA,Multiple,288,,,
City of Lodi GSA,Single,152,,,
County of San Joaquin GSA - Eastern San Joaquin 2,Single,389,,,
Stockton East Water District GSA,Single,116,,,
Alpaugh GSA,Multiple,25,,,
New Stone Water District GSA,Single,59,,,
Mid-Kaweah GSA,Single,7,,,
Buena Vista Water Storage District GSA,Single,15,,,
Yuba Water Agency GSA - South Yuba,Single,106,,,
Kern River GSA,Multiple,20,,,
Greenfield County Water District GSA,Single,22,,,
Lower Tule River Irrigation District GSA,Single,42,,,
Tri-County Water Authority GSA - Tule,Single,490,,,
East Kaweah GSA,Single,314,,,
Indian Wells Valley Groundwater Authority GSA,Multiple,35,,,
Gravelly Ford Water District GSA,Single,34,,,
Delano-Earlimart Irrigation District GSA,Multiple,29,,,
Pixley Irrigation District GSA,Multiple,43,,,
Castac Basin GSA,Multiple,400,,,
County of Humboldt GSA,Single,493,,,
Fillmore and Piru Basins GSA - Piru,Single,468,,,
Fillmore and Piru Basins GSA - Fillmore,Single,339,,,
San Pasqual Valley GSA,Multiple,370,,,
Pauma Valley GSA,Single,https://sgma.water.ca.gov/portal/gsa/preview/c6e057de9c3ddec32d35a25025734da4,,,
Upper Ventura River Groundwater Agency GSA,Single,248,,,
Santa Ynez River Valley Basin Western Management Area GSA,Multiple,5,,,
Santa Ynez River Valley Basin Central Management Area GSA,Multiple,11,,,
Santa Ynez River Valley Basin Eastern Management Area GSA,Multiple,273,,,
Temescal Subbasin GSA,Multiple,260,,,
Enterprise-Anderson GSA - Enterprise,Multiple,287,,,
Enterprise-Anderson GSA - Anderson,Multiple,464,,,
Ukiah Valley Basin GSA,Single,342,,,
Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA,Multiple,192,,,
County of Tuolumne GSA,Single,300,,,
Vina GSA,Multiple,409,,,
San Antonio Basin GSA,Single,290,,,
Siskiyou County Flood Control and Water Conservation District GSA - Butte Valley,Single,457,,,
Siskiyou County Flood Control and Water Conservation District GSA - Scott River,Single,253,,,
Siskiyou County Flood Control and Water Conservation District GSA - Shasta,Single,456,,,
East Bay Municipal Utility District GSA,Single,104,,,
City of Hayward GSA,Single,200,,,
Colusa Groundwater Authority GSA - Colusa,Single,323,,,
Glenn Groundwater Authority GSA,Single,369,,,
Bedford-Coldwater Subbasin GSA,Multiple,267,,,
Corning Subbasin GSA,Multiple,390,,,
Tehama County Flood Control and Water Conservation District GSA - Corning,Single,418,,,
Yolo Subbasin GSA,Single,217,,,
County of Siskiyou GSA,Single,256,,,
City of Tulelake GSA,Single,280,,,
County of Modoc GSA - Tulelake,Single,236,,,
Tulelake Irrigation District GSA,Single,258,,,
Biggs-West Gridley Water District GSA,Single,117,,,
Butte Water District GSA - Butte,Single,417,,,
City of Biggs GSA,Single,173,,,
City of Gridley GSA,Single,128,,,
Colusa Groundwater Authority GSA - Butte,Single,467,,,
County of Butte GSA - Butte 1,Single,122,,,
County of Butte GSA - Butte 2,Single,251,,,
County of Glenn GSA - Butte,Single,415,,,
Reclamation District No. 1004 GSA - Butte 1,Single,416,,,
Reclamation District No. 2106 GSA,Single,195,,,
