Name of GSA,Single or Multiple?,URL Extension,Joint Powers?,Notes,Source if extra research necessary,
Aliso Water District GSA,Single,23,,,,
Westlands Water District GSA,Single,40,,,,
Merced Irrigation-Urban GSA,Multiple,311,,,,
Merced Subbasin GSA,Multiple,219,Y,,,
Turner Island Water District GSA - Merced,Single,223,,,,
Santa Cruz Mid-County Groundwater Agency GSA,Multiple,24,,,,
Chowchilla Water District GSA,Single,61,,,,
County of Madera GSA - Chowchilla,Single,68,,,,
Triangle T Water District GSA,Single,394,,,,
Central Delta-Mendota GSA,Multiple,206,Y,,,
City of Patterson GSA,Single,66,,,,
DM-II GSA,Multiple,301,,,,
Northwestern Delta-Mendota GSA,Multiple,214,,,,
Oro Loma Water District GSA,Single,302,,,,
Patterson Irrigation District GSA,Single,17,,,,
West Stanislaus Irrigation District GSA,Single,13,"Seems to just be one Irrigation District, with boundaries encompassing two CSDs",,,
Widren Water District GSA,Single,237,,,,
Farmers Water District GSA,Single,30,,,,
City of Los Banos GSA,Single,71,,,,
Turner Island Water District GSA - Delta-Mendota,Single,220,,,,
City of Newman GSA,Single,57,,,,
City of Gustine GSA,Single,271,,,,
City of Dos Palos GSA,Single,360,,,,
City of Firebaugh GSA,Single,269,,,,
City of Mendota GSA,Single,67,,,,
County of Merced GSA - Delta-Mendota,Single,231,,,,
County of Madera GSA - Delta-Mendota,Single,70,,,,
San Joaquin River Exchange Contractors Water Authority GSA,Multiple,10,This authority is itself a JPA,,,
Fox Canyon Groundwater Management Agency GSA - Oxnard,Single,433,N,,,
Fox Canyon Groundwater Management Agency GSA - Pleasant Valley,Single,432,N,,,
Fox Canyon Groundwater Management Agency GSA - Las Posas Valley,Single,163,N,,,
County of Fresno GSA - Delta-Mendota Management Area B,Single,308,,,,
County of Fresno GSA - Delta-Mendota Management Area A,Single,298,,,,
Madera Irrigation District GSA,Single,19,,,,
County of Madera GSA - Madera,Single,69,,,,
City of Madera GSA,Single,47,,,,
Madera Water District GSA,Single,41,,,,
Central Kings GSA,Single,211,Only one; other agencies intended to participate through MOUs but  backed out,,,
Kings River East GSA,Multiple,18,,,,
North Kings GSA,Multiple,65,Y,,,
North Fork Kings GSA,Multiple,187,Senate Bill giving joint authorities,,,
South Kings GSA,Multiple,317,Y,,,
McMullin Area GSA,Multiple,266,Y,,,
Marina Coast Water District GSA - 180/400 Foot Aquifer,Single,184,,,,
Salinas Valley Basin GSA - 180/400 Foot Aquifer,Multiple,461,Y,,,
County of Monterey GSA,Single,487,,,,
Greater Kaweah GSA,Multiple,281,Y,,,
James GSA,Multiple,12,MOA giving power to two agencies,,https://www.jamesid.org/james-groundwater-sustainability-agency-9087850,
Cuyama Basin GSA,Multiple,327,,,,
City of Paso Robles GSA,Single,72,,,,
San Miguel Community Services District GSA,Single,56,,,,
Kern Groundwater Authority GSA,Multiple,306,Y,,,
Cawelo Water District GSA,Single,326,,,,
City of McFarland GSA,Single,https://sgma.water.ca.gov/portal/gsa/preview/dfcda476342fbe4fc9917365343dba80,,,https://www.mcfarlandcity.org/AgendaCenter/ViewFile/Agenda/_06222017-116,https://sgma.water.ca.gov/portal/gsa/preview/dfcda476342fbe4fc9917365343dba80
Pioneer GSA,Single,188,,,,
Semitropic Water Storage District GSA,Single,277,,,,
West Kern Water District GSA,Single,39,,,,
Henry Miller Water District GSA,Single,254,,,,
Grasslands GSA,Multiple,62,Y,,,
Mid-Kings River GSA,Multiple,73,Y,,,
South Fork Kings GSA,Multiple,222,Y,,,
Southwest Kings GSA,Multiple,226,Y,,,
El Rico GSA,Multiple,358,Y,,,
Tri-County Water Authority GSA - Tulare Lake,Multiple,411,Y,,,
Eastern Tule GSA,Multiple,205,Y,,,
Root Creek Water District GSA,Single,33,,,,
Woodbridge Irrigation District GSA,Single,151,,,,
Central Delta Water Agency GSA,Single,201,,,,
Lockeford Community Service District GSA,Single,140,,,,
Central San Joaquin Water Conservation District GSA,Single,189,,,,
City of Stockton GSA,Single,137,,,,
County of San Joaquin GSA - Eastern San Joaquin 1,Single,142,,,,
Linden County Water District GSA,Single,99,,,,
Oakdale Irrigation District GSA,Single,228,,,,
South San Joaquin GSA,Multiple,249,,,,
City of Manteca GSA,Single,91,,,,
North San Joaquin Water Conservation District GSA,Single,159,,,,
South Delta Water Agency GSA,Single,208,,,,
Eastside San Joaquin GSA,Multiple,288,,,,
City of Lodi GSA,Single,152,,,,
County of San Joaquin GSA - Eastern San Joaquin 2,Multiple,389,MOA giving power to two agencies,,,
Stockton East Water District GSA,Single,116,,,,
Alpaugh GSA,Multiple,25,,,,
New Stone Water District GSA,Single,59,,,,
Mid-Kaweah GSA,Multiple,7,Y,,,
Buena Vista Water Storage District GSA,Single,15,,,,
Yuba Water Agency GSA - South Yuba,Single,106,,,,
Kern River GSA,Multiple,20,,,,
Greenfield County Water District GSA,Single,22,,,,
Lower Tule River Irrigation District GSA,Single,42,,,,
Tri-County Water Authority GSA - Tule,Multiple,490,Y,,,
East Kaweah GSA,Multiple,314,Y,,,
Indian Wells Valley Groundwater Authority GSA,Multiple,35,,,,
Gravelly Ford Water District GSA,Single,34,,,,
Delano-Earlimart Irrigation District GSA,Multiple,29,joint GSA with DEID and EPUD; MOU with RCSD,,,
Pixley Irrigation District GSA,Single,43,MOU only gives authority to one agency,,,
Castac Basin GSA,Multiple,400,,,,
County of Humboldt GSA,Single,493,,,,
Fillmore and Piru Basins GSA - Piru,Multiple,468,Y,,,
Fillmore and Piru Basins GSA - Fillmore,Multiple,339,Y,,,
San Pasqual Valley GSA,Multiple,370,,,,
Pauma Valley GSA,Single,https://sgma.water.ca.gov/portal/gsa/preview/c6e057de9c3ddec32d35a25025734da4,,,,
Upper Ventura River Groundwater Agency GSA,Multiple,248,Y,,,
Santa Ynez River Valley Basin Western Management Area GSA,Multiple,5,,,,
Santa Ynez River Valley Basin Central Management Area GSA,Multiple,11,,,,
Santa Ynez River Valley Basin Eastern Management Area GSA,Multiple,273,,,,
Temescal Subbasin GSA,Multiple,260,,,,
Enterprise-Anderson GSA - Enterprise,Multiple,287,,,,
Enterprise-Anderson GSA - Anderson,Multiple,464,,,,
Ukiah Valley Basin GSA,Multiple,342,Y,,,
Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA,Multiple,192,,,,
County of Tuolumne GSA,Single,300,,,,
Vina GSA,Multiple,409,,,,
San Antonio Basin GSA,Multiple,290,Y,,,
Siskiyou County Flood Control and Water Conservation District GSA - Butte Valley,Single,457,,,,
Siskiyou County Flood Control and Water Conservation District GSA - Scott River,Single,253,,,,
Siskiyou County Flood Control and Water Conservation District GSA - Shasta,Single,456,,,,
East Bay Municipal Utility District GSA,Single,104,,,,
City of Hayward GSA,Single,200,,,,
Colusa Groundwater Authority GSA - Colusa,Multiple,323,Y,,,
Glenn Groundwater Authority GSA,Multiple,369,Y,,,
Bedford-Coldwater Subbasin GSA,Multiple,267,,,,
Corning Subbasin GSA,Multiple,390,,,,
