_id,ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
1,1,09/26/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/09/2014,Modoc,Mcarthur,41.186041,-121.36811,75.0,"No, trucking in water
,No, on drilling wait list
",,,,,It's no longer producing any water,2014-09-26T00:00:00,Outage,Inland
2,2,08/26/2014,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",07/30/2014,Fresno,Fresno,36.756541,-119.960795,,"Yes, deepened the well
,finding financing to repair
,No, on drilling wait list
",,Interim Tank Installed 9/23/15,,,,2014-08-26T00:00:00,Resolved,Inland
3,8,06/02/2012,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/01/2015,Madera,Madera,37.009625,-120.057217,,"
",,,,,,2012-06-02T00:00:00,Outage,Inland
4,9,02/20/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,37.060229,-120.027211,,"
",,"null.4/9/2013, was on wait list 10 mon, permit is 14-0100-WELL",,,,2014-02-20T00:00:00,Outage,Inland
5,10,03/05/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",02/27/2014,Madera,Madera,37.009627,-120.056555,,"
",,,,,,2014-03-05T00:00:00,Outage,Inland
6,11,03/06/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",09/01/2013,Madera,Madera Ranchos,36.932246,-119.901282,,"
",,,,,,2014-03-06T00:00:00,Outage,Inland
7,13,10/14/2014,Undefined,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",09/25/2014,Kings,Handford ,36.2766129,-119.5293653,,"looking for finance for well
",,,,,,2014-10-14T00:00:00,Outage,Inland
8,16,10/09/2014,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",06/01/2014,Tuolumne,Sonora,37.991503,-120.401378,,"Connected to TUD treated water system
",,,,,,2014-10-09T00:00:00,Resolved,Inland
9,17,10/09/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
,Reduction in water pressure, lower flows.
",01/15/2014,Tuolumne,Soulsbyville,37.973061,-120.278596,,"Connected to treated water system
",,,,,,2014-10-09T00:00:00,Resolved,Inland
10,18,10/09/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Reduction in water pressure, lower flows.
,Well is catching air, have to wait to be able to pump.
",09/15/2014,Tuolumne,Columbia ,38.0194828,-120.394317,65.0,"Reducing usage
",,,,,,2014-10-09T00:00:00,Outage,Inland
11,19,10/09/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/01/2014,Tuolumne,Columbia,38.019939,-120.393701,,"Yes, deepened the well
,No, getting water from our neighbors with a hose
",,,,,,2014-10-09T00:00:00,Resolved,Inland
12,20,10/09/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is catching air, have to wait to be able to pump.
",09/15/2014,Tuolumne,Columbia,38.0199349,-120.394279,57.0,"Yes, lowered the pump bowl
,No, getting water from our neighbors with a hose
",,,,,,2014-10-09T00:00:00,Resolved,Inland
13,21,10/09/2014,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tuolumne,Columbia,38.043593,-120.414475,,"Connect to TUD treated water
",,,,,,2014-10-09T00:00:00,Resolved,Inland
14,22,10/09/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",02/01/2014,Tuolumne,Jamestown ,37.9365754,-120.4524304,,"Connected to TUD treated water system
",,,,,,2014-10-09T00:00:00,Resolved,Inland
15,23,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/31/2014,Tuolumne,Tuolumne,37.977406,-120.224931,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
16,24,08/26/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/25/2014,Trinity,Hayfork,40.5686881,-123.1739264,,"No, trucking in water
",not fixed,,,,Not sure,2014-08-26T00:00:00,Outage,Inland
17,25,09/03/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/01/2014,Tehama,Corning,39.9325649,-122.184719,108.0,"using water out of Ag well on the property
",,,96.95,08/07/2014,Not sure,2014-09-03T00:00:00,Outage,Inland
18,26,08/29/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
,Reduction in water pressure, lower flows.
",08/01/2014,Tehama,Corning,39.936599,-122.22275,,"bottled water for drinkin
",,,,,not producing any water,2014-08-29T00:00:00,Outage,Inland
19,27,08/18/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/16/2014,Tehama,Corning,39.914511,-122.192739,116.0,"not getting water from anyone at this point
",,,,,Not sure,2014-08-18T00:00:00,Outage,Inland
