all_names,entity_type,notes
PacifiCorp|Pacific Power|Pacific Power & Light,electric_iou,NE CA service territory; Klamath River dams (under removal)
Liberty Utilities California Pacific Electric Company|Liberty Utilities|CalPeco|Liberty Electric,electric_iou,Tahoe/Truckee CA service area; Algonquin Power subsidiary
Southern California Edison|SCE|SoCal Edison|Edison International|Edison,electric_iou,Big Creek Hydro Project; subsidiary of Edison International
Pacific Gas & Electric Company,electric_iou,sourced from CEC LSE dataset (iou)
San Diego Gas & Electric|San Diego Gas and Electric|SDG&E|SDGE,electric_iou,Sempra subsidiary
Bear Valley Electric Service|BVES,electric_iou,Big Bear Lake area; American States Water subsidiary
Biggs Municipal Utilities,electric_pou,sourced from CEC LSE dataset (pou)
Imperial Irrigation District|IID|Imperial ID,dual_utility,largest CA ID; ~470 MW hydro on All-American Canal
Port of Stockton,electric_pou,sourced from CEC LSE dataset (pou)
City of Pittsburg,electric_pou,sourced from CEC LSE dataset (pou)
Lathrop Irrigation District,electric_pou,sourced from CEC LSE dataset (pou)
City of Riverside,electric_pou,sourced from CEC LSE dataset (pou)
Rancho Cucamonga Municipal Utility,electric_pou,sourced from CEC LSE dataset (pou)
City of Industry,electric_pou,sourced from CEC LSE dataset (pou)
Lassen Municipal Utility District,electric_pou,sourced from CEC LSE dataset (pou)
Alameda Power & Telecom,electric_pou,sourced from CEC LSE dataset (pou)
Redding Electric Utility,electric_pou,sourced from CEC LSE dataset (pou)
Colton Electric Utility Department,electric_pou,sourced from CEC LSE dataset (pou)
Moreno Valley Utility,electric_pou,sourced from CEC LSE dataset (pou)
City of Lompoc Electric Division,electric_pou,sourced from CEC LSE dataset (pou)
Port of Oakland,electric_pou,sourced from CEC LSE dataset (pou)
Modesto Irrigation District|MID|Modesto ID,dual_utility,Don Pedro and other Tuolumne projects
Power and Water Resource Pooling Authority,electric_pou,sourced from CEC LSE dataset (pou)
City of Healdsburg Electric Department,electric_pou,sourced from CEC LSE dataset (pou)
Roseville Electric,electric_pou,sourced from CEC LSE dataset (pou)
Pasadena Water & Power,electric_pou,sourced from CEC LSE dataset (pou)
Turlock Irrigation District|TID|Turlock ID,dual_utility,Don Pedro joint with MID
City of Palo Alto,electric_pou,sourced from CEC LSE dataset (pou)
Trinity Public Utilities District,electric_pou,sourced from CEC LSE dataset (pou)
Silicon Valley Power,electric_pou,sourced from CEC LSE dataset (pou)
Los Angeles Department of Water & Power,electric_pou,sourced from CEC LSE dataset (pou)
City of Needles,electric_pou,sourced from CEC LSE dataset (pou)
Sacramento Municipal Utility District|SMUD,electric_pou,Upper American River Project (UARP) hydro
City of Cerritos,electric_pou,sourced from CEC LSE dataset (pou)
Merced Irrigation District,electric_pou,sourced from CEC LSE dataset (pou)
Eastside Power Authority,electric_pou,sourced from CEC LSE dataset (pou)
Truckee Donner Public Utilities District,electric_pou,sourced from CEC LSE dataset (pou)
Azusa Light & Power,electric_pou,sourced from CEC LSE dataset (pou)
Corona Department of Water and Power|Corona Power|Corona Electric,dual_utility,water + electric
City of Banning Electric Department,electric_pou,sourced from CEC LSE dataset (pou)
City of Anaheim Public Utilities|Anaheim Public Utilities|APU,dual_utility,water + electric
Lodi Electric Utility,electric_pou,sourced from CEC LSE dataset (pou)
City of Ukiah Electric Utilities Division,electric_pou,sourced from CEC LSE dataset (pou)
Gridley Electric Utility,electric_pou,sourced from CEC LSE dataset (pou)
City of Vernon Municipal Light Department,electric_pou,sourced from CEC LSE dataset (pou)
Burbank Water & Power,electric_pou,sourced from CEC LSE dataset (pou)
Glendale Water & Power,electric_pou,sourced from CEC LSE dataset (pou)
City of Shasta Lake,electric_pou,sourced from CEC LSE dataset (pou)
Victorville Municipal Utilities Services,electric_pou,sourced from CEC LSE dataset (pou)
Shelter Cove Resort Improvement District,electric_pou,sourced from CEC LSE dataset (pou)
Kirkwood Meadows Public Utility District,electric_pou,sourced from CEC LSE dataset (pou)
City and County of San Francisco - Hetch Hetchy Water and Power,electric_pou,sourced from CEC LSE dataset (pou)
Metropolitan Water District of Southern California|Metropolitan Water District|MWD|MET,water_jpa,largest CA wholesaler
ORLAND MOBILE H.P.,water_system,
BIG MEADOWS SUBDIVISION,water_system,
ANTOINETTE MUTUAL WATER CO,water_system,
WALNUT VALLEY WATER DISTRICT,water_system,
UPPER LINE CREEK IMPRVMNT ASSN,water_system,
TWIN RIDGES OAK TREE SCHOOL,water_system,
RIVERDALE VILLAGE,water_system,
ALLAN LANE WATER ASSOCIATION,water_system,
O ME-NOOK MAINTENANCE AND OPERATION,water_system,
TREES OF MYSTERY,water_system,
JEHOVAH'S WITNESSES HALL,water_system,
RANCHO BORROMEO MWC,water_system,
CENTRAL CA WOMENS FACILITY,water_system,
DUTTON FARMWORKER HOUSING,water_system,
BOULDER CREEK TRAILER PARK,water_system,
MYCOPIA LLC,water_system,
SENECA FAMILY OF AGENCIES,water_system,
LINNELL FARM LABOR CENTER,water_system,
PLANTATION ON THE LAKE PARK,water_system,
WILDWOOD ACRES RESORT,water_system,
OVERSHINE WINE COMPANY,water_system,
GRAVES SCHOOL WS,water_system,
PADRE DAM MWD,water_system,
SID - PEABODY,water_system,
WARNER UNIFIED SCHOOL DISTRICT,water_system,
SAND FLAT # 1,water_system,
CAMP ST FRANCIS,water_system,
OLANCHA MOBIL MART,water_system,
FULTON WATER COMPANY,water_system,
DEL ORO WATER CO-FERNDALE,water_system,
HIGH SIERRA WATER COMPANY,water_system,
MOONSTONE BEACH TRINIDAD,water_system,
AMERICAN LEGION #593 WS,water_system,
JEDEDIAH SMITH STATE PARK,water_system,
LONE PINE OASIS,water_system,
BARRETT LAKE MH AND RV LLC,water_system,
132 INVESTMENTS WATER SYSTEM,water_system,
BEAR CREEK WATER IMPROVEMENT,water_system,
CARDOZA VILLA CORP,water_system,
SAHARA MOBILE COURT,water_system,
BULLARD'S BAR REC FAC WTR SYS,water_system,
PASKENTA COMM. SERVICES DIST.,water_system,
EL TORO WATER DISTRICT,water_system,
CAMP CHESEBROUGH,water_system,
LAKE VIEW MUTUAL WATER CO.,water_system,
ROCHIOLI WINERY,water_system,
TOWN OF YOUNTVILLE,water_system,
RISELEN PARK,water_system,
HALCYON WATER SYSTEM,water_system,
BRACKEN BRAE COUNTRY CLUB,water_system,
BIG REDWOOD PARK WATER,water_system,
ROYAL SIERRA ESTATES WS,water_system,
LAKE HENSHAW RESORT INC.,water_system,
MERRIAM WINERY,water_system,
IRISH HILLS MUTUAL WATER CO,water_system,
CASTLEWOOD MOBILE HOME PARK,water_system,
GARDEN FARMS C.W.D.,water_system,
PRUNEDALE CHEVRON WS,water_system,
PARADISE MOBILE ESTATES,water_system,
HIGUERA APARTMENTS,water_system,
PEDRONCELLI WINERY,water_system,
MC CLELLAN MHP,water_system,
ANTELOPE VALLEY MOBILE ESTATES,water_system,
ROARING CAMP RAILROAD INC,water_system,
KENNOLYN CAMP,water_system,
SEVENTH DAY ADVENTIST CAMP,water_system,
SANTA CRUZ KOA CAMPGROUNDS,water_system,
SPRING HILLS GOLF COURSE,water_system,
KIM SON MONASTERY,water_system,
MOUNT MADONNA CENTER,water_system,
FCPG/LOST LAKE RECREATION AREA,water_system,
ROTH WINERY,water_system,
EAST ORANGE COUNTY WD - RZ,water_system,
CHAMISAL VINEYARDS,water_system,
DEER LODGE WATER SYSTEM,water_system,
EAGLE'S NEST RESORT,water_system,
DARRAH SPRINGS FISH HATCHERY,water_system,
TWIN CYPRESS MOBILE HOME PARK,water_system,
CAL AM - DUNNIGAN,water_system,
ROWLAND WATER DISTRICT,water_system,
CAMPERS INN - RV & GOLF COURSE,water_system,
DUTTON RANCH CORPORATION,water_system,
