State,Agency,Abbr
federal,Agricultural_Research_Service,USDAARS
federal,Air_Force,USAF
federal,Animal_and_Plant_Health_Inspection_Service,USDAAPHIS
federal,Army_Corps_of_Engineers,USACE
federal,Army_Corps_of_Engineers,USACOE
federal,Army_Corps_of_Engineers,ACE
federal,Bureau_of_Labor_Statistics,USBLS
federal,Bureau_of_Land_Management,USBLM
federal,Bureau_of_Land_Management,BLM
federal,Bureau_of_Reclamation,USBR
federal,Bureau_of_Reclamation,USBOR
federal,Census_Bureau,USCB
federal,Centers_for_Disease_Control_and_Prevention,CDC
federal,Coast_Guard,USCG
federal,Department_of_Agriculture,USDA
federal,Department_of_Housing_and_Urban_Development,HUD
federal,Economic_Research_Service,USDAERS
federal,Federal_Highway_Administration,FHWA
federal,Fish_and_Wildlife_Service,USFWS
federal,Geological_Survey,USGS
federal,National_Aeronautics_and_Space_Administration,NASA
federal,National_Institute_of_Standards_and_Technology,NIST
federal,National_Oceanic_and_Atmospheric_Administration,NOAA 
federal,Natural_Resources_Conservation_Service,USDANRCS
federal,Natural_Resources_Conservation_Service,NRCS
federal,Nuclear_Regulatory_Commission,USNRC
federal,Occupational_Safety_and_Health_Administration,OSHA
federal,Administration_for_Children_and_Families,ACF
federal,Congress___US_Senate,Senate
federal,Congress___US_House_of_Representatives,House_of_Representatives
federal,Administration_for_Community_Living,ACL
federal,Administrative_Conference_of_the_United_States,ACUS
federal,Administrative_Office_of_the_US_Courts,AOUSC
federal,Advisory_Council_on_Historic_Preservation,ACHP
federal,Agency_for_Global_Media,USAGM
federal,Agency_for_Healthcare_Research_and_Quality,AHRQ
federal,Agency_for_International_Development,USAID
federal,Agency_for_Toxic_Substances_and_Disease_Registry,ATSDR
federal,Alcohol_and_Tobacco_Tax_and_Trade_Bureau,TTB
federal,Alcohol_and_Tobacco_Tax_and_Trade_Bureau,Bureau_of_Alcohol_and_Tobacco_Tax_and_Trade
federal,Bureau_of_Alcohol_Tobacco_Firearms_and_Explosives,Alcohol_Tobacco_Firearms_and_Explosives_Bureau
federal,Bureau_of_Alcohol_Tobacco_Firearms_and_Explosives,ATF
federal,Animal_and_Plant_Health_Inspection_Service,APHIS
federal,Animal_and_Plant_Health_Inspection_Service,USDA_APHIS
federal,National_Archives_and_Records_Administration,Archives_National_Archives_and_Records_Administration
federal,National_Archives_and_Records_Administration,NARA
federal,National_Archives_and_Records_Administration,National_Archives
federal,Consumer_Financial_Protection_Bureau,Bureau_of_Consumer_Financial_Protection
federal,Consumer_Financial_Protection_Bureau,CFPB
federal,Bureau_of_Economic_Analysis,BEA
federal,Bureau_of_Economic_Analysis,USBEA
federal,Bureau_of_Justice_Statistics,BJS
federal,Bureau_of_Labor_Statistics,BLS
federal,Bureau_of_Ocean_Energy_Management,BOEM
federal,Bureau_of_Safety_and_Environmental_Enforcement,BSEE
federal,Census_Bureau,Bureau_of_the_Census
California,Agricultural_Labor_Relations_Board,ALRB
California,Air_Resources_Board,CARB
California,Alcoholic_Beverage_Control_Appeals_Board,ABCAB
California,Alcoholic_Beverage_Control_Appeals_Board,ABC_Appeals_Board
California,Alternative_Energy_and_Advanced_Transportation_Financing_Authority,CAEATFA
California,Bureau_of_Household_Goods_and_Services,BHGS
California,Central_Valley_Flood_Protection_Board,CVFPB
California,Commission_on_Health_and_Safety_and_Workers'_Compensation,CHSWC
California,Council_on_Criminal_Justice_and_Behavioral_Health,CCJBH
California,Debt_Limit_Allocation_Committee,CDLAC
California,Department_of_Child_Support_Services,DCSS
California,Department_of_Corrections_and_Rehabilitation,CDCR
California,Department_of_FI$Cal,FI$Cal
California,Department_of_Financial_Protection_and_Innovation,DFPI
California,Department_of_Fish_and_Wildlife,CDFW
California,Department_of_Food_and_Agriculture,CDFA
California,Department_of_Forestry_and_Fire_Protection,CAL_FIRE
California,Department_of_Forestry_and_Fire_Protection,CALFIRE
California,Department_of_Human_Resources,CalHR
California,Department_of_Managed_Health_Care,DMHC
California,Department_of_Motor_Vehicles,DMV
California,Department_of_Parks_and_Recreation,California_State_Parks
California,Department_of_Pesticide_Regulation,CDPR
California,Department_of_Pesticide_Regulation,DPR
California,Department_of_Public_Health,CDPH
California,Department_of_Rehabilitation,DOR
California,Department_of_Resources_Recycling_and_Recovery,CalRecycle
California,Department_of_Tax_and_Fee_Administration,CDTFA
California,Department_of_Toxic_Substances_Control,DTSC
California,California_Department_of_Transportation,Caltrans
California,California_Department_of_Veterans_Affairs,CalVet
California,Department_of_Water_Resources,DWR
California,Disabled_Veterans_Business_Enterprise_Advisory_Council,DVBE_Advisory_Council
California,Emergency_Medical_Services_Authority,EMSA
California,Energy_Resources_Conservation_and_Development_Commission,California_Energy_Commission
California,California_Environmental_Protection_Agency,CalEPA
