all_names,entity_type,notes
Groundwater Sustainability Agency|GSA,sgma_concept,generic
Groundwater Sustainability Agencies|GSAs,sgma_concept,generic plural
Groundwater Sustainability Plan|GSP,sgma_concept,generic
Groundwater Sustainability Plans|GSPs,sgma_concept,generic plural
Sustainable Groundwater Management Act|SGMA,sgma_concept,2014 statute
DWR Bulletin 118|Bulletin 118,sgma_concept,basin priority designations
Alameda County Water District GSA|Alameda County Water District,gsa,SANTA CLARA VALLEY - NILES CONE
Aliso Water District GSA|Aliso Water District,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Alpaugh GSA|Alpaugh,gsa,SAN JOAQUIN VALLEY - TULE
Amador County Groundwater Management Authority GSA|Amador County Groundwater Management Authority,gsa,SAN JOAQUIN VALLEY - COSUMNES
Arroyo Santa Rosa Valley Basin GSA|Arroyo Santa Rosa Valley Basin,gsa,ARROYO SANTA ROSA VALLEY
Arroyo Seco GSA|Arroyo Seco|Arroyo Seco GSA - 1,gsa,SALINAS VALLEY - FOREBAY AQUIFER
Arvin GSA|Arvin,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Atascadero Basin GSA|Atascadero Basin,gsa,SALINAS VALLEY - ATASCADERO AREA
Banta-Carbona Irrigation District GSA|Banta-Carbona Irrigation District,gsa,SAN JOAQUIN VALLEY - TRACY
Bear Valley Basin GSA|Bear Valley Basin,gsa,BEAR VALLEY
Bedford-Coldwater Subbasin GSA|Bedford-Coldwater Subbasin,gsa,ELSINORE - BEDFORD-COLDWATER
Big Valley GSA|Big Valley,gsa,BIG VALLEY
Biggs-West Gridley Water District GSA|Biggs-West Gridley Water District,gsa,SACRAMENTO VALLEY - BUTTE
Buena Vista Water Storage District GSA|Buena Vista Water Storage District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Butte Water District GSA|Butte Water District|Butte Water District GSA - Butte|Butte Water District GSA - Sutter,gsa,SACRAMENTO VALLEY - BUTTE; SACRAMENTO VALLEY - SUTTER
Byron-Bethany Irrigation District GSA|Byron-Bethany Irrigation District|Byron-Bethany Irrigation District GSA - East Contra Costa|Byron-Bethany Irrigation District GSA - Tracy,gsa,SAN JOAQUIN VALLEY - EAST CONTRA COSTA; SAN JOAQUIN VALLEY - TRACY
Camrosa Water District GSA|Camrosa Water District|Camrosa Water District GSA - Los Posas Valley|Camrosa Water District GSA - Oxnard|Camrosa Water District GSA - Pleasant Valley,gsa,LAS POSAS VALLEY; PLEASANT VALLEY; SANTA CLARA RIVER VALLEY - OXNARD
Carpinteria GSA|Carpinteria,gsa,CARPINTERIA
Castac Basin GSA|Castac Basin,gsa,CASTAC LAKE VALLEY
Cawelo Water District GSA|Cawelo Water District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Central Delta Water Agency GSA|Central Delta Water Agency,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
Central Delta-Mendota GSA|Central Delta-Mendota,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Central Kings GSA|Central Kings,gsa,SAN JOAQUIN VALLEY - KINGS
Central San Joaquin Water Conservation District GSA|Central San Joaquin Water Conservation District,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
Chowchilla Water District GSA|Chowchilla Water District,gsa,SAN JOAQUIN VALLEY - CHOWCHILLA
City of Antioch GSA|City of Antioch,gsa,SAN JOAQUIN VALLEY - EAST CONTRA COSTA
City of Arroyo Grande GSA|City of Arroyo Grande,gsa,SANTA MARIA RIVER VALLEY - ARROYO GRANDE
City of Biggs GSA|City of Biggs,gsa,SACRAMENTO VALLEY - BUTTE
City of Brentwood GSA|City of Brentwood,gsa,SAN JOAQUIN VALLEY - EAST CONTRA COSTA
City of Coalinga GSA|City of Coalinga,gsa,SAN JOAQUIN VALLEY - PLEASANT VALLEY
City of Dos Palos GSA|City of Dos Palos,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
City of Firebaugh GSA|City of Firebaugh,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
City of Galt GSA|City of Galt,gsa,SAN JOAQUIN VALLEY - COSUMNES
City of Gridley GSA|City of Gridley,gsa,SACRAMENTO VALLEY - BUTTE
City of Gustine GSA|City of Gustine,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
City of Hayward GSA|City of Hayward,gsa,SANTA CLARA VALLEY - EAST BAY PLAIN
City of La Habra GSA|City of La Habra,gsa,COASTAL PLAIN OF ORANGE COUNTY
City of Lakeport GSA|City of Lakeport,gsa,SCOTTS VALLEY
City of Lathrop GSA|City of Lathrop,gsa,SAN JOAQUIN VALLEY - TRACY
City of Live Oak GSA|City of Live Oak,gsa,SACRAMENTO VALLEY - SUTTER
City of Lodi GSA|City of Lodi,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
City of Los Banos GSA|City of Los Banos,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
City of Madera GSA|City of Madera,gsa,SAN JOAQUIN VALLEY - MADERA
