"","State","Agency","Abbr"
"1","federal","AbilityOne Commission",""
"2","federal","Access Board",""
"3","federal","Administration for Children and Families",""
"4","federal","Administration for Community Living",""
"5","federal","Administration for Native Americans",""
"6","federal","Administrative Conference of the United States",""
"7","federal","Administrative Office of the US Courts",""
"8","federal","Advisory Council on Historic Preservation",""
"9","federal","African Development Foundation",""
"10","federal","Agency for Global Media",""
"11","federal","Agency for Healthcare Research and Quality",""
"12","federal","Agency for International Development",""
"13","federal","Agency for Toxic Substances and Disease Registry",""
"14","federal","Agricultural Marketing Service",""
"15","federal","Agricultural Research Service","USDAARS"
"16","federal","Agriculture Department",""
"17","federal","Agriculture Library",""
"18","federal","Air Force",""
"19","federal","Air Force Reserve",""
"20","federal","Alcohol and Tobacco Tax and Trade Bureau",""
"21","federal","Alcohol, Tobacco, Firearms and Explosives Bureau",""
"22","federal","Alhurra TV",""
"23","federal","American Battle Monuments Commission",""
"24","federal","AmeriCorps",""
"25","federal","AmeriCorps Seniors",""
"26","federal","Amtrak",""
"27","federal","Animal and Plant Health Inspection Service","USDAAPHIS"
"28","federal","Antitrust Division",""
"29","federal","Appalachian Regional Commission",""
"30","federal","Architect of the Capitol",""
"31","federal","Archives, National Archives and Records Administration",""
"32","federal","Arctic Research Commission",""
"33","federal","Armed Forces Retirement Home",""
"34","federal","Arms Control and International Security",""
"35","federal","Army",""
"36","federal","Army Corps of Engineers","USACE"
"37","federal","Army Corps of Engineers","USACOE"
"38","federal","Army Corps of Engineers","ACE"
"39","federal","Arthritis, Musculoskeletal and Skin Diseases, National Institute of",""
"40","federal","Bankruptcy Courts",""
"41","federal","Barry M Goldwater Scholarship and Excellence in Education Program",""
"42","federal","Bonneville Power Administration",""
"43","federal","Botanic Garden",""
"44","federal","Bureau of Alcohol and Tobacco Tax and Trade",""
"45","federal","Bureau of Alcohol, Tobacco, Firearms and Explosives",""
"46","federal","Bureau of Consular Affairs",""
"47","federal","Bureau of Consumer Financial Protection",""
"48","federal","Bureau of Economic Analysis",""
"49","federal","Bureau of Engraving and Printing",""
"50","federal","Bureau of Indian Affairs",""
"51","federal","Bureau of Industry and Security",""
"52","federal","Bureau of International Labor Affairs",""
"53","federal","Bureau of Justice Statistics",""
"54","federal","Bureau of Labor Statistics",""
"55","federal","Bureau of Land Management","USBLM"
"56","federal","Bureau of Land Management","BLM"
"57","federal","Bureau of Ocean Energy Management",""
"58","federal","Bureau of Prisons",""
"59","federal","Bureau of Reclamation","USBR"
"60","federal","Bureau of Reclamation","USBOR"
"61","federal","Bureau of Safety and Environmental Enforcement",""
"62","federal","Bureau of the Census",""
"63","federal","Bureau of the Fiscal Service",""
"64","federal","Bureau of Transportation Statistics",""
"65","federal","Capitol Police",""
"66","federal","Capitol Visitor Center",""
"67","federal","Career, Technical, and Adult Education, Office of",""
"68","federal","Census Bureau",""
"69","federal","Center for Food Safety and Applied Nutrition",""
"70","federal","Center for Nutrition Policy and Promotion",""
"71","federal","Center for Parent Information and Resources",""
"72","federal","Centers for Disease Control and Prevention","CDC"
"73","federal","Centers for Medicare and Medicaid Services",""
"74","federal","Central Command",""
"75","federal","Central Intelligence Agency",""
"76","federal","Chemical Safety Board",""
"77","federal","Chief Acquisition Officers Council",""
"78","federal","Chief Financial Officers Council",""
"79","federal","Chief Human Capital Officers Council",""
"80","federal","Chief Information Officers Council",""
"81","federal","Child Support Enforcement, Office of",""
"82","federal","Circuit Courts of Appeal",""
"83","federal","Citizens' Stamp Advisory Committee",""
"84","federal","Citizenship and Immigration Services",""
"85","federal","Civil Rights Division, Department of Justice",""
"86","federal","Civil Rights, Department of Education Office of",""
"87","federal","Civil Rights, Department of Health and Human Services Office for",""
"88","federal","Coast Guard",""
"89","federal","College of Information and Cyberspace",""
"90","federal","Commerce Department",""
"91","federal","Commission of Fine Arts",""
"92","federal","Commission on Civil Rights",""
"93","federal","Commission on International Religious Freedom",""
"94","federal","Commission on Presidential Scholars",""
