web-scraper-order,web-scraper-start-url,term
"1652471784-285","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","peak flow"
"1652471784-209","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","condensation"
"1652471784-217","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","domestic water use"
"1652471784-322","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sewage treatment plant"
"1652471784-325","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","snow"
"1652471784-194","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","aqueduct"
"1652471784-227","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","flood"
"1652471784-186","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","acid"
"1652471784-273","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","NGVD of 1929"
"1652471784-211","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","conveyance loss"
"1652471784-278","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","outfall"
"1652471784-215","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","dew"
"1652471784-192","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","appropriation doctrine"
"1652471784-229","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","flood plain"
"1652471784-231","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","floodway"
"1652471784-317","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sedimentation tanks"
"1652471784-296","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","primary wastewater treatment"
"1652471784-323","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sewer"
"1652471784-288","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","percolation"
"1652471784-256","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","kilowatthour (KWH)"
"1652471784-251","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","infiltration"
"1652471784-302","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","recharge"
"1652471784-347","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","thermal pollution"
"1652471784-351","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","tributary"
"1652471784-214","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","desalination"
"1652471784-301","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","reach"
"1652471784-281","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","particle size"
"1652471784-206","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","brook"
"1652471784-199","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","artificial recharge"
"1652471784-364","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","watthour (Wh)"
"1652471784-275","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","ocean"
"1652471784-339","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","supernatum"
"1652471784-282","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","parts per billion"
"1652471784-336","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","stream"
"1652471784-283","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","parts per million"
"1652471784-196","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","aquifer (confined)"
"1652471784-203","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","basin"
"1652471784-235","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","gaging station"
"1652471784-341","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","surface water"
"1652471784-239","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","greywater"
"1652471784-189","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","alkaline"
"1652471784-349","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","transmissibility (groundwater)"
"1652471784-287","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","percentile"
"1652471784-342","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","suspended sediment"
"1652471784-230","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","flood stage"
"1652471784-358","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","water cycle"
"1652471784-204","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","bay"
"1652471784-299","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","public water use"
"1652471784-284","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","pathogen"
"1652471784-329","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","specific conductance"
"1652471784-346","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","tertiary wastewater treatment"
"1652471784-254","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","irrigation water use"
"1652471784-319","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","seepage"
"1652471784-244","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","hardness"
"1652471784-223","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","erosion"
"1652471784-216","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","discharge"
"1652471784-344","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","suspended-sediment discharge"
"1652471784-258","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","leaching"
"1652471784-312","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","saline water"
"1652471784-267","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","million gallons per day (Mgal/d)"
"1652471784-280","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","pH"
"1652471784-315","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sediment"
"1652471784-306","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","return flow"
"1652471784-365","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","well (water)"
"1652471784-291","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","polychlorinated biphenyls (PCBs)"
"1652471784-233","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","freshwater, fresh water"
"1652471784-338","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","subsidence"
"1652471784-272","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","NGVD"
"1652471784-333","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","stage"
"1652471784-212","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","creek"
"1652471784-190","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","alkalinity"
"1652471784-228","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","flood, 100-year"
"1652471784-295","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","precipitation"
"1652471784-345","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","suspended solids"
"1652471784-245","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","headwater(s)"
"1652471784-305","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","reservoir"
"1652471784-269","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","municipal water system"
"1652471784-249","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","impermeable layer"
"1652471784-237","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","giardiasis"
"1652471784-259","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","lentic waters"
"1652471784-366","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","withdrawal"
"1652471784-185","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","acequia"
"1652471784-225","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","evaporation"
"1652471784-263","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","marsh"
"1652471784-195","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","aquifer"
"1652471784-353","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","unsaturated zone"
"1652471784-257","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","lake"
